date,base,quote,type,value
2015-01-01,AED,LKR,indicative,35.6895
2015-01-01,AUD,LKR,indicative,107.0096
2015-01-01,BDT,LKR,indicative,1.6823
2015-01-01,BHD,LKR,indicative,347.7077
2015-01-01,BND,LKR,indicative,98.8993
2015-01-01,BRL,LKR,indicative,49.3287
2015-01-01,CAD,LKR,indicative,112.7762
2015-01-01,CHF,LKR,indicative,131.8491
2015-01-01,CNH,LKR,indicative,21.0828
2015-01-01,CNY,LKR,indicative,21.1229
2015-01-01,CZK,LKR,indicative,5.7335
2015-01-01,DKK,LKR,indicative,21.2959
2015-01-01,EGP,LKR,indicative,18.3343
2015-01-01,EUR,LKR,indicative,158.6004
2015-01-01,GBP,LKR,indicative,204.2529
2015-01-01,GHS,LKR,indicative,41.0944
2015-01-01,HKD,LKR,indicative,16.9064
2015-01-01,HUF,LKR,indicative,0.5016
2015-01-01,IDR,LKR,indicative,0.0106
2015-01-01,INR,LKR,indicative,2.0797
2015-01-01,IRR,LKR,indicative,0.0048
2015-01-01,JOD,LKR,indicative,185.458
2015-01-01,JPY,LKR,indicative,1.0953
2015-01-01,KES,LKR,indicative,1.4477
2015-01-01,KRW,LKR,indicative,0.1198
2015-01-01,KWD,LKR,indicative,447.7152
2015-01-01,MMK,LKR,indicative,0.127
2015-01-01,MOP,LKR,indicative,16.4087
2015-01-01,MUR,LKR,indicative,4.1406
2015-01-01,MVR,LKR,indicative,8.4903
2015-01-01,MYR,LKR,indicative,37.4921
2015-01-01,NGN,LKR,indicative,0.7163
2015-01-01,NOK,LKR,indicative,17.5396
2015-01-01,NPR,LKR,indicative,1.2997
2015-01-01,NZD,LKR,indicative,102.2838
2015-01-01,OMR,LKR,indicative,340.4696
2015-01-01,PGK,LKR,indicative,50.5356
2015-01-01,PHP,LKR,indicative,2.9268
2015-01-01,PKR,LKR,indicative,1.2986
2015-01-01,PLN,LKR,indicative,36.9984
2015-01-01,QAR,LKR,indicative,35.9972
2015-01-01,RON,LKR,indicative,35.375
2015-01-01,RUB,LKR,indicative,2.2583
2015-01-01,SAR,LKR,indicative,34.9348
2015-01-01,SBD,LKR,indicative,17.1664
2015-01-01,SCR,LKR,indicative,9.9086
2015-01-01,SEK,LKR,indicative,16.813
2015-01-01,SGD,LKR,indicative,98.8993
2015-01-01,THB,LKR,indicative,3.9857
2015-01-01,TWD,LKR,indicative,4.1439
2015-01-01,USD,LKR,indicative,131.091
2015-01-01,VND,LKR,indicative,0.0061
2015-01-01,XAU,LKR,indicative,155070.1657
2015-01-01,ZAR,LKR,indicative,11.3293
2015-01-01,ZMW,LKR,indicative,20.483
2015-01-02,AED,LKR,indicative,35.6681
2015-01-02,AUD,LKR,indicative,106.5132
2015-01-02,BDT,LKR,indicative,1.6813
2015-01-02,BHD,LKR,indicative,347.4994
2015-01-02,BND,LKR,indicative,98.7581
2015-01-02,BRL,LKR,indicative,49.2992
2015-01-02,CAD,LKR,indicative,112.5827
2015-01-02,CHF,LKR,indicative,131.3804
2015-01-02,CNH,LKR,indicative,21.0448
2015-01-02,CNY,LKR,indicative,21.1103
2015-01-02,CZK,LKR,indicative,5.7036
2015-01-02,DKK,LKR,indicative,21.2211
2015-01-02,EGP,LKR,indicative,18.3233
2015-01-02,EUR,LKR,indicative,158.0011
2015-01-02,GBP,LKR,indicative,203.7244
2015-01-02,GHS,LKR,indicative,41.0697
2015-01-02,HKD,LKR,indicative,16.8929
2015-01-02,HUF,LKR,indicative,0.4999
2015-01-02,IDR,LKR,indicative,0.0105
2015-01-02,INR,LKR,indicative,2.0679
2015-01-02,IRR,LKR,indicative,0.0048
2015-01-02,JOD,LKR,indicative,185.347
2015-01-02,JPY,LKR,indicative,1.0882
2015-01-02,KES,LKR,indicative,1.4469
2015-01-02,KRW,LKR,indicative,0.1188
2015-01-02,KWD,LKR,indicative,447.363
2015-01-02,MMK,LKR,indicative,0.1273
2015-01-02,MOP,LKR,indicative,16.4042
2015-01-02,MUR,LKR,indicative,4.1381
2015-01-02,MVR,LKR,indicative,8.4853
2015-01-02,MYR,LKR,indicative,37.3574
2015-01-02,NGN,LKR,indicative,0.7159
2015-01-02,NOK,LKR,indicative,17.5033
2015-01-02,NPR,LKR,indicative,1.2924
2015-01-02,NZD,LKR,indicative,101.6657
2015-01-02,OMR,LKR,indicative,340.2657
2015-01-02,PGK,LKR,indicative,50.5053
2015-01-02,PHP,LKR,indicative,2.925
2015-01-02,PKR,LKR,indicative,1.2978
2015-01-02,PLN,LKR,indicative,36.879
2015-01-02,QAR,LKR,indicative,35.9756
2015-01-02,RON,LKR,indicative,35.2397
2015-01-02,RUB,LKR,indicative,2.2587
2015-01-02,SAR,LKR,indicative,34.9139
2015-01-02,SBD,LKR,indicative,17.4443
2015-01-02,SCR,LKR,indicative,9.9027
2015-01-02,SEK,LKR,indicative,16.7492
2015-01-02,SGD,LKR,indicative,98.7655
2015-01-02,THB,LKR,indicative,3.9749
2015-01-02,TWD,LKR,indicative,4.1335
2015-01-02,USD,LKR,indicative,131.0125
2015-01-02,VND,LKR,indicative,0.0061
2015-01-02,XAU,LKR,indicative,155222.9549
2015-01-02,ZAR,LKR,indicative,11.3086
2015-01-02,ZMW,LKR,indicative,20.4707
2015-01-06,AED,LKR,indicative,35.6706
2015-01-06,AUD,LKR,indicative,106.4275
2015-01-06,BDT,LKR,indicative,1.6824
2015-01-06,BHD,LKR,indicative,347.5147
2015-01-06,BND,LKR,indicative,98.238
2015-01-06,BRL,LKR,indicative,48.4112
2015-01-06,CAD,LKR,indicative,111.5681
2015-01-06,CHF,LKR,indicative,130.2839
2015-01-06,CNH,LKR,indicative,21.0548
2015-01-06,CNY,LKR,indicative,21.0745
2015-01-06,CZK,LKR,indicative,5.6525
