date,base,quote,type,value
2007-01-02,BBD,TTD,buy,2.8279
2007-01-02,BBD,TTD,sell,3.2194
2007-01-02,CAD,TTD,buy,5.3077
2007-01-02,CAD,TTD,sell,5.5596
2007-01-02,CHF,TTD,buy,5.155
2007-01-02,CHF,TTD,sell,5.2955
2007-01-02,EUR,TTD,buy,8.1616
2007-01-02,EUR,TTD,sell,8.3508
2007-01-02,GBP,TTD,buy,12.1473
2007-01-02,GBP,TTD,sell,12.6735
2007-01-02,GYD,TTD,buy,0.0305
2007-01-02,GYD,TTD,sell,0.0317
2007-01-02,JMD,TTD,buy,0.0921
2007-01-02,JMD,TTD,sell,0.0957
2007-01-02,JPY,TTD,buy,0.0527
2007-01-02,JPY,TTD,sell,0.0532
2007-01-02,USD,TTD,buy,6.2661
2007-01-02,USD,TTD,sell,6.3204
2007-01-02,XCD,TTD,buy,2.2153
2007-01-02,XCD,TTD,sell,2.3852
2007-01-03,BBD,TTD,buy,2.8343
2007-01-03,BBD,TTD,sell,3.2167
2007-01-03,CAD,TTD,buy,5.2566
2007-01-03,CAD,TTD,sell,5.5466
2007-01-03,CHF,TTD,buy,4.9388
2007-01-03,CHF,TTD,sell,5.1738
2007-01-03,EUR,TTD,buy,8.128
2007-01-03,EUR,TTD,sell,8.468
2007-01-03,GBP,TTD,buy,12.0789
2007-01-03,GBP,TTD,sell,12.6026
2007-01-03,GYD,TTD,buy,0.0305
2007-01-03,GYD,TTD,sell,0.0317
2007-01-03,JMD,TTD,buy,0.0908
2007-01-03,JMD,TTD,sell,0.0943
2007-01-03,JPY,TTD,buy,0.0525
2007-01-03,JPY,TTD,sell,0.0529
2007-01-03,USD,TTD,buy,6.2713
2007-01-03,USD,TTD,sell,6.3204
2007-01-03,XCD,TTD,buy,2.2014
2007-01-03,XCD,TTD,sell,2.3871
2007-01-04,BBD,TTD,buy,2.8464
2007-01-04,BBD,TTD,sell,3.1864
2007-01-04,CAD,TTD,buy,5.226
2007-01-04,CAD,TTD,sell,5.5029
2007-01-04,CHF,TTD,buy,4.9813
2007-01-04,EUR,TTD,buy,8.0298
2007-01-04,EUR,TTD,sell,8.3498
2007-01-04,GBP,TTD,buy,11.9902
2007-01-04,GBP,TTD,sell,12.4634
2007-01-04,GYD,TTD,buy,0.0307
2007-01-04,GYD,TTD,sell,0.0318
2007-01-04,JMD,TTD,buy,0.0924
2007-01-04,JMD,TTD,sell,0.0956
2007-01-04,JPY,TTD,buy,0.0527
2007-01-04,JPY,TTD,sell,0.0542
2007-01-04,USD,TTD,buy,6.3016
2007-01-04,USD,TTD,sell,6.3264
2007-01-04,XCD,TTD,buy,2.191
2007-01-04,XCD,TTD,sell,2.4088
2007-01-05,BBD,TTD,buy,2.8304
2007-01-05,BBD,TTD,sell,3.2372
2007-01-05,CAD,TTD,buy,5.2682
2007-01-05,CAD,TTD,sell,5.4955
2007-01-05,CHF,TTD,buy,4.9038
2007-01-05,CHF,TTD,sell,5.2729
2007-01-05,EUR,TTD,buy,8.0605
2007-01-05,EUR,TTD,sell,8.4213
2007-01-05,GBP,TTD,buy,11.9244
2007-01-05,GBP,TTD,sell,12.5022
2007-01-05,GYD,TTD,buy,0.0304
2007-01-05,GYD,TTD,sell,0.0317
2007-01-05,JMD,TTD,buy,0.0904
2007-01-05,JMD,TTD,sell,0.0943
2007-01-05,JPY,TTD,buy,0.0512
2007-01-05,JPY,TTD,sell,0.0547
2007-01-05,USD,TTD,buy,6.2433
2007-01-05,USD,TTD,sell,6.3235
2007-01-05,XCD,TTD,buy,2.1994
2007-01-05,XCD,TTD,sell,2.4021
2007-01-08,BBD,TTD,buy,2.8163
2007-01-08,BBD,TTD,sell,3.2002
2007-01-08,CAD,TTD,buy,5.2451
2007-01-08,CAD,TTD,sell,5.4608
2007-01-08,CHF,TTD,buy,4.8497
2007-01-08,CHF,TTD,sell,5.2148
2007-01-08,EUR,TTD,buy,8.0369
2007-01-08,EUR,TTD,sell,8.4152
2007-01-08,GBP,TTD,buy,11.7901
2007-01-08,GBP,TTD,sell,12.3287
2007-01-08,GYD,TTD,buy,0.0302
2007-01-08,GYD,TTD,sell,0.0317
2007-01-08,JMD,TTD,buy,0.09
