date,base,quote,type,value
2018-01-05,AED,UZS,reference,2215.27
2018-01-05,AFN,UZS,reference,116.76
2018-01-05,AUD,UZS,reference,6374.27
2018-01-05,BDT,UZS,reference,97.83
2018-01-05,BGN,UZS,reference,4998.88
2018-01-05,BRL,UZS,reference,2513.72
2018-01-05,BYN,UZS,reference,4105.28
2018-01-05,CAD,UZS,reference,6493.75
2018-01-05,CHF,UZS,reference,8321.41
2018-01-05,CNY,UZS,reference,1250.54
2018-01-05,CZK,UZS,reference,383.57
2018-01-05,EGP,UZS,reference,460.74
2018-01-05,EUR,UZS,reference,9775.4
2018-01-05,GBP,UZS,reference,10996.71
2018-01-05,GEL,UZS,reference,3184.61
2018-01-05,HUF,UZS,reference,31.71
2018-01-05,ILS,UZS,reference,2358.18
2018-01-05,INR,UZS,reference,128.12
2018-01-05,IRR,UZS,reference,0.23
2018-01-05,JPY,UZS,reference,72.23
2018-01-05,KGS,UZS,reference,118.18
2018-01-05,KRW,UZS,reference,7.64
2018-01-05,KWD,UZS,reference,27005.21
2018-01-05,KZT,UZS,reference,24.47
2018-01-05,MYR,UZS,reference,2026.06
2018-01-05,PLN,UZS,reference,2356.34
2018-01-05,RUB,UZS,reference,142.37
2018-01-05,SGD,UZS,reference,6119.18
2018-01-05,TJS,UZS,reference,923.82
2018-01-05,TMT,UZS,reference,2331.42
2018-01-05,TRY,UZS,reference,2151.93
2018-01-05,UAH,UZS,reference,292.21
2018-01-05,USD,UZS,reference,8136.67
2018-01-05,XDR,UZS,reference,11619.98
2018-01-09,AED,UZS,reference,2215.9
2018-01-09,AFN,UZS,reference,116.96
2018-01-09,AUD,UZS,reference,6382.6
2018-01-09,BDT,UZS,reference,98.44
2018-01-09,BGN,UZS,reference,5005.54
2018-01-09,BRL,UZS,reference,2520.75
2018-01-09,BYN,UZS,reference,4089.95
2018-01-09,CAD,UZS,reference,6564.24
2018-01-09,CHF,UZS,reference,8342.56
2018-01-09,CNY,UZS,reference,1254.57
2018-01-09,CZK,UZS,reference,383.54
2018-01-09,EGP,UZS,reference,460.87
2018-01-09,EUR,UZS,reference,9787.96
2018-01-09,GBP,UZS,reference,11036.48
2018-01-09,GEL,UZS,reference,3163.85
2018-01-09,HUF,UZS,reference,31.77
2018-01-09,ILS,UZS,reference,2370.47
2018-01-09,INR,UZS,reference,128.56
2018-01-09,IRR,UZS,reference,0.23
2018-01-09,JPY,UZS,reference,71.9
2018-01-09,KGS,UZS,reference,118.21
2018-01-09,KRW,UZS,reference,7.63
2018-01-09,KWD,UZS,reference,27003.98
2018-01-09,KZT,UZS,reference,24.65
2018-01-09,MYR,UZS,reference,2042.41
2018-01-09,PLN,UZS,reference,2356.33
2018-01-09,RUB,UZS,reference,143.05
2018-01-09,SGD,UZS,reference,6121.39
2018-01-09,TJS,UZS,reference,924.89
2018-01-09,TMT,UZS,reference,2332.09
2018-01-09,TRY,UZS,reference,2177.89
2018-01-09,UAH,UZS,reference,288.72
2018-01-09,USD,UZS,reference,8139
2018-01-09,XDR,UZS,reference,11620.86
2018-01-16,AED,UZS,reference,2217.97
2018-01-16,AFN,UZS,reference,116.83
2018-01-16,AUD,UZS,reference,6483.7
2018-01-16,BDT,UZS,reference,98.4
2018-01-16,BGN,UZS,reference,5098.18
2018-01-16,BRL,UZS,reference,2541.53
2018-01-16,BYN,UZS,reference,4083.4
2018-01-16,CAD,UZS,reference,6551.17
2018-01-16,CHF,UZS,reference,8438.35
2018-01-16,CNY,UZS,reference,1268.91
2018-01-16,CZK,UZS,reference,390.68
2018-01-16,EGP,UZS,reference,461.03
2018-01-16,EUR,UZS,reference,9965.47
2018-01-16,GBP,UZS,reference,11199.64
2018-01-16,GEL,UZS,reference,3219.91
2018-01-16,HUF,UZS,reference,32.29
2018-01-16,ILS,UZS,reference,2401.65
2018-01-16,INR,UZS,reference,128.6
2018-01-16,IRR,UZS,reference,0.22
2018-01-16,JPY,UZS,reference,73.65
2018-01-16,KGS,UZS,reference,117.57
2018-01-16,KRW,UZS,reference,7.68
2018-01-16,KWD,UZS,reference,27101.3
2018-01-16,KZT,UZS,reference,24.72
2018-01-16,MYR,UZS,reference,2062.37
