date,base,quote,type,value
2026-09-01,ARS,AED,reference,0.002426
2026-09-01,AUD,AED,reference,2.627907
2026-09-01,AZN,AED,reference,2.160294
2026-09-01,BDT,AED,reference,0.029948
2026-09-01,BGN,AED,reference,2.205706
2026-09-01,BHD,AED,reference,9.741121
2026-09-01,BND,AED,reference,2.885824
2026-09-01,BRL,AED,reference,0.712871
2026-09-01,BWP,AED,reference,0.272239
2026-09-01,BYN,AED,reference,1.193843
2026-09-01,CAD,AED,reference,2.643988
2026-09-01,CHF,AED,reference,4.532272
2026-09-01,CLP,AED,reference,0.003912
2026-09-01,CNH,AED,reference,0.54634
2026-09-01,CNY,AED,reference,0.54634
2026-09-01,COP,AED,reference,0.001145
2026-09-01,CZK,AED,reference,0.176241
2026-09-01,DKK,AED,reference,0.569998
2026-09-01,DZD,AED,reference,0.027542
2026-09-01,EGP,AED,reference,0.072265
2026-09-01,ETB,AED,reference,0.022638
2026-09-01,EUR,AED,reference,4.260441
2026-09-01,GBP,AED,reference,4.974265
2026-09-01,HKD,AED,reference,0.468365
2026-09-01,HUF,AED,reference,0.011621
2026-09-01,IDR,AED,reference,0.000207
2026-09-01,ILS,AED,reference,1.215738
2026-09-01,INR,AED,reference,0.038676
2026-09-01,IQD,AED,reference,0.002803
2026-09-01,ISK,AED,reference,0.030264
2026-09-01,JOD,AED,reference,5.179831
2026-09-01,JPY,AED,reference,0.022947
2026-09-01,KES,AED,reference,0.028381
2026-09-01,KRW,AED,reference,0.002679
2026-09-01,KWD,AED,reference,11.956699
2026-09-01,KZT,AED,reference,0.008016
2026-09-01,LKR,AED,reference,0.011198
2026-09-01,LYD,AED,reference,0.578356
2026-09-01,MAD,AED,reference,0.393496
2026-09-01,MKD,AED,reference,0.069227
2026-09-01,MUR,AED,reference,0.077989
2026-09-01,MXN,AED,reference,0.216668
2026-09-01,MYR,AED,reference,0.909147
2026-09-01,NGN,AED,reference,0.002756
2026-09-01,NOK,AED,reference,0.394202
2026-09-01,NPR,AED,reference,0.024172
2026-09-01,NZD,AED,reference,2.168714
2026-09-01,OMR,AED,reference,9.538713
2026-09-01,PEN,AED,reference,1.088342
2026-09-01,PHP,AED,reference,0.058824
2026-09-01,PKR,AED,reference,0.01324
2026-09-01,PLN,AED,reference,0.985774
2026-09-01,QAR,AED,reference,1.007462
2026-09-01,RON,AED,reference,0.810706
2026-09-01,RSD,AED,reference,0.036304
2026-09-01,RUB,AED,reference,0.042298
2026-09-01,SAR,AED,reference,0.97816
2026-09-01,SDG,AED,reference,0.006119
2026-09-01,SEK,AED,reference,0.383667
2026-09-01,SGD,AED,reference,2.886278
2026-09-01,SYP,AED,reference,0.030102
2026-09-01,THB,AED,reference,0.110418
2026-09-01,TMT,AED,reference,1.049286
2026-09-01,TND,AED,reference,1.260425
2026-09-01,TRY,AED,reference,0.076074
2026-09-01,TTD,AED,reference,0.541994
2026-09-01,TWD,AED,reference,0.115932
2026-09-01,TZS,AED,reference,0.001391
2026-09-01,UGX,AED,reference,0.000973
2026-09-01,USD,AED,reference,3.6725
2026-09-01,UZS,AED,reference,0.000311
2026-09-01,VND,AED,reference,0.000141
2026-09-01,YER,AED,reference,0.015522
2026-09-01,ZAR,AED,reference,0.228116
2026-09-01,ZMW,AED,reference,0.19295
