date,base,quote,type,value
2024-01-03,ANG,SRD,buy,20.11
2024-01-03,ANG,SRD,sell,20.505
2024-01-03,AWG,SRD,buy,20.334
2024-01-03,AWG,SRD,sell,20.732
2024-01-03,BBD,SRD,buy,18.043
2024-01-03,BBD,SRD,sell,18.396
2024-01-03,BRL,SRD,buy,7.42
2024-01-03,BRL,SRD,sell,7.566
2024-01-03,CNY,SRD,buy,5.12
2024-01-03,CNY,SRD,sell,5.22
2024-01-03,EUR,SRD,buy,39.22
2024-01-03,EUR,SRD,sell,40.185
2024-01-03,GBP,SRD,buy,46.218
2024-01-03,GBP,SRD,sell,47.124
2024-01-03,GYD,SRD,buy,0.17392
2024-01-03,GYD,SRD,sell,0.17733000000000002
2024-01-03,TTD,SRD,buy,5.404
2024-01-03,TTD,SRD,sell,5.509
2024-01-03,USD,SRD,buy,36.601
2024-01-03,USD,SRD,sell,36.976
2024-01-03,XCD,SRD,buy,13.556
2024-01-03,XCD,SRD,sell,13.822
2024-01-04,ANG,SRD,buy,19.996
2024-01-04,ANG,SRD,sell,20.388
2024-01-04,AWG,SRD,buy,20.218
2024-01-04,AWG,SRD,sell,20.615
2024-01-04,BBD,SRD,buy,17.94
2024-01-04,BBD,SRD,sell,18.292
2024-01-04,BRL,SRD,buy,7.415
2024-01-04,BRL,SRD,sell,7.56
2024-01-04,CNY,SRD,buy,5.089
2024-01-04,CNY,SRD,sell,5.189
2024-01-04,EUR,SRD,buy,39.416
2024-01-04,EUR,SRD,sell,40.436
2024-01-04,GBP,SRD,buy,46.201
2024-01-04,GBP,SRD,sell,47.106
2024-01-04,GYD,SRD,buy,0.17293
2024-01-04,GYD,SRD,sell,0.17632
2024-01-04,TTD,SRD,buy,5.375
2024-01-04,TTD,SRD,sell,5.48
2024-01-04,USD,SRD,buy,36.393
2024-01-04,USD,SRD,sell,36.871
2024-01-04,XCD,SRD,buy,13.479
2024-01-04,XCD,SRD,sell,13.743
2024-01-05,ANG,SRD,buy,19.91
2024-01-05,ANG,SRD,sell,20.3
2024-01-05,AWG,SRD,buy,20.131
2024-01-05,AWG,SRD,sell,20.526
2024-01-05,BBD,SRD,buy,17.863
2024-01-05,BBD,SRD,sell,18.213
2024-01-05,BRL,SRD,buy,7.366
2024-01-05,BRL,SRD,sell,7.51
2024-01-05,CNY,SRD,buy,5.065
2024-01-05,CNY,SRD,sell,5.164
2024-01-05,EUR,SRD,buy,39.298
2024-01-05,EUR,SRD,sell,39.711
2024-01-05,GBP,SRD,buy,45.903
2024-01-05,GBP,SRD,sell,46.803
2024-01-05,GYD,SRD,buy,0.17218
2024-01-05,GYD,SRD,sell,0.17556000000000002
2024-01-05,TTD,SRD,buy,5.342
2024-01-05,TTD,SRD,sell,5.447
2024-01-05,USD,SRD,buy,36.236
2024-01-05,USD,SRD,sell,36.872
2024-01-05,XCD,SRD,buy,13.421
2024-01-05,XCD,SRD,sell,13.684
2024-01-08,ANG,SRD,buy,20.137
2024-01-08,ANG,SRD,sell,20.531
2024-01-08,AWG,SRD,buy,20.361
2024-01-08,AWG,SRD,sell,20.76
2024-01-08,BBD,SRD,buy,18.066
2024-01-08,BBD,SRD,sell,18.421
2024-01-08,BRL,SRD,buy,7.483
2024-01-08,BRL,SRD,sell,7.63
2024-01-08,CNY,SRD,buy,5.117
2024-01-08,CNY,SRD,sell,5.217
2024-01-08,EUR,SRD,buy,39.202
2024-01-08,EUR,SRD,sell,39.888
2024-01-08,GBP,SRD,buy,46.565
2024-01-08,GBP,SRD,sell,47.478
2024-01-08,GYD,SRD,buy,0.17415
2024-01-08,GYD,SRD,sell,0.17756
2024-01-08,TTD,SRD,buy,5.39
2024-01-08,TTD,SRD,sell,5.496
2024-01-08,USD,SRD,buy,36.649
2024-01-08,USD,SRD,sell,36.906
2024-01-08,XCD,SRD,buy,13.574
2024-01-08,XCD,SRD,sell,13.84
2024-01-09,ANG,SRD,buy,20.141
2024-01-09,ANG,SRD,sell,20.536
2024-01-09,AWG,SRD,buy,20.365
2024-01-09,AWG,SRD,sell,20.764
2024-01-09,BBD,SRD,buy,18.07
2024-01-09,BBD,SRD,sell,18.425
2024-01-09,BRL,SRD,buy,7.499
2024-01-09,BRL,SRD,sell,7.646
2024-01-09,CNY,SRD,buy,5.116
2024-01-09,CNY,SRD,sell,5.217
2024-01-09,EUR,SRD,buy,39.621
2024-01-09,EUR,SRD,sell,40.505
2024-01-09,GBP,SRD,buy,46.665
2024-01-09,GBP,SRD,sell,47.579
2024-01-09,GYD,SRD,buy,0.17418
2024-01-09,GYD,SRD,sell,0.1776
2024-01-09,TTD,SRD,buy,5.395
2024-01-09,TTD,SRD,sell,5.5
2024-01-09,USD,SRD,buy,36.657
2024-01-09,USD,SRD,sell,37.004
2024-01-09,XCD,SRD,buy,13.577
2024-01-09,XCD,SRD,sell,13.843
2024-01-10,ANG,SRD,buy,20.135
2024-01-10,ANG,SRD,sell,20.53
2024-01-10,AWG,SRD,buy,20.359
2024-01-10,AWG,SRD,sell,20.758
2024-01-10,BBD,SRD,buy,18.065
2024-01-10,BBD,SRD,sell,18.419
2024-01-10,BRL,SRD,buy,7.497
2024-01-10,BRL,SRD,sell,7.644
2024-01-10,CNY,SRD,buy,5.111
2024-01-10,CNY,SRD,sell,5.212
2024-01-10,EUR,SRD,buy,39.382
2024-01-10,EUR,SRD,sell,40.328
2024-01-10,GBP,SRD,buy,46.63
2024-01-10,GBP,SRD,sell,47.544
2024-01-10,GYD,SRD,buy,0.17413
2024-01-10,GYD,SRD,sell,0.17754
2024-01-10,TTD,SRD,buy,5.39
2024-01-10,TTD,SRD,sell,5.496
2024-01-10,USD,SRD,buy,36.646
2024-01-10,USD,SRD,sell,36.863
2024-01-10,XCD,SRD,buy,13.573
2024-01-10,XCD,SRD,sell,13.839
2024-01-11,ANG,SRD,buy,20.138
2024-01-11,ANG,SRD,sell,20.533
2024-01-11,AWG,SRD,buy,20.362
2024-01-11,AWG,SRD,sell,20.761
2024-01-11,BBD,SRD,buy,18.068
2024-01-11,BBD,SRD,sell,18.422
2024-01-11,BRL,SRD,buy,7.512
2024-01-11,BRL,SRD,sell,7.659
2024-01-11,CNY,SRD,buy,5.12
2024-01-11,CNY,SRD,sell,5.221
2024-01-11,EUR,SRD,buy,39.715
2024-01-11,EUR,SRD,sell,40.502
2024-01-11,GBP,SRD,buy,46.746
2024-01-11,GBP,SRD,sell,47.662
2024-01-11,GYD,SRD,buy,0.17416
2024-01-11,GYD,SRD,sell,0.17757
2024-01-11,TTD,SRD,buy,5.392
2024-01-11,TTD,SRD,sell,5.498
2024-01-11,USD,SRD,buy,36.652
2024-01-11,USD,SRD,sell,36.989
2024-01-11,XCD,SRD,buy,13.575
2024-01-11,XCD,SRD,sell,13.841
2024-01-12,ANG,SRD,buy,20.156
2024-01-12,ANG,SRD,sell,20.551
2024-01-12,AWG,SRD,buy,20.38
2024-01-12,AWG,SRD,sell,20.779
2024-01-12,BBD,SRD,buy,18.084
2024-01-12,BBD,SRD,sell,18.438
2024-01-12,BRL,SRD,buy,7.53
2024-01-12,BRL,SRD,sell,7.677
2024-01-12,CNY,SRD,buy,5.117
2024-01-12,CNY,SRD,sell,5.217
2024-01-12,EUR,SRD,buy,39.78
2024-01-12,EUR,SRD,sell,40.52
2024-01-12,GBP,SRD,buy,46.701
2024-01-12,GBP,SRD,sell,47.616
2024-01-12,GYD,SRD,buy,0.17431000000000002
2024-01-12,GYD,SRD,sell,0.17773
2024-01-12,TTD,SRD,buy,5.431
2024-01-12,TTD,SRD,sell,5.537
2024-01-12,USD,SRD,buy,36.684
2024-01-12,USD,SRD,sell,36.98
2024-01-12,XCD,SRD,buy,13.587
2024-01-12,XCD,SRD,sell,13.853
2024-01-15,ANG,SRD,buy,20.108
2024-01-15,ANG,SRD,sell,20.502
2024-01-15,AWG,SRD,buy,20.332
2024-01-15,AWG,SRD,sell,20.73
2024-01-15,BBD,SRD,buy,18.041
2024-01-15,BBD,SRD,sell,18.394
2024-01-15,BRL,SRD,buy,7.51
2024-01-15,BRL,SRD,sell,7.658
2024-01-15,CNY,SRD,buy,5.101
2024-01-15,CNY,SRD,sell,5.201
2024-01-15,EUR,SRD,buy,39.848
2024-01-15,EUR,SRD,sell,40.357
2024-01-15,GBP,SRD,buy,46.535
2024-01-15,GBP,SRD,sell,47.448
2024-01-15,GYD,SRD,buy,0.1739
2024-01-15,GYD,SRD,sell,0.17731000000000002
2024-01-15,TTD,SRD,buy,5.405
2024-01-15,TTD,SRD,sell,5.511
2024-01-15,USD,SRD,buy,36.597
2024-01-15,USD,SRD,sell,36.944
2024-01-15,XCD,SRD,buy,13.554
2024-01-15,XCD,SRD,sell,13.82
2024-01-16,ANG,SRD,buy,20.02
2024-01-16,ANG,SRD,sell,20.413
2024-01-16,AWG,SRD,buy,20.243
2024-01-16,AWG,SRD,sell,20.64
2024-01-16,BBD,SRD,buy,17.962
2024-01-16,BBD,SRD,sell,18.314
2024-01-16,BRL,SRD,buy,7.455
2024-01-16,BRL,SRD,sell,7.602
2024-01-16,CNY,SRD,buy,5.068
2024-01-16,CNY,SRD,sell,5.167
2024-01-16,EUR,SRD,buy,39.699
2024-01-16,EUR,SRD,sell,40.386
2024-01-16,GBP,SRD,buy,46.064
2024-01-16,GBP,SRD,sell,46.967
2024-01-16,GYD,SRD,buy,0.17314
2024-01-16,GYD,SRD,sell,0.17653
2024-01-16,TTD,SRD,buy,5.388
2024-01-16,TTD,SRD,sell,5.493
2024-01-16,USD,SRD,buy,36.437
2024-01-16,USD,SRD,sell,36.896
2024-01-16,XCD,SRD,buy,13.495
2024-01-16,XCD,SRD,sell,13.76
2024-01-17,ANG,SRD,buy,20.118
2024-01-17,ANG,SRD,sell,20.512
2024-01-17,AWG,SRD,buy,20.341
2024-01-17,AWG,SRD,sell,20.74
2024-01-17,BBD,SRD,buy,18.049
2024-01-17,BBD,SRD,sell,18.403
2024-01-17,BRL,SRD,buy,7.42
2024-01-17,BRL,SRD,sell,7.565
