date,base,quote,type,value
2016-01-04,AUD,CZK,reference,17.828
2016-01-04,BGN,CZK,reference,13.814
2016-01-04,BRL,CZK,reference,6.152
2016-01-04,CAD,CZK,reference,17.81
2016-01-04,CHF,CZK,reference,24.796
2016-01-04,CNY,CZK,reference,3.795
2016-01-04,DKK,CZK,reference,3.621
2016-01-04,EUR,CZK,reference,27.02
2016-01-04,GBP,CZK,reference,36.609
2016-01-04,HKD,CZK,reference,3.199
2016-01-04,HRK,CZK,reference,3.537
2016-01-04,HUF,CZK,reference,0.08568
2016-01-04,IDR,CZK,reference,0.001782
2016-01-04,ILS,CZK,reference,6.335
2016-01-04,INR,CZK,reference,0.37214
2016-01-04,JPY,CZK,reference,0.20817
2016-01-04,KRW,CZK,reference,0.02082
2016-01-04,MXN,CZK,reference,1.427
2016-01-04,MYR,CZK,reference,5.705
2016-01-04,NOK,CZK,reference,2.8
2016-01-04,NZD,CZK,reference,16.734
2016-01-04,PHP,CZK,reference,0.52598
2016-01-04,PLN,CZK,reference,6.288
2016-01-04,RON,CZK,reference,5.982
2016-01-04,RUB,CZK,reference,0.33904
2016-01-04,SEK,CZK,reference,2.946
2016-01-04,SGD,CZK,reference,17.393
2016-01-04,THB,CZK,reference,0.68566
2016-01-04,TRY,CZK,reference,8.399
2016-01-04,USD,CZK,reference,24.794
2016-01-04,XDR,CZK,reference,34.403
2016-01-04,ZAR,CZK,reference,1.593
2016-01-05,AUD,CZK,reference,18.038
2016-01-05,BGN,CZK,reference,13.814
2016-01-05,BRL,CZK,reference,6.279
2016-01-05,CAD,CZK,reference,18.042
2016-01-05,CHF,CZK,reference,24.909
2016-01-05,CNY,CZK,reference,3.856
2016-01-05,DKK,CZK,reference,3.622
2016-01-05,EUR,CZK,reference,27.02
2016-01-05,GBP,CZK,reference,36.892
2016-01-05,HKD,CZK,reference,3.244
2016-01-05,HRK,CZK,reference,3.536
2016-01-05,HUF,CZK,reference,0.08572
2016-01-05,IDR,CZK,reference,0.001814
