date,base,quote,type,value
2021-01-04,AUD,DKK,reference,4.669700000000001
2021-01-04,BGN,DKK,reference,3.803
2021-01-04,BRL,DKK,reference,1.1761
2021-01-04,CAD,DKK,reference,4.7615
2021-01-04,CHF,DKK,reference,6.8799
2021-01-04,CNY,DKK,reference,0.9358
2021-01-04,CZK,DKK,reference,0.2845
2021-01-04,EUR,DKK,reference,7.4379
2021-01-04,GBP,DKK,reference,8.2497
2021-01-04,HKD,DKK,reference,0.7802
2021-01-04,HRK,DKK,reference,0.9843000000000001
2021-01-04,HUF,DKK,reference,0.02059
2021-01-04,IDR,DKK,reference,0.00043599999999999997
2021-01-04,ILS,DKK,reference,1.8863999999999999
2021-01-04,INR,DKK,reference,0.0828
2021-01-04,ISK,DKK,reference,0.04765
2021-01-04,JPY,DKK,reference,0.058742
2021-01-04,KRW,DKK,reference,0.005584
2021-01-04,MXN,DKK,reference,0.306
2021-01-04,MYR,DKK,reference,1.5097999999999998
2021-01-04,NOK,DKK,reference,0.7121999999999999
2021-01-04,NZD,DKK,reference,4.3586
2021-01-04,PHP,DKK,reference,0.1259
2021-01-04,PLN,DKK,reference,1.6356
2021-01-04,RON,DKK,reference,1.5269
2021-01-04,RUB,DKK,reference,0.0823
2021-01-04,SEK,DKK,reference,0.7372
2021-01-04,SGD,DKK,reference,4.5919
2021-01-04,THB,DKK,reference,0.2025
2021-01-04,TRY,DKK,reference,0.8212
2021-01-04,USD,DKK,reference,6.0489999999999995
2021-01-04,XDR,DKK,reference,8.7619
2021-01-04,ZAR,DKK,reference,0.415
2021-01-05,AUD,DKK,reference,4.6705000000000005
2021-01-05,BGN,DKK,reference,3.8034
2021-01-05,BRL,DKK,reference,1.1354
2021-01-05,CAD,DKK,reference,4.7529
2021-01-05,CHF,DKK,reference,6.885800000000001
2021-01-05,CNY,DKK,reference,0.9379000000000001
2021-01-05,CZK,DKK,reference,0.2836
2021-01-05,EUR,DKK,reference,7.4387
2021-01-05,GBP,DKK,reference,8.2348
2021-01-05,HKD,DKK,reference,0.7818999999999999
2021-01-05,HRK,DKK,reference,0.9841
2021-01-05,HUF,DKK,reference,0.020649999999999998
2021-01-05,IDR,DKK,reference,0.00043599999999999997
2021-01-05,ILS,DKK,reference,1.8939
2021-01-05,INR,DKK,reference,0.0828
2021-01-05,ISK,DKK,reference,0.04765
2021-01-05,JPY,DKK,reference,0.05892
2021-01-05,KRW,DKK,reference,0.005568999999999999
2021-01-05,MXN,DKK,reference,0.30260000000000004
2021-01-05,MYR,DKK,reference,1.5090999999999999
2021-01-05,NOK,DKK,reference,0.7104
2021-01-05,NZD,DKK,reference,4.366499999999999
2021-01-05,PHP,DKK,reference,0.126
2021-01-05,PLN,DKK,reference,1.6358000000000001
2021-01-05,RON,DKK,reference,1.5268000000000002
2021-01-05,RUB,DKK,reference,0.08109999999999999
2021-01-05,SEK,DKK,reference,0.7397
2021-01-05,SGD,DKK,reference,4.5975
2021-01-05,THB,DKK,reference,0.2023
2021-01-05,TRY,DKK,reference,0.8201999999999999
2021-01-05,USD,DKK,reference,6.062
2021-01-05,XDR,DKK,reference,8.7738
2021-01-05,ZAR,DKK,reference,0.4039
2021-01-06,AUD,DKK,reference,4.7013
2021-01-06,BGN,DKK,reference,3.8037
2021-01-06,BRL,DKK,reference,1.1423999999999999
2021-01-06,CAD,DKK,reference,4.756600000000001
2021-01-06,CHF,DKK,reference,6.8749
2021-01-06,CNY,DKK,reference,0.934
2021-01-06,CZK,DKK,reference,0.2845
2021-01-06,EUR,DKK,reference,7.439299999999999
2021-01-06,GBP,DKK,reference,8.208
2021-01-06,HKD,DKK,reference,0.7777
2021-01-06,HRK,DKK,reference,0.9841
2021-01-06,HUF,DKK,reference,0.020790000000000003
2021-01-06,IDR,DKK,reference,0.000433
2021-01-06,ILS,DKK,reference,1.8935
2021-01-06,INR,DKK,reference,0.0825
2021-01-06,ISK,DKK,reference,0.047599999999999996
2021-01-06,JPY,DKK,reference,0.058563000000000004
2021-01-06,KRW,DKK,reference,0.005555
2021-01-06,MXN,DKK,reference,0.3055
2021-01-06,MYR,DKK,reference,1.5034
2021-01-06,NOK,DKK,reference,0.7166
2021-01-06,NZD,DKK,reference,4.3978
2021-01-06,PHP,DKK,reference,0.1255
2021-01-06,PLN,DKK,reference,1.6473
2021-01-06,RON,DKK,reference,1.5269
2021-01-06,RUB,DKK,reference,0.0819
2021-01-06,SEK,DKK,reference,0.7391
2021-01-06,SGD,DKK,reference,4.5792
2021-01-06,THB,DKK,reference,0.20149999999999998
2021-01-06,TRY,DKK,reference,0.8215
2021-01-06,USD,DKK,reference,6.0296
2021-01-06,XDR,DKK,reference,8.7447
2021-01-06,ZAR,DKK,reference,0.4019
2021-01-07,AUD,DKK,reference,4.6977
2021-01-07,BGN,DKK,reference,3.8037
2021-01-07,BRL,DKK,reference,1.1415
2021-01-07,CAD,DKK,reference,4.7684
2021-01-07,CHF,DKK,reference,6.8672
2021-01-07,CNY,DKK,reference,0.937
2021-01-07,CZK,DKK,reference,0.2845
2021-01-07,EUR,DKK,reference,7.4392
2021-01-07,GBP,DKK,reference,8.2484
2021-01-07,HKD,DKK,reference,0.7816
2021-01-07,HRK,DKK,reference,0.9832
2021-01-07,HUF,DKK,reference,0.020790000000000003
2021-01-07,IDR,DKK,reference,0.000431
2021-01-07,ILS,DKK,reference,1.9062000000000001
2021-01-07,INR,DKK,reference,0.08259999999999999
2021-01-07,ISK,DKK,reference,0.0479
2021-01-07,JPY,DKK,reference,0.058516000000000006
2021-01-07,KRW,DKK,reference,0.005542
2021-01-07,MXN,DKK,reference,0.30670000000000003
2021-01-07,MYR,DKK,reference,1.5007
2021-01-07,NOK,DKK,reference,0.7192000000000001
2021-01-07,NZD,DKK,reference,4.4001
2021-01-07,PHP,DKK,reference,0.126
2021-01-07,PLN,DKK,reference,1.6532
2021-01-07,RON,DKK,reference,1.5272
2021-01-07,RUB,DKK,reference,0.0816
2021-01-07,SEK,DKK,reference,0.7397
2021-01-07,SGD,DKK,reference,4.5771
2021-01-07,THB,DKK,reference,0.2018
2021-01-07,TRY,DKK,reference,0.8267
2021-01-07,USD,DKK,reference,6.06
2021-01-07,XDR,DKK,reference,8.7669
2021-01-07,ZAR,DKK,reference,0.39590000000000003
2021-01-08,AUD,DKK,reference,4.7194
2021-01-08,BGN,DKK,reference,3.8025
2021-01-08,BRL,DKK,reference,1.1311
2021-01-08,CAD,DKK,reference,4.7847
2021-01-08,CHF,DKK,reference,6.8688
2021-01-08,CNY,DKK,reference,0.9392
2021-01-08,CZK,DKK,reference,0.2843
2021-01-08,EUR,DKK,reference,7.4369000000000005
2021-01-08,GBP,DKK,reference,8.2515
2021-01-08,HKD,DKK,reference,0.7829999999999999
2021-01-08,HRK,DKK,reference,0.9825
2021-01-08,HUF,DKK,reference,0.02068
2021-01-08,IDR,DKK,reference,0.000431
2021-01-08,ILS,DKK,reference,1.9078
2021-01-08,INR,DKK,reference,0.0828
2021-01-08,ISK,DKK,reference,0.047830000000000004
2021-01-08,JPY,DKK,reference,0.058439
2021-01-08,KRW,DKK,reference,0.005559
2021-01-08,MXN,DKK,reference,0.3039
2021-01-08,MYR,DKK,reference,1.5067
2021-01-08,NOK,DKK,reference,0.723
2021-01-08,NZD,DKK,reference,4.405
2021-01-08,PHP,DKK,reference,0.12619999999999998
2021-01-08,PLN,DKK,reference,1.6484999999999999
2021-01-08,RON,DKK,reference,1.5268000000000002
2021-01-08,RUB,DKK,reference,0.0819
2021-01-08,SEK,DKK,reference,0.7399
2021-01-08,SGD,DKK,reference,4.5828
2021-01-08,THB,DKK,reference,0.2018
2021-01-08,TRY,DKK,reference,0.825
2021-01-08,USD,DKK,reference,6.0709
