date,base,quote,type,value
2010-01-04,EUR,AUD,reference,1.5885
2010-01-04,EUR,BGN,reference,1.9558
2010-01-04,EUR,BRL,reference,2.4917
2010-01-04,EUR,CAD,reference,1.4953
2010-01-04,EUR,CHF,reference,1.4873
2010-01-04,EUR,CNY,reference,9.8238
2010-01-04,EUR,CZK,reference,26.285
2010-01-04,EUR,DKK,reference,7.4415
2010-01-04,EUR,EEK,reference,15.6466
2010-01-04,EUR,GBP,reference,0.8914
2010-01-04,EUR,HKD,reference,11.1608
2010-01-04,EUR,HRK,reference,7.2936
2010-01-04,EUR,HUF,reference,269.85
2010-01-04,EUR,IDR,reference,13542.61
2010-01-04,EUR,INR,reference,66.621
2010-01-04,EUR,JPY,reference,133.62
2010-01-04,EUR,KRW,reference,1662.37
2010-01-04,EUR,LTL,reference,3.4528
2010-01-04,EUR,LVL,reference,0.7093
2010-01-04,EUR,MXN,reference,18.6664
2010-01-04,EUR,MYR,reference,4.8887
2010-01-04,EUR,NOK,reference,8.229
2010-01-04,EUR,NZD,reference,1.9764
2010-01-04,EUR,PHP,reference,66.1
2010-01-04,EUR,PLN,reference,4.103
2010-01-04,EUR,RON,reference,4.2253
2010-01-04,EUR,RUB,reference,43.16
2010-01-04,EUR,SEK,reference,10.193
2010-01-04,EUR,SGD,reference,2.0126
2010-01-04,EUR,THB,reference,47.779
2010-01-04,EUR,TRY,reference,2.1411
2010-01-04,EUR,USD,reference,1.4389
2010-01-04,EUR,ZAR,reference,10.5618
2010-01-05,EUR,AUD,reference,1.5769
2010-01-05,EUR,BGN,reference,1.9558
2010-01-05,EUR,BRL,reference,2.4817
2010-01-05,EUR,CAD,reference,1.4952
2010-01-05,EUR,CHF,reference,1.4856
2010-01-05,EUR,CNY,reference,9.8598
2010-01-05,EUR,CZK,reference,26.231
2010-01-05,EUR,DKK,reference,7.4415
2010-01-05,EUR,EEK,reference,15.6466
2010-01-05,EUR,GBP,reference,0.90045
2010-01-05,EUR,HKD,reference,11.2017
2010-01-05,EUR,HRK,reference,7.293
2010-01-05,EUR,HUF,reference,269
2010-01-05,EUR,IDR,reference,13485.1
2010-01-05,EUR,INR,reference,66.787
2010-01-05,EUR,JPY,reference,132.54
2010-01-05,EUR,KRW,reference,1645.74
2010-01-05,EUR,LTL,reference,3.4528
2010-01-05,EUR,LVL,reference,0.7094
2010-01-05,EUR,MXN,reference,18.4833
2010-01-05,EUR,MYR,reference,4.8922
2010-01-05,EUR,NOK,reference,8.212
2010-01-05,EUR,NZD,reference,1.9608
2010-01-05,EUR,PHP,reference,66.311
2010-01-05,EUR,PLN,reference,4.092
2010-01-05,EUR,RON,reference,4.193
2010-01-05,EUR,RUB,reference,43.1
2010-01-05,EUR,SEK,reference,10.212
2010-01-05,EUR,SGD,reference,2.0142
2010-01-05,EUR,THB,reference,47.862
2010-01-05,EUR,TRY,reference,2.1284
2010-01-05,EUR,USD,reference,1.4442
2010-01-05,EUR,ZAR,reference,10.5069
2010-01-06,EUR,AUD,reference,1.5677
2010-01-06,EUR,BGN,reference,1.9558
2010-01-06,EUR,BRL,reference,2.4882
2010-01-06,EUR,CAD,reference,1.492
2010-01-06,EUR,CHF,reference,1.4823
2010-01-06,EUR,CNY,reference,9.7973
2010-01-06,EUR,CZK,reference,26.338
2010-01-06,EUR,DKK,reference,7.4407
2010-01-06,EUR,EEK,reference,15.6466
2010-01-06,EUR,GBP,reference,0.8986
2010-01-06,EUR,HKD,reference,11.129
2010-01-06,EUR,HRK,reference,7.295
2010-01-06,EUR,HUF,reference,268.88
2010-01-06,EUR,IDR,reference,13376.56
2010-01-06,EUR,INR,reference,65.766
2010-01-06,EUR,JPY,reference,132.69
2010-01-06,EUR,KRW,reference,1627.8
2010-01-06,EUR,LTL,reference,3.4528
2010-01-06,EUR,LVL,reference,0.7095
2010-01-06,EUR,MXN,reference,18.3752
2010-01-06,EUR,MYR,reference,4.8517
2010-01-06,EUR,NOK,reference,8.188
2010-01-06,EUR,NZD,reference,1.957
2010-01-06,EUR,PHP,reference,66.017
2010-01-06,EUR,PLN,reference,4.0953
2010-01-06,EUR,RON,reference,4.1585
