date,base,quote,type,value
2025-01-02,AUD,USD,reference,0.6208
2025-01-02,EUR,USD,reference,1.0261
2025-01-02,GBP,USD,reference,1.2376
2025-01-02,NZD,USD,reference,0.5601
2025-01-02,USD,BRL,reference,6.1556
2025-01-02,USD,CAD,reference,1.4422
2025-01-02,USD,CHF,reference,0.9124
2025-01-02,USD,CNY,reference,7.2994
2025-01-02,USD,DKK,reference,7.2686
2025-01-02,USD,HKD,reference,7.7768
2025-01-02,USD,INR,reference,85.75
2025-01-02,USD,JPY,reference,157.65
2025-01-02,USD,KRW,reference,1472.52
2025-01-02,USD,LKR,reference,293.1
2025-01-02,USD,MXN,reference,20.625
2025-01-02,USD,MYR,reference,4.476
2025-01-02,USD,NOK,reference,11.3707
2025-01-02,USD,SEK,reference,11.1443
2025-01-02,USD,SGD,reference,1.3691
2025-01-02,USD,THB,reference,34.37
2025-01-02,USD,TWD,reference,32.88
2025-01-02,USD,ZAR,reference,18.7025
2025-01-03,AUD,USD,reference,0.6209
2025-01-03,EUR,USD,reference,1.0292
2025-01-03,GBP,USD,reference,1.2419
2025-01-03,NZD,USD,reference,0.5604
2025-01-03,USD,BRL,reference,6.1759
2025-01-03,USD,CAD,reference,1.4455
2025-01-03,USD,CHF,reference,0.9096
2025-01-03,USD,CNY,reference,7.3199
2025-01-03,USD,DKK,reference,7.2469
2025-01-03,USD,HKD,reference,7.7791
2025-01-03,USD,INR,reference,85.75
2025-01-03,USD,JPY,reference,157.2
2025-01-03,USD,KRW,reference,1470
2025-01-03,USD,LKR,reference,293.34
2025-01-03,USD,MXN,reference,20.649
2025-01-03,USD,MYR,reference,4.4979
2025-01-03,USD,NOK,reference,11.3771
2025-01-03,USD,SEK,reference,11.1216
2025-01-03,USD,SGD,reference,1.3709
2025-01-03,USD,THB,reference,34.54
2025-01-03,USD,TWD,reference,32.96
2025-01-03,USD,ZAR,reference,18.7892
2025-01-06,AUD,USD,reference,0.6251
2025-01-06,EUR,USD,reference,1.0397
2025-01-06,GBP,USD,reference,1.253
2025-01-06,NZD,USD,reference,0.5646
2025-01-06,USD,BRL,reference,6.1086
2025-01-06,USD,CAD,reference,1.4359
2025-01-06,USD,CHF,reference,0.9043
2025-01-06,USD,CNY,reference,7.3223
2025-01-06,USD,DKK,reference,7.174
2025-01-06,USD,HKD,reference,7.7749
2025-01-06,USD,INR,reference,85.7
2025-01-06,USD,JPY,reference,157.54
2025-01-06,USD,KRW,reference,1459.94
2025-01-06,USD,LKR,reference,295.5
2025-01-06,USD,MXN,reference,20.2771
2025-01-06,USD,MYR,reference,4.5094
2025-01-06,USD,NOK,reference,11.2771
2025-01-06,USD,SEK,reference,11.0392
2025-01-06,USD,SGD,reference,1.3629
2025-01-06,USD,THB,reference,34.6
2025-01-06,USD,TWD,reference,32.86
2025-01-06,USD,ZAR,reference,18.5663
2025-01-07,AUD,USD,reference,0.6245
2025-01-07,EUR,USD,reference,1.0369
2025-01-07,GBP,USD,reference,1.2499
2025-01-07,NZD,USD,reference,0.5643
2025-01-07,USD,BRL,reference,6.0641
2025-01-07,USD,CAD,reference,1.4341
2025-01-07,USD,CHF,reference,0.9076
2025-01-07,USD,CNY,reference,7.3264
2025-01-07,USD,DKK,reference,7.1945
2025-01-07,USD,HKD,reference,7.7767
2025-01-07,USD,INR,reference,85.74
2025-01-07,USD,JPY,reference,157.82
2025-01-07,USD,KRW,reference,1452.42
2025-01-07,USD,LKR,reference,295.25
2025-01-07,USD,MXN,reference,20.3255
2025-01-07,USD,MYR,reference,4.4849
2025-01-07,USD,NOK,reference,11.3302
2025-01-07,USD,SEK,reference,11.0883
2025-01-07,USD,SGD,reference,1.3635
2025-01-07,USD,THB,reference,34.49
2025-01-07,USD,TWD,reference,32.71
2025-01-07,USD,ZAR,reference,18.685
2025-01-08,AUD,USD,reference,0.6217
2025-01-08,EUR,USD,reference,1.0313
2025-01-08,GBP,USD,reference,1.2366
2025-01-08,NZD,USD,reference,0.5613
2025-01-08,USD,BRL,reference,6.128
2025-01-08,USD,CAD,reference,1.4375
2025-01-08,USD,CHF,reference,0.9107
