date,base,quote,type,value
1984-01-03,AUD,HKD,reference,7.1
1984-01-03,BEF,HKD,reference,0.147
1984-01-03,CAD,HKD,reference,6.27
1984-01-03,CHF,HKD,reference,3.59
1984-01-03,CNY,HKD,reference,3.962
1984-01-03,DEM,HKD,reference,2.86
1984-01-03,FRF,HKD,reference,0.94
1984-01-03,GBP,HKD,reference,11.28
1984-01-03,ITL,HKD,reference,0.0048
1984-01-03,JPY,HKD,reference,0.0339
1984-01-03,KRW,HKD,reference,0.0098
1984-01-03,NLG,HKD,reference,2.55
1984-01-03,SGD,HKD,reference,3.68
1984-01-03,TWD,HKD,reference,0.184
1984-01-03,USD,HKD,reference,7.797
1984-01-04,AUD,HKD,reference,7.1
1984-01-04,BEF,HKD,reference,0.145
1984-01-04,CAD,HKD,reference,6.28
1984-01-04,CHF,HKD,reference,3.54
1984-01-04,CNY,HKD,reference,3.9078
1984-01-04,DEM,HKD,reference,2.84
1984-01-04,FRF,HKD,reference,0.93
1984-01-04,GBP,HKD,reference,11.16
1984-01-04,ITL,HKD,reference,0.0047
1984-01-04,JPY,HKD,reference,0.0336
1984-01-04,KRW,HKD,reference,0.0098
1984-01-04,NLG,HKD,reference,2.53
1984-01-04,SGD,HKD,reference,3.69
1984-01-04,TWD,HKD,reference,0.184
1984-01-04,USD,HKD,reference,7.813
1984-01-05,AUD,HKD,reference,7.09
1984-01-05,BEF,HKD,reference,0.144
1984-01-05,CAD,HKD,reference,6.27
1984-01-05,CHF,HKD,reference,3.52
1984-01-05,CNY,HKD,reference,3.9078
1984-01-05,DEM,HKD,reference,2.82
1984-01-05,FRF,HKD,reference,0.92
1984-01-05,GBP,HKD,reference,11.09
1984-01-05,ITL,HKD,reference,0.0047
1984-01-05,JPY,HKD,reference,0.0336
1984-01-05,KRW,HKD,reference,0.0098
1984-01-05,NLG,HKD,reference,2.51
1984-01-05,SGD,HKD,reference,3.68
1984-01-05,TWD,HKD,reference,0.186
1984-01-05,USD,HKD,reference,7.807
1984-01-06,AUD,HKD,reference,7.1
1984-01-06,BEF,HKD,reference,0.144
1984-01-06,CAD,HKD,reference,6.26
1984-01-06,CHF,HKD,reference,3.51
1984-01-06,CNY,HKD,reference,3.9078
1984-01-06,DEM,HKD,reference,2.8
1984-01-06,FRF,HKD,reference,0.92
1984-01-06,GBP,HKD,reference,11.03
1984-01-06,ITL,HKD,reference,0.0047
1984-01-06,JPY,HKD,reference,0.0336
1984-01-06,KRW,HKD,reference,0.0098
1984-01-06,NLG,HKD,reference,2.5
1984-01-06,SGD,HKD,reference,3.68
1984-01-06,TWD,HKD,reference,0.186
1984-01-06,USD,HKD,reference,7.808
1984-01-07,AUD,HKD,reference,7.17
1984-01-07,BEF,HKD,reference,0.144
1984-01-07,CAD,HKD,reference,6.26
1984-01-07,CHF,HKD,reference,3.5
1984-01-07,CNY,HKD,reference,3.8685
1984-01-07,DEM,HKD,reference,2.79
1984-01-07,FRF,HKD,reference,0.91
1984-01-07,GBP,HKD,reference,11.01
1984-01-07,ITL,HKD,reference,0.0047
1984-01-07,JPY,HKD,reference,0.0337
1984-01-07,KRW,HKD,reference,0.0098
1984-01-07,NLG,HKD,reference,2.49
1984-01-07,SGD,HKD,reference,3.68
1984-01-07,TWD,HKD,reference,0.186
1984-01-07,USD,HKD,reference,7.815
1984-01-09,AUD,HKD,reference,7.15
1984-01-09,BEF,HKD,reference,0.143
1984-01-09,CAD,HKD,reference,6.26
1984-01-09,CHF,HKD,reference,3.49
1984-01-09,CNY,HKD,reference,3.8685
1984-01-09,DEM,HKD,reference,2.78
1984-01-09,FRF,HKD,reference,0.91
1984-01-09,GBP,HKD,reference,10.92
1984-01-09,ITL,HKD,reference,0.0046
1984-01-09,JPY,HKD,reference,0.0337
1984-01-09,KRW,HKD,reference,0.0098
1984-01-09,NLG,HKD,reference,2.48
1984-01-09,SGD,HKD,reference,3.68
1984-01-09,TWD,HKD,reference,0.186
1984-01-09,USD,HKD,reference,7.812
1984-01-10,AUD,HKD,reference,7.14
1984-01-10,BEF,HKD,reference,0.142
1984-01-10,CAD,HKD,reference,6.24
1984-01-10,CHF,HKD,reference,3.47
1984-01-10,CNY,HKD,reference,3.8685
1984-01-10,DEM,HKD,reference,2.76
1984-01-10,FRF,HKD,reference,0.9
1984-01-10,GBP,HKD,reference,10.93
1984-01-10,ITL,HKD,reference,0.0046
1984-01-10,JPY,HKD,reference,0.0335
1984-01-10,KRW,HKD,reference,0.0098
1984-01-10,NLG,HKD,reference,2.46
1984-01-10,SGD,HKD,reference,3.68
1984-01-10,TWD,HKD,reference,0.186
1984-01-10,USD,HKD,reference,7.807
1984-01-11,AUD,HKD,reference,7.15
1984-01-11,BEF,HKD,reference,0.142
1984-01-11,CAD,HKD,reference,6.25
1984-01-11,CHF,HKD,reference,3.48
1984-01-11,CNY,HKD,reference,3.8685
1984-01-11,DEM,HKD,reference,2.76
1984-01-11,FRF,HKD,reference,0.9
1984-01-11,GBP,HKD,reference,10.93
1984-01-11,ITL,HKD,reference,0.0046
1984-01-11,JPY,HKD,reference,0.0335
1984-01-11,KRW,HKD,reference,0.0098
1984-01-11,NLG,HKD,reference,2.47
1984-01-11,SGD,HKD,reference,3.68
1984-01-11,TWD,HKD,reference,0.186
1984-01-11,USD,HKD,reference,7.807
1984-01-12,AUD,HKD,reference,7.12
1984-01-12,BEF,HKD,reference,0.142
1984-01-12,CAD,HKD,reference,6.25
1984-01-12,CHF,HKD,reference,3.49
1984-01-12,CNY,HKD,reference,3.83
1984-01-12,DEM,HKD,reference,2.77
1984-01-12,FRF,HKD,reference,0.91
1984-01-12,GBP,HKD,reference,10.95
1984-01-12,ITL,HKD,reference,0.0046
1984-01-12,JPY,HKD,reference,0.0334
1984-01-12,KRW,HKD,reference,0.0098
1984-01-12,NLG,HKD,reference,2.47
1984-01-12,SGD,HKD,reference,3.68
1984-01-12,TWD,HKD,reference,0.186
1984-01-12,USD,HKD,reference,7.805
1984-01-13,AUD,HKD,reference,7.12
1984-01-13,BEF,HKD,reference,0.143
1984-01-13,CAD,HKD,reference,6.26
1984-01-13,CHF,HKD,reference,3.5
1984-01-13,CNY,HKD,reference,3.83
1984-01-13,DEM,HKD,reference,2.77
1984-01-13,FRF,HKD,reference,0.91
1984-01-13,GBP,HKD,reference,10.96
1984-01-13,ITL,HKD,reference,0.0046
1984-01-13,JPY,HKD,reference,0.0334
1984-01-13,KRW,HKD,reference,0.0098
1984-01-13,NLG,HKD,reference,2.47
1984-01-13,SGD,HKD,reference,3.68
1984-01-13,TWD,HKD,reference,0.186
1984-01-13,USD,HKD,reference,7.805
1984-01-14,AUD,HKD,reference,7.14
1984-01-14,BEF,HKD,reference,0.144
1984-01-14,CAD,HKD,reference,6.27
1984-01-14,CHF,HKD,reference,3.53
1984-01-14,CNY,HKD,reference,3.83
1984-01-14,DEM,HKD,reference,2.8
1984-01-14,FRF,HKD,reference,0.92
1984-01-14,GBP,HKD,reference,11.06
1984-01-14,ITL,HKD,reference,0.0047
1984-01-14,JPY,HKD,reference,0.0336
1984-01-14,KRW,HKD,reference,0.0098
1984-01-14,NLG,HKD,reference,2.5
1984-01-14,SGD,HKD,reference,3.68
1984-01-14,TWD,HKD,reference,0.186
1984-01-14,USD,HKD,reference,7.8
1984-01-16,AUD,HKD,reference,7.1
1984-01-16,BEF,HKD,reference,0.144
1984-01-16,CAD,HKD,reference,6.28
1984-01-16,CHF,HKD,reference,3.54
1984-01-16,CNY,HKD,reference,3.83
1984-01-16,DEM,HKD,reference,2.81
1984-01-16,FRF,HKD,reference,0.92
1984-01-16,GBP,HKD,reference,11.05
