date,base,quote,type,value
2023-01-01,GBP,AED,monthly,4.5569
2023-01-01,GBP,ALL,monthly,133.5447
2023-01-01,GBP,AMD,monthly,488.9586
2023-01-01,GBP,AOA,monthly,634.258
2023-01-01,GBP,ARS,monthly,213.5512
2023-01-01,GBP,AUD,monthly,1.807
2023-01-01,GBP,AWG,monthly,2.2207
2023-01-01,GBP,AZN,monthly,2.109
2023-01-01,GBP,BAM,monthly,2.2879
2023-01-01,GBP,BBD,monthly,2.4812
2023-01-01,GBP,BDT,monthly,128.0922
2023-01-01,GBP,BGN,monthly,2.2787
2023-01-01,GBP,BHD,monthly,0.4677
2023-01-01,GBP,BIF,monthly,2551.9194
2023-01-01,GBP,BMD,monthly,1.2406
2023-01-01,GBP,BND,monthly,1.6712
2023-01-01,GBP,BOB,monthly,8.5726
2023-01-01,GBP,BRL,monthly,6.6052
2023-01-01,GBP,BSD,monthly,1.2406
2023-01-01,GBP,BTN,monthly,102.2892
2023-01-01,GBP,BWP,monthly,15.9666
2023-01-01,GBP,BYN,monthly,3.1077
2023-01-01,GBP,BZD,monthly,2.4812
2023-01-01,GBP,CAD,monthly,1.6825
2023-01-01,GBP,CDF,monthly,2522.1451
2023-01-01,GBP,CHF,monthly,1.1459
2023-01-01,GBP,CLP,monthly,1076.6197
2023-01-01,GBP,CNY,monthly,8.6103
2023-01-01,GBP,COP,monthly,5932.9963
2023-01-01,GBP,CRC,monthly,742.6309
2023-01-01,GBP,CUP,monthly,29.6903
2023-01-01,GBP,CVE,monthly,129.3328
2023-01-01,GBP,CZK,monthly,28.2638
2023-01-01,GBP,DJF,monthly,220.2069
2023-01-01,GBP,DKK,monthly,8.6672
2023-01-01,GBP,DOP,monthly,68.32
2023-01-01,GBP,DZD,monthly,170.6642
2023-01-01,GBP,ECS,monthly,1.2406
2023-01-01,GBP,EGP,monthly,30.656
2023-01-01,GBP,ERN,monthly,18.609
2023-01-01,GBP,ETB,monthly,66.3102
2023-01-01,GBP,EUR,monthly,1.1652
2023-01-01,GBP,FJD,monthly,2.7572
2023-01-01,GBP,GEL,monthly,3.3062
2023-01-01,GBP,GHS,monthly,12.6231
2023-01-01,GBP,GMD,monthly,76.7933
2023-01-01,GBP,GNF,monthly,10686.5351
2023-01-01,GBP,GTQ,monthly,9.7722
2023-01-01,GBP,GYD,monthly,259.6702
2023-01-01,GBP,HKD,monthly,9.643
2023-01-01,GBP,HNL,monthly,30.6429
2023-01-01,GBP,HRK,monthly,8.7812
2023-01-01,GBP,HTG,monthly,177.6962
2023-01-01,GBP,HUF,monthly,471.7727
2023-01-01,GBP,IDR,monthly,19344.1183
2023-01-01,GBP,ILS,monthly,4.2183
2023-01-01,GBP,INR,monthly,102.2892
2023-01-01,GBP,IQD,monthly,1811.4221
2023-01-01,GBP,ISK,monthly,175.8058
2023-01-01,GBP,JMD,monthly,190.5704
2023-01-01,GBP,JOD,monthly,0.8796
2023-01-01,GBP,JPY,monthly,167.2828
2023-01-01,GBP,KES,monthly,152.408
2023-01-01,GBP,KGS,monthly,105.3892
2023-01-01,GBP,KHR,monthly,5102.5163
2023-01-01,GBP,KMF,monthly,573.2204
2023-01-01,GBP,KRW,monthly,1608.131
2023-01-01,GBP,KWD,monthly,0.3799
2023-01-01,GBP,KYD,monthly,1.0173
2023-01-01,GBP,KZT,monthly,582.6613
2023-01-01,GBP,LAK,monthly,21500.8314
2023-01-01,GBP,LBP,monthly,1888.1972
2023-01-01,GBP,LKR,monthly,454.3955
2023-01-01,GBP,LSL,monthly,21.3221
2023-01-01,GBP,LYD,monthly,6.0079
2023-01-01,GBP,MAD,monthly,12.9784
2023-01-01,GBP,MDL,monthly,23.9598
2023-01-01,GBP,MGA,monthly,5464.8542
2023-01-01,GBP,MKD,monthly,71.713
2023-01-01,GBP,MMK,monthly,2606.4644
2023-01-01,GBP,MNT,monthly,4249.0649
2023-01-01,GBP,MOP,monthly,9.9323
2023-01-01,GBP,MRU,monthly,44.3267
2023-01-01,GBP,MUR,monthly,54.5865
2023-01-01,GBP,MVR,monthly,19.1053
2023-01-01,GBP,MWK,monthly,1275.234
2023-01-01,GBP,MXN,monthly,24.4721
2023-01-01,GBP,MYR,monthly,5.4481
2023-01-01,GBP,MZN,monthly,79.2125
2023-01-01,GBP,NGN,monthly,552.6884
2023-01-01,GBP,NIO,monthly,45.282
2023-01-01,GBP,NOK,monthly,12.1046
2023-01-01,GBP,NPR,monthly,163.6628
2023-01-01,GBP,NZD,monthly,1.9227
2023-01-01,GBP,OMR,monthly,0.4776
2023-01-01,GBP,PAB,monthly,1.2406
2023-01-01,GBP,PEN,monthly,4.7577
2023-01-01,GBP,PGK,monthly,4.3713
2023-01-01,GBP,PHP,monthly,69.207
2023-01-01,GBP,PKR,monthly,279.1356
2023-01-01,GBP,PLN,monthly,5.4569
2023-01-01,GBP,PYG,monthly,8948.5619
2023-01-01,GBP,QAR,monthly,4.518
2023-01-01,GBP,RON,monthly,5.7374
2023-01-01,GBP,RSD,monthly,136.764
2023-01-01,GBP,RUB,monthly,80.4841
2023-01-01,GBP,RWF,monthly,1317.5199
2023-01-01,GBP,SAR,monthly,4.6647
2023-01-01,GBP,SBD,monthly,10.2402
2023-01-01,GBP,SCR,monthly,17.6889
2023-01-01,GBP,SDG,monthly,704.0419
2023-01-01,GBP,SEK,monthly,12.6559
2023-01-01,GBP,SGD,monthly,1.6712
2023-01-01,GBP,SLL,monthly,17223.6508
2023-01-01,GBP,SOS,monthly,705.673
2023-01-01,GBP,SRD,monthly,39.2936
2023-01-01,GBP,STD,monthly,28548.8
2023-01-01,GBP,SVC,monthly,10.8613
2023-01-01,GBP,SZL,monthly,21.3221
2023-01-01,GBP,THB,monthly,42.8659
2023-01-01,GBP,TMT,monthly,4.3111
2023-01-01,GBP,TND,monthly,3.8622
2023-01-01,GBP,TOP,monthly,1.807
