date,base,quote,type,value
2009-01-02,AED,SGD,reference,0.3954
2009-01-02,AUD,SGD,reference,1.0106
2009-01-02,CAD,SGD,reference,1.1894
2009-01-02,CHF,SGD,reference,1.3553
2009-01-02,CNY,SGD,reference,0.21289999999999998
2009-01-02,EUR,SGD,reference,2.0174
2009-01-02,GBP,SGD,reference,2.1292
2009-01-02,HKD,SGD,reference,0.18739999999999998
2009-01-02,IDR,SGD,reference,0.00013325999999999998
2009-01-02,INR,SGD,reference,0.029625
2009-01-02,JPY,SGD,reference,0.015957
2009-01-02,KRW,SGD,reference,0.001097
2009-01-02,MYR,SGD,reference,0.41840000000000005
2009-01-02,NZD,SGD,reference,0.8409
2009-01-02,PHP,SGD,reference,0.030515
2009-01-02,QAR,SGD,reference,0.39880000000000004
2009-01-02,SAR,SGD,reference,0.387
2009-01-02,THB,SGD,reference,0.041679
2009-01-02,TWD,SGD,reference,0.04425900000000001
2009-01-02,USD,SGD,reference,1.4525
2009-01-02,VND,SGD,reference,0.00008309
2009-01-05,AED,SGD,reference,0.39770000000000005
2009-01-05,AUD,SGD,reference,1.0405
2009-01-05,CAD,SGD,reference,1.205
2009-01-05,CHF,SGD,reference,1.3544
2009-01-05,CNY,SGD,reference,0.2138
2009-01-05,EUR,SGD,reference,2.0283
2009-01-05,GBP,SGD,reference,2.1161
2009-01-05,HKD,SGD,reference,0.1884
2009-01-05,IDR,SGD,reference,0.0001334
2009-01-05,INR,SGD,reference,0.030248
2009-01-05,JPY,SGD,reference,0.015881
2009-01-05,KRW,SGD,reference,0.001122
2009-01-05,MYR,SGD,reference,0.41969999999999996
2009-01-05,NZD,SGD,reference,0.862
2009-01-05,PHP,SGD,reference,0.030878000000000003
2009-01-05,QAR,SGD,reference,0.4011
2009-01-05,SAR,SGD,reference,0.3892
2009-01-05,THB,SGD,reference,0.041944
2009-01-05,TWD,SGD,reference,0.044272
2009-01-05,USD,SGD,reference,1.4607
2009-01-05,VND,SGD,reference,0.00008366999999999999
2009-01-06,AED,SGD,reference,0.4
2009-01-06,AUD,SGD,reference,1.0519
2009-01-06,CAD,SGD,reference,1.2327
2009-01-06,CHF,SGD,reference,1.3253
2009-01-06,CNY,SGD,reference,0.215
2009-01-06,EUR,SGD,reference,1.9996
2009-01-06,GBP,SGD,reference,2.1546
2009-01-06,HKD,SGD,reference,0.1895
2009-01-06,IDR,SGD,reference,0.00013298000000000002
2009-01-06,INR,SGD,reference,0.030225
2009-01-06,JPY,SGD,reference,0.015784
2009-01-06,KRW,SGD,reference,0.0011200000000000001
2009-01-06,MYR,SGD,reference,0.42
2009-01-06,NZD,SGD,reference,0.8642
2009-01-06,PHP,SGD,reference,0.031286999999999995
2009-01-06,QAR,SGD,reference,0.4035
2009-01-06,SAR,SGD,reference,0.39149999999999996
2009-01-06,THB,SGD,reference,0.041965
