date,base,quote,type,value
2014-01-05,USD,MVR,reference,15.42
2014-01-06,USD,MVR,reference,15.33
2014-01-07,USD,MVR,reference,15.37
2014-01-08,USD,MVR,reference,15.42
2014-01-09,USD,MVR,reference,15.29
2014-01-12,USD,MVR,reference,15.38
2014-01-14,USD,MVR,reference,15.38
2014-01-15,USD,MVR,reference,15.41
2014-01-16,USD,MVR,reference,15.39
2014-01-19,USD,MVR,reference,15.39
2014-01-20,USD,MVR,reference,15.31
2014-01-21,USD,MVR,reference,15.4
2014-01-22,USD,MVR,reference,15.41
2014-01-23,USD,MVR,reference,15.4
2014-01-26,USD,MVR,reference,15.33
2014-01-27,USD,MVR,reference,15.36
2014-01-28,USD,MVR,reference,15.35
2014-01-29,USD,MVR,reference,15.41
2014-01-30,USD,MVR,reference,15.38
2014-02-03,USD,MVR,reference,15.41
2014-02-04,USD,MVR,reference,15.36
2014-02-05,USD,MVR,reference,15.41
2014-02-06,USD,MVR,reference,15.39
2014-02-09,USD,MVR,reference,15.3
2014-02-10,USD,MVR,reference,15.34
2014-02-11,USD,MVR,reference,15.36
2014-02-12,USD,MVR,reference,15.41
2014-02-13,USD,MVR,reference,15.36
2014-02-16,USD,MVR,reference,15.37
2014-02-17,USD,MVR,reference,15.34
2014-02-18,USD,MVR,reference,15.36
2014-02-19,USD,MVR,reference,15.41
2014-02-20,USD,MVR,reference,15.36
2014-02-23,USD,MVR,reference,15.39
2014-02-24,USD,MVR,reference,15.3
2014-02-25,USD,MVR,reference,15.39
2014-02-26,USD,MVR,reference,15.42
2014-02-27,USD,MVR,reference,15.41
2014-03-02,USD,MVR,reference,15.39
2014-03-03,USD,MVR,reference,15.35
2014-03-04,USD,MVR,reference,15.37
2014-03-05,USD,MVR,reference,15.42
2014-03-06,USD,MVR,reference,15.34
2014-03-09,USD,MVR,reference,15.35
2014-03-10,USD,MVR,reference,15.3
2014-03-11,USD,MVR,reference,15.37
2014-03-12,USD,MVR,reference,15.42
2014-03-13,USD,MVR,reference,15.4
2014-03-16,USD,MVR,reference,15.37
2014-03-17,USD,MVR,reference,15.33
