date,base,quote,type,value
2026-01-05,AUD,HUF,reference,219.66
2026-01-05,BRL,HUF,reference,60.68
2026-01-05,CAD,HUF,reference,238.81
2026-01-05,CHF,HUF,reference,413.15
2026-01-05,CNY,HUF,reference,47.1
2026-01-05,CZK,HUF,reference,15.9
2026-01-05,DKK,HUF,reference,51.46
2026-01-05,EUR,HUF,reference,384.41
2026-01-05,GBP,HUF,reference,442.32
2026-01-05,HKD,HUF,reference,42.25
2026-01-05,IDR,HUF,reference,0.0197
2026-01-05,ILS,HUF,reference,103.58
2026-01-05,INR,HUF,reference,3.64
2026-01-05,ISK,HUF,reference,2.61
2026-01-05,JPY,HUF,reference,2.0967
2026-01-05,KRW,HUF,reference,0.2274
2026-01-05,MXN,HUF,reference,18.27
2026-01-05,MYR,HUF,reference,80.79
2026-01-05,NOK,HUF,reference,32.61
2026-01-05,NZD,HUF,reference,189.19
2026-01-05,PHP,HUF,reference,5.57
2026-01-05,PLN,HUF,reference,91.28
2026-01-05,RON,HUF,reference,75.51
2026-01-05,RSD,HUF,reference,3.28
2026-01-05,RUB,HUF,reference,4.07
2026-01-05,SEK,HUF,reference,35.65
2026-01-05,SGD,HUF,reference,255.52
2026-01-05,THB,HUF,reference,10.5
2026-01-05,TRY,HUF,reference,7.64
2026-01-05,UAH,HUF,reference,7.75
2026-01-05,USD,HUF,reference,329.03
2026-01-05,ZAR,HUF,reference,19.98
2026-01-06,AUD,HUF,reference,220.87
2026-01-06,BRL,HUF,reference,60.75
2026-01-06,CAD,HUF,reference,238.81
2026-01-06,CHF,HUF,reference,414.86
2026-01-06,CNY,HUF,reference,47.08
2026-01-06,CZK,HUF,reference,15.91
2026-01-06,DKK,HUF,reference,51.55
2026-01-06,EUR,HUF,reference,385.18
2026-01-06,GBP,HUF,reference,445.09
2026-01-06,HKD,HUF,reference,42.22
2026-01-06,IDR,HUF,reference,0.0196
2026-01-06,ILS,HUF,reference,104.05
2026-01-06,INR,HUF,reference,3.65
2026-01-06,ISK,HUF,reference,2.61
2026-01-06,JPY,HUF,reference,2.1026
2026-01-06,KRW,HUF,reference,0.2271
2026-01-06,MXN,HUF,reference,18.31
2026-01-06,MYR,HUF,reference,81.25
2026-01-06,NOK,HUF,reference,32.82
2026-01-06,NZD,HUF,reference,190.45
2026-01-06,PHP,HUF,reference,5.55
2026-01-06,PLN,HUF,reference,91.38
2026-01-06,RON,HUF,reference,75.68
2026-01-06,RSD,HUF,reference,3.28
2026-01-06,RUB,HUF,reference,4.06
2026-01-06,SEK,HUF,reference,35.78
2026-01-06,SGD,HUF,reference,256.97
2026-01-06,THB,HUF,reference,10.52
2026-01-06,TRY,HUF,reference,7.64
2026-01-06,UAH,HUF,reference,7.73
2026-01-06,USD,HUF,reference,328.82
2026-01-06,ZAR,HUF,reference,20.11
2026-01-07,AUD,HUF,reference,221.9
2026-01-07,BRL,HUF,reference,61.3
2026-01-07,CAD,HUF,reference,238.4
2026-01-07,CHF,HUF,reference,413.78
2026-01-07,CNY,HUF,reference,47.09
2026-01-07,CZK,HUF,reference,15.88
2026-01-07,DKK,HUF,reference,51.5
2026-01-07,EUR,HUF,reference,384.82
2026-01-07,GBP,HUF,reference,444.43
2026-01-07,HKD,HUF,reference,42.29
2026-01-07,IDR,HUF,reference,0.0196
2026-01-07,ILS,HUF,reference,103.62
2026-01-07,INR,HUF,reference,3.66
2026-01-07,ISK,HUF,reference,2.61
2026-01-07,JPY,HUF,reference,2.1047
2026-01-07,KRW,HUF,reference,0.22760000000000002
2026-01-07,MXN,HUF,reference,18.31
2026-01-07,MYR,HUF,reference,81.16
2026-01-07,NOK,HUF,reference,32.71
2026-01-07,NZD,HUF,reference,190.62
2026-01-07,PHP,HUF,reference,5.55
2026-01-07,PLN,HUF,reference,91.39
2026-01-07,RON,HUF,reference,75.61
2026-01-07,RSD,HUF,reference,3.28
2026-01-07,RUB,HUF,reference,4.09
2026-01-07,SEK,HUF,reference,35.78
2026-01-07,SGD,HUF,reference,256.89
2026-01-07,THB,HUF,reference,10.53
2026-01-07,TRY,HUF,reference,7.65
2026-01-07,UAH,HUF,reference,7.72
2026-01-07,USD,HUF,reference,329.33
2026-01-07,ZAR,HUF,reference,20.04
2026-01-08,AUD,HUF,reference,220.6
2026-01-08,BRL,HUF,reference,61.2
2026-01-08,CAD,HUF,reference,237.45
2026-01-08,CHF,HUF,reference,413.18
2026-01-08,CNY,HUF,reference,47.19
2026-01-08,CZK,HUF,reference,15.85
2026-01-08,DKK,HUF,reference,51.5
2026-01-08,EUR,HUF,reference,384.82
2026-01-08,GBP,HUF,reference,442.85
2026-01-08,HKD,HUF,reference,42.29
2026-01-08,IDR,HUF,reference,0.0196
2026-01-08,ILS,HUF,reference,103.75
2026-01-08,INR,HUF,reference,3.66
2026-01-08,ISK,HUF,reference,2.61
2026-01-08,JPY,HUF,reference,2.1024000000000003
2026-01-08,KRW,HUF,reference,0.22699999999999998
2026-01-08,MXN,HUF,reference,18.34
2026-01-08,MYR,HUF,reference,81.12
2026-01-08,NOK,HUF,reference,32.55
2026-01-08,NZD,HUF,reference,189.33
2026-01-08,PHP,HUF,reference,5.56
2026-01-08,PLN,HUF,reference,91.36
2026-01-08,RON,HUF,reference,75.65
2026-01-08,RSD,HUF,reference,3.28
2026-01-08,RUB,HUF,reference,4.09
2026-01-08,SEK,HUF,reference,35.73
2026-01-08,SGD,HUF,reference,256.62
2026-01-08,THB,HUF,reference,10.46
2026-01-08,TRY,HUF,reference,7.65
2026-01-08,UAH,HUF,reference,7.65
2026-01-08,USD,HUF,reference,329.55
2026-01-08,ZAR,HUF,reference,19.98
2026-01-09,AUD,HUF,reference,221.44
2026-01-09,BRL,HUF,reference,61.51
2026-01-09,CAD,HUF,reference,238.88
2026-01-09,CHF,HUF,reference,414.25
2026-01-09,CNY,HUF,reference,47.46
2026-01-09,CZK,HUF,reference,15.87
2026-01-09,DKK,HUF,reference,51.64
2026-01-09,EUR,HUF,reference,385.9
2026-01-09,GBP,HUF,reference,444.46
2026-01-09,HKD,HUF,reference,42.52
2026-01-09,IDR,HUF,reference,0.0197
2026-01-09,ILS,HUF,reference,104.62
2026-01-09,INR,HUF,reference,3.68
2026-01-09,ISK,HUF,reference,2.62
2026-01-09,JPY,HUF,reference,2.1014
2026-01-09,KRW,HUF,reference,0.2273
2026-01-09,MXN,HUF,reference,18.4
2026-01-09,MYR,HUF,reference,81.36
2026-01-09,NOK,HUF,reference,32.84
2026-01-09,NZD,HUF,reference,189.88
2026-01-09,PHP,HUF,reference,5.59
2026-01-09,PLN,HUF,reference,91.59
2026-01-09,RON,HUF,reference,75.84
2026-01-09,RSD,HUF,reference,3.29
2026-01-09,RUB,HUF,reference,4.19
2026-01-09,SEK,HUF,reference,35.91
2026-01-09,SGD,HUF,reference,257.57
2026-01-09,THB,HUF,reference,10.55
2026-01-09,TRY,HUF,reference,7.7
2026-01-09,UAH,HUF,reference,7.69
2026-01-09,USD,HUF,reference,331.44
2026-01-09,ZAR,HUF,reference,20.02
2026-01-12,AUD,HUF,reference,221.65
2026-01-12,BRL,HUF,reference,61.55
2026-01-12,CAD,HUF,reference,238.08
2026-01-12,CHF,HUF,reference,414.6
2026-01-12,CNY,HUF,reference,47.39
2026-01-12,CZK,HUF,reference,15.9
2026-01-12,DKK,HUF,reference,51.66
2026-01-12,EUR,HUF,reference,386.07
2026-01-12,GBP,HUF,reference,444.63
2026-01-12,HKD,HUF,reference,42.38
2026-01-12,IDR,HUF,reference,0.0196
2026-01-12,ILS,HUF,reference,104.66
2026-01-12,INR,HUF,reference,3.67
2026-01-12,ISK,HUF,reference,2.62
2026-01-12,JPY,HUF,reference,2.093
2026-01-12,KRW,HUF,reference,0.225
2026-01-12,MXN,HUF,reference,18.45
2026-01-12,MYR,HUF,reference,81.35
2026-01-12,NOK,HUF,reference,32.82
2026-01-12,NZD,HUF,reference,190.19
2026-01-12,PHP,HUF,reference,5.58
2026-01-12,PLN,HUF,reference,91.71
2026-01-12,RON,HUF,reference,75.85
2026-01-12,RSD,HUF,reference,3.29
2026-01-12,RUB,HUF,reference,4.2
2026-01-12,SEK,HUF,reference,36.02
2026-01-12,SGD,HUF,reference,256.92
2026-01-12,THB,HUF,reference,10.58
2026-01-12,TRY,HUF,reference,7.66
2026-01-12,UAH,HUF,reference,7.63
2026-01-12,USD,HUF,reference,330.48
2026-01-12,ZAR,HUF,reference,20.13
2026-01-13,AUD,HUF,reference,221.75
2026-01-13,BRL,HUF,reference,61.55
2026-01-13,CAD,HUF,reference,238.31
2026-01-13,CHF,HUF,reference,414.54
2026-01-13,CNY,HUF,reference,47.4
2026-01-13,CZK,HUF,reference,15.9
2026-01-13,DKK,HUF,reference,51.66
2026-01-13,EUR,HUF,reference,385.97
2026-01-13,GBP,HUF,reference,445.79
2026-01-13,HKD,HUF,reference,42.39
2026-01-13,IDR,HUF,reference,0.0196
2026-01-13,ILS,HUF,reference,105.32
2026-01-13,INR,HUF,reference,3.67
2026-01-13,ISK,HUF,reference,2.63
2026-01-13,JPY,HUF,reference,2.0811
2026-01-13,KRW,HUF,reference,0.2245
2026-01-13,MXN,HUF,reference,18.47
2026-01-13,MYR,HUF,reference,81.5
2026-01-13,NOK,HUF,reference,32.82
2026-01-13,NZD,HUF,reference,190.84
2026-01-13,PHP,HUF,reference,5.57
2026-01-13,PLN,HUF,reference,91.65
2026-01-13,RON,HUF,reference,75.84
2026-01-13,RSD,HUF,reference,3.29
2026-01-13,RUB,HUF,reference,4.21
2026-01-13,SEK,HUF,reference,36.03
2026-01-13,SGD,HUF,reference,256.92
2026-01-13,THB,HUF,reference,10.51
2026-01-13,TRY,HUF,reference,7.66
2026-01-13,UAH,HUF,reference,7.65
2026-01-13,USD,HUF,reference,330.68
2026-01-13,ZAR,HUF,reference,20.15
2026-01-14,AUD,HUF,reference,221.38
2026-01-14,BRL,HUF,reference,61.53
2026-01-14,CAD,HUF,reference,237.99
2026-01-14,CHF,HUF,reference,412.23
2026-01-14,CNY,HUF,reference,47.42
2026-01-14,CZK,HUF,reference,15.91
2026-01-14,DKK,HUF,reference,51.55
2026-01-14,EUR,HUF,reference,385.23
2026-01-14,GBP,HUF,reference,444.9
2026-01-14,HKD,HUF,reference,42.4
2026-01-14,IDR,HUF,reference,0.0196
2026-01-14,ILS,HUF,reference,105.1
2026-01-14,INR,HUF,reference,3.66
2026-01-14,ISK,HUF,reference,2.63
2026-01-14,JPY,HUF,reference,2.0823
2026-01-14,KRW,HUF,reference,0.2245
2026-01-14,MXN,HUF,reference,18.56
2026-01-14,MYR,HUF,reference,81.68
2026-01-14,NOK,HUF,reference,32.8
2026-01-14,NZD,HUF,reference,190.03
2026-01-14,PHP,HUF,reference,5.56
2026-01-14,PLN,HUF,reference,91.46
2026-01-14,RON,HUF,reference,75.66
2026-01-14,RSD,HUF,reference,3.28
2026-01-14,RUB,HUF,reference,4.21
2026-01-14,SEK,HUF,reference,35.9
2026-01-14,SGD,HUF,reference,256.8
2026-01-14,THB,HUF,reference,10.52
2026-01-14,TRY,HUF,reference,7.67
2026-01-14,UAH,HUF,reference,7.68
2026-01-14,USD,HUF,reference,330.61
2026-01-14,ZAR,HUF,reference,20.2
2026-01-15,AUD,HUF,reference,222.07
2026-01-15,BRL,HUF,reference,61.48
2026-01-15,CAD,HUF,reference,238.49
2026-01-15,CHF,HUF,reference,414.25
2026-01-15,CNY,HUF,reference,47.6
2026-01-15,CZK,HUF,reference,15.92
2026-01-15,DKK,HUF,reference,51.65
2026-01-15,EUR,HUF,reference,385.91
2026-01-15,GBP,HUF,reference,445.64
2026-01-15,HKD,HUF,reference,42.52
2026-01-15,IDR,HUF,reference,0.0196
2026-01-15,ILS,HUF,reference,105.11
2026-01-15,INR,HUF,reference,3.67
2026-01-15,ISK,HUF,reference,2.64
2026-01-15,JPY,HUF,reference,2.0938
2026-01-15,KRW,HUF,reference,0.2262
2026-01-15,MXN,HUF,reference,18.64
2026-01-15,MYR,HUF,reference,81.8
2026-01-15,NOK,HUF,reference,32.91
2026-01-15,NZD,HUF,reference,190.7
2026-01-15,PHP,HUF,reference,5.58
2026-01-15,PLN,HUF,reference,91.72
2026-01-15,RON,HUF,reference,75.84
2026-01-15,RSD,HUF,reference,3.29
2026-01-15,RUB,HUF,reference,4.23
2026-01-15,SEK,HUF,reference,36.13
2026-01-15,SGD,HUF,reference,257.63
2026-01-15,THB,HUF,reference,10.56
2026-01-15,TRY,HUF,reference,7.68
2026-01-15,UAH,HUF,reference,7.63
2026-01-15,USD,HUF,reference,331.65
2026-01-15,ZAR,HUF,reference,20.26
2026-01-16,AUD,HUF,reference,222.81
2026-01-16,BRL,HUF,reference,61.93
2026-01-16,CAD,HUF,reference,239.25
2026-01-16,CHF,HUF,reference,414.38
2026-01-16,CNY,HUF,reference,47.7
2026-01-16,CZK,HUF,reference,15.89
2026-01-16,DKK,HUF,reference,51.65
2026-01-16,EUR,HUF,reference,385.95
2026-01-16,GBP,HUF,reference,445.4
2026-01-16,HKD,HUF,reference,42.62
2026-01-16,IDR,HUF,reference,0.0197
2026-01-16,ILS,HUF,reference,105.91
2026-01-16,INR,HUF,reference,3.66
2026-01-16,ISK,HUF,reference,2.64
2026-01-16,JPY,HUF,reference,2.1015
2026-01-16,KRW,HUF,reference,0.2256
2026-01-16,MXN,HUF,reference,18.82
2026-01-16,MYR,HUF,reference,81.94
2026-01-16,NOK,HUF,reference,32.92
2026-01-16,NZD,HUF,reference,191.5
2026-01-16,PHP,HUF,reference,5.6
2026-01-16,PLN,HUF,reference,91.47
2026-01-16,RON,HUF,reference,75.82
2026-01-16,RSD,HUF,reference,3.29
2026-01-16,RUB,HUF,reference,4.28
2026-01-16,SEK,HUF,reference,36
2026-01-16,SGD,HUF,reference,258.08
2026-01-16,THB,HUF,reference,10.59
2026-01-16,TRY,HUF,reference,7.71
2026-01-16,UAH,HUF,reference,7.66
2026-01-16,USD,HUF,reference,332.46
2026-01-16,ZAR,HUF,reference,20.27
2026-01-19,AUD,HUF,reference,222.37
2026-01-19,BRL,HUF,reference,61.82
2026-01-19,CAD,HUF,reference,239.11
2026-01-19,CHF,HUF,reference,415.69
2026-01-19,CNY,HUF,reference,47.68
2026-01-19,CZK,HUF,reference,15.89
2026-01-19,DKK,HUF,reference,51.66
2026-01-19,EUR,HUF,reference,385.97
2026-01-19,GBP,HUF,reference,445.15
2026-01-19,HKD,HUF,reference,42.58
2026-01-19,IDR,HUF,reference,0.0196
2026-01-19,ILS,HUF,reference,104.96
2026-01-19,INR,HUF,reference,3.65
2026-01-19,ISK,HUF,reference,2.64
