date,base,quote,type,value
2016-01-05,AUD,KHR,buy,2911
2016-01-05,AUD,KHR,middle,2925.5
2016-01-05,AUD,KHR,sell,2940
2016-01-05,CAD,KHR,buy,2908
2016-01-05,CAD,KHR,middle,2922.5
2016-01-05,CAD,KHR,sell,2937
2016-01-05,CHF,KHR,buy,4040
2016-01-05,CHF,KHR,middle,4060
2016-01-05,CHF,KHR,sell,4080
2016-01-05,CNH,KHR,buy,611
2016-01-05,CNH,KHR,middle,614
2016-01-05,CNH,KHR,sell,617
2016-01-05,CNY,KHR,buy,620
2016-01-05,CNY,KHR,middle,623
2016-01-05,CNY,KHR,sell,626
2016-01-05,EUR,KHR,buy,4384
2016-01-05,EUR,KHR,middle,4406
2016-01-05,EUR,KHR,sell,4428
2016-01-05,GBP,KHR,buy,5959
2016-01-05,GBP,KHR,middle,5988.5
2016-01-05,GBP,KHR,sell,6018
2016-01-05,HKD,KHR,buy,523
2016-01-05,HKD,KHR,middle,525.5
2016-01-05,HKD,KHR,sell,528
2016-01-05,IDR,KHR,buy,0.291
2016-01-05,IDR,KHR,middle,0.2925
2016-01-05,IDR,KHR,sell,0.294
2016-01-05,INR,KHR,buy,60.8
2016-01-05,INR,KHR,middle,61.105
2016-01-05,INR,KHR,sell,61.41
2016-01-05,JPY,KHR,buy,33.92
2016-01-05,JPY,KHR,middle,34.09
2016-01-05,JPY,KHR,sell,34.26
2016-01-05,KRW,KHR,buy,3.41
2016-01-05,KRW,KHR,middle,3.425
2016-01-05,KRW,KHR,sell,3.44
2016-01-05,LAK,KHR,buy,0.497
2016-01-05,LAK,KHR,middle,0.4995
2016-01-05,LAK,KHR,sell,0.502
2016-01-05,MMK,KHR,buy,3.12
2016-01-05,MMK,KHR,middle,3.135
2016-01-05,MMK,KHR,sell,3.15
2016-01-05,MYR,KHR,buy,930
2016-01-05,MYR,KHR,middle,934.5
2016-01-05,MYR,KHR,sell,939
2016-01-05,NZD,KHR,buy,2733
2016-01-05,NZD,KHR,middle,2746.5
2016-01-05,NZD,KHR,sell,2760
2016-01-05,PHP,KHR,buy,85.99
2016-01-05,PHP,KHR,middle,86.42
2016-01-05,PHP,KHR,sell,86.85
2016-01-05,SDR,KHR,buy,5620
2016-01-05,SDR,KHR,middle,5648
2016-01-05,SDR,KHR,sell,5676
2016-01-05,SEK,KHR,buy,477
2016-01-05,SEK,KHR,middle,479
2016-01-05,SEK,KHR,sell,481
2016-01-05,SGD,KHR,buy,2842
2016-01-05,SGD,KHR,middle,2856
2016-01-05,SGD,KHR,sell,2870
2016-01-05,THB,KHR,buy,112
2016-01-05,THB,KHR,middle,112.5
2016-01-05,THB,KHR,sell,113
2016-01-05,TWD,KHR,buy,123
2016-01-05,TWD,KHR,middle,123.5
2016-01-05,TWD,KHR,sell,124
2016-01-05,USD,KHR,reference,4050
2016-01-05,VND,KHR,buy,0.18
2016-01-05,VND,KHR,middle,0.181
2016-01-05,VND,KHR,sell,0.182
2016-01-06,AUD,KHR,buy,2899
2016-01-06,AUD,KHR,middle,2913.5
2016-01-06,AUD,KHR,sell,2928
2016-01-06,CAD,KHR,buy,2895
2016-01-06,CAD,KHR,middle,2909
