date,base,quote,type,value
2026-09-02,AED,ETB,buy,43.7492
2026-09-02,AED,ETB,reference,43.968
2026-09-02,AED,ETB,sell,44.1867
2026-09-02,AUD,ETB,buy,114.8521
2026-09-02,AUD,ETB,reference,115.4264
2026-09-02,AUD,ETB,sell,116.0006
2026-09-02,CAD,ETB,buy,115.7195
2026-09-02,CAD,ETB,reference,116.2981
2026-09-02,CAD,ETB,sell,116.8767
2026-09-02,CHF,ETB,buy,198.2968
2026-09-02,CHF,ETB,reference,199.2883
2026-09-02,CHF,ETB,sell,200.2797
2026-09-02,CNY,ETB,buy,23.9044
2026-09-02,CNY,ETB,reference,24.0239
2026-09-02,CNY,ETB,sell,24.1434
2026-09-02,DJF,ETB,buy,0.9
2026-09-02,DJF,ETB,reference,0.9135
2026-09-02,DJF,ETB,sell,0.927
2026-09-02,DKK,ETB,buy,24.9178
2026-09-02,DKK,ETB,reference,25.0424
2026-09-02,DKK,ETB,sell,25.167
2026-09-02,EUR,ETB,buy,186.251
2026-09-02,EUR,ETB,reference,187.1823
2026-09-02,EUR,ETB,sell,188.1135
2026-09-02,GBP,ETB,buy,217.3785
2026-09-02,GBP,ETB,reference,218.4654
2026-09-02,GBP,ETB,sell,219.5523
2026-09-02,INR,ETB,buy,1.6923
2026-09-02,INR,ETB,reference,1.7008
2026-09-02,INR,ETB,sell,1.7092
2026-09-02,JPY,ETB,buy,1.0035
2026-09-02,JPY,ETB,reference,1.0085
2026-09-02,JPY,ETB,sell,1.0135
2026-09-02,KES,ETB,buy,1.2409
2026-09-02,KES,ETB,reference,1.2596
2026-09-02,KES,ETB,sell,1.2782
2026-09-02,KWD,ETB,buy,523.1097
2026-09-02,KWD,ETB,reference,525.7253
2026-09-02,KWD,ETB,sell,528.3408
2026-09-02,NOK,ETB,buy,17.2365
2026-09-02,NOK,ETB,reference,17.3227
2026-09-02,NOK,ETB,sell,17.4089
2026-09-02,SAR,ETB,buy,42.8008
2026-09-02,SAR,ETB,reference,43.0148
2026-09-02,SAR,ETB,sell,43.2288
2026-09-02,SEK,ETB,buy,16.7677
2026-09-02,SEK,ETB,reference,16.8515
2026-09-02,SEK,ETB,sell,16.9353
2026-09-02,USD,ETB,buy,160.6997
2026-09-02,USD,ETB,reference,160.6997
2026-09-02,USD,ETB,sell,162.3067
2026-09-02,XDR,ETB,buy,220.3675
2026-09-02,XDR,ETB,reference,221.4694
2026-09-02,XDR,ETB,sell,222.5712
2026-09-02,ZAR,ETB,buy,9.9488
2026-09-02,ZAR,ETB,reference,9.9986
2026-09-02,ZAR,ETB,sell,10.0483
