date,base,quote,type,value
2016-01-04,AED,GEL,reference,0.65251
2016-01-04,AMD,GEL,reference,0.0049477
2016-01-04,AUD,GEL,reference,1.7522
2016-01-04,AZN,GEL,reference,1.537
2016-01-04,BGN,GEL,reference,1.346
2016-01-04,BRL,GEL,reference,0.606
2016-01-04,CAD,GEL,reference,1.7249
2016-01-04,CHF,GEL,reference,2.4137
2016-01-04,CNY,GEL,reference,0.36907999999999996
2016-01-04,CZK,GEL,reference,0.09677
2016-01-04,DKK,GEL,reference,0.35032
2016-01-04,EGP,GEL,reference,0.30697
2016-01-04,EUR,GEL,reference,2.6137
2016-01-04,GBP,GEL,reference,3.5522
2016-01-04,HKD,GEL,reference,0.30921
2016-01-04,HUF,GEL,reference,0.0083
2016-01-04,ILS,GEL,reference,0.61439
2016-01-04,INR,GEL,reference,0.036227
2016-01-04,IRR,GEL,reference,0.00007958
2016-01-04,ISK,GEL,reference,0.018512
2016-01-04,JPY,GEL,reference,0.01991
2016-01-04,KGS,GEL,reference,0.031576
2016-01-04,KRW,GEL,reference,0.0020421999999999997
2016-01-04,KWD,GEL,reference,7.8965
2016-01-04,KZT,GEL,reference,0.007037
2016-01-04,MDL,GEL,reference,0.1224
2016-01-04,NOK,GEL,reference,0.27275
2016-01-04,NZD,GEL,reference,1.6412
2016-01-04,PLN,GEL,reference,0.6128
2016-01-04,QAR,GEL,reference,0.65823
2016-01-04,RON,GEL,reference,0.57795
2016-01-04,RSD,GEL,reference,0.21527
2016-01-04,RUB,GEL,reference,0.032497
2016-01-04,SEK,GEL,reference,0.28481
2016-01-04,SGD,GEL,reference,1.6961
2016-01-04,TJS,GEL,reference,0.34354
2016-01-04,TMT,GEL,reference,0.68474
2016-01-04,TRY,GEL,reference,0.819
2016-01-04,UAH,GEL,reference,0.10113000000000001
2016-01-04,USD,GEL,reference,2.3966
2016-01-04,UZS,GEL,reference,0.0008529
2016-01-04,ZAR,GEL,reference,0.15342
2016-01-05,AED,GEL,reference,0.6549
2016-01-05,AMD,GEL,reference,0.0049738
2016-01-05,AUD,GEL,reference,1.735
2016-01-05,AZN,GEL,reference,1.5426
2016-01-05,BGN,GEL,reference,1.3424
2016-01-05,BRL,GEL,reference,0.6075
2016-01-05,CAD,GEL,reference,1.7305
2016-01-05,CHF,GEL,reference,2.4136
2016-01-05,CNY,GEL,reference,0.36809
2016-01-05,CZK,GEL,reference,0.09711
2016-01-05,DKK,GEL,reference,0.35162
2016-01-05,EGP,GEL,reference,0.30802999999999997
2016-01-05,EUR,GEL,reference,2.6236
2016-01-05,GBP,GEL,reference,3.5583
2016-01-05,HKD,GEL,reference,0.31035
2016-01-05,HUF,GEL,reference,0.008322000000000001
2016-01-05,ILS,GEL,reference,0.6156200000000001
2016-01-05,INR,GEL,reference,0.036137
2016-01-05,IRR,GEL,reference,0.00007986999999999999
2016-01-05,ISK,GEL,reference,0.01858
