date,base,quote,type,value
2026-09-02,AED,KZT,reference,124.83
2026-09-02,AMD,KZT,reference,1.27
2026-09-02,AUD,KZT,reference,327.47
2026-09-02,AZN,KZT,reference,270.47
2026-09-02,BRL,KZT,reference,88.42
2026-09-02,BYN,KZT,reference,148.77
2026-09-02,CAD,KZT,reference,330.49
2026-09-02,CHF,KZT,reference,565.92
2026-09-02,CNY,KZT,reference,68.2
2026-09-02,CZK,KZT,reference,22.01
2026-09-02,DKK,KZT,reference,71.1
2026-09-02,EGP,KZT,reference,9.01
2026-09-02,EUR,KZT,reference,531.39
2026-09-02,GBP,KZT,reference,620.42
2026-09-02,GEL,KZT,reference,177.35
2026-09-02,HKD,KZT,reference,58.47
2026-09-02,HUF,KZT,reference,1.451
2026-09-02,IDR,KZT,reference,0.02589
2026-09-02,ILS,KZT,reference,152.2
2026-09-02,INR,KZT,reference,4.83
2026-09-02,IRR,KZT,reference,0.000334
2026-09-02,JPY,KZT,reference,2.86
2026-09-02,KGS,KZT,reference,5.24
2026-09-02,KRW,KZT,reference,0.3337
2026-09-02,KWD,KZT,reference,1492.84
2026-09-02,MDL,KZT,reference,26.79
2026-09-02,MNT,KZT,reference,0.1275
2026-09-02,MXN,KZT,reference,26.97
2026-09-02,MYR,KZT,reference,113.59
2026-09-02,NOK,KZT,reference,49.15
2026-09-02,OMR,KZT,reference,1190.84
2026-09-02,PKR,KZT,reference,1.65
2026-09-02,PLN,KZT,reference,122.65
2026-09-02,QAR,KZT,reference,125.78
2026-09-02,RON,KZT,reference,101.11
2026-09-02,RUB,KZT,reference,5.29
2026-09-02,SAR,KZT,reference,122.11
2026-09-02,SEK,KZT,reference,47.8
2026-09-02,SGD,KZT,reference,360.05
2026-09-02,THB,KZT,reference,13.79
2026-09-02,TJS,KZT,reference,49.94
2026-09-02,TRY,KZT,reference,9.5
2026-09-02,UAH,KZT,reference,10.31
2026-09-02,USD,KZT,reference,458.45
2026-09-02,UZS,KZT,reference,0.0388
2026-09-02,VND,KZT,reference,0.01759
2026-09-02,XDR,KZT,reference,627.56
2026-09-02,ZAR,KZT,reference,28.39
