date,base,quote,type,value
2001-01-06,AMD,KGS,reference,0.08767
2001-01-06,ATS,KGS,reference,3.3656
2001-01-06,BEF,KGS,reference,1.14803
2001-01-06,BYR,KGS,reference,0.041139
2001-01-06,CAD,KGS,reference,32.2834
2001-01-06,CHF,KGS,reference,30.2779
2001-01-06,DEM,KGS,reference,23.6787
2001-01-06,EEK,KGS,reference,2.9598
2001-01-06,EUR,KGS,reference,46.3115
2001-01-06,FRF,KGS,reference,7.0601
2001-01-06,GBP,KGS,reference,72.9405
2001-01-06,ITL,KGS,reference,0.023918
2001-01-06,JPY,KGS,reference,0.41685
2001-01-06,KZT,KGS,reference,0.3348
2001-01-06,LTL,KGS,reference,12.1361
2001-01-06,LVL,KGS,reference,79.7118
2001-01-06,MDL,KGS,reference,3.9181
2001-01-06,NLG,KGS,reference,21.0152
2001-01-06,RUB,KGS,reference,1.7045
2001-01-06,TJS,KGS,reference,22.0657
2001-01-06,TRL,KGS,reference,0.0000731
2001-01-06,UAH,KGS,reference,8.9327
2001-01-06,USD,KGS,reference,48.5445
2001-01-06,UZS,KGS,reference,0.1494
2001-01-06,XDR,KGS,reference,63.6565
2001-01-13,AMD,KGS,reference,0.08836
2001-01-13,ATS,KGS,reference,3.3763
2001-01-13,BEF,KGS,reference,1.1517
2001-01-13,BYR,KGS,reference,0.040892
2001-01-13,CAD,KGS,reference,32.6193
2001-01-13,CHF,KGS,reference,30.2198
2001-01-13,CNY,KGS,reference,5.8891
2001-01-13,DEM,KGS,reference,23.7543
2001-01-13,DKK,KGS,reference,6.2212
2001-01-13,EEK,KGS,reference,2.9693
2001-01-13,EUR,KGS,reference,46.4594
2001-01-13,FIM,KGS,reference,7.8139
2001-01-13,FRF,KGS,reference,7.0827
2001-01-13,GBP,KGS,reference,72.9561
2001-01-13,INR,KGS,reference,1.0471
2001-01-13,ITL,KGS,reference,0.023994
2001-01-13,JPY,KGS,reference,0.41358
2001-01-13,KRW,KGS,reference,0.0381
2001-01-13,KZT,KGS,reference,0.3359
2001-01-13,LTL,KGS,reference,12.1858
2001-01-13,LVL,KGS,reference,79.6454
2001-01-13,MDL,KGS,reference,3.9165
2001-01-13,NLG,KGS,reference,21.0824
2001-01-13,NOK,KGS,reference,5.671
2001-01-13,PTE,KGS,reference,0.2317
2001-01-13,RUB,KGS,reference,1.7169
2001-01-13,SEK,KGS,reference,5.2474
2001-01-13,TJS,KGS,reference,22.1559
2001-01-13,TRL,KGS,reference,0.0000733
2001-01-13,UAH,KGS,reference,8.9708
2001-01-13,USD,KGS,reference,48.743
2001-01-13,UZS,KGS,reference,0.1497
2001-01-13,XDR,KGS,reference,63.7926
2001-01-20,AMD,KGS,reference,0.08822
2001-01-20,ATS,KGS,reference,3.3572
2001-01-20,BEF,KGS,reference,1.14516
2001-01-20,BYR,KGS,reference,0.040837
2001-01-20,CAD,KGS,reference,32.393
2001-01-20,CHF,KGS,reference,30.2349
2001-01-20,CNY,KGS,reference,5.9112
2001-01-20,DEM,KGS,reference,23.6195
2001-01-20,DKK,KGS,reference,6.1881
2001-01-20,EEK,KGS,reference,2.9524
2001-01-20,EUR,KGS,reference,46.1956
2001-01-20,FIM,KGS,reference,7.7695
2001-01-20,FRF,KGS,reference,7.0425
2001-01-20,GBP,KGS,reference,72.1665
2001-01-20,INR,KGS,reference,1.0549
2001-01-20,ITL,KGS,reference,0.023858
2001-01-20,JPY,KGS,reference,0.41487
2001-01-20,KRW,KGS,reference,0.0383
2001-01-20,KZT,KGS,reference,0.3372
2001-01-20,LTL,KGS,reference,12.2308
2001-01-20,LVL,KGS,reference,79.4206
2001-01-20,MDL,KGS,reference,3.7927
2001-01-20,NLG,KGS,reference,20.9627
2001-01-20,NOK,KGS,reference,5.613
2001-01-20,PTE,KGS,reference,0.2304
2001-01-20,RUB,KGS,reference,1.7251
2001-01-20,SEK,KGS,reference,5.1842
2001-01-20,TJS,KGS,reference,22.2378
2001-01-20,TRL,KGS,reference,0.0000731
2001-01-20,UAH,KGS,reference,9.0048
2001-01-20,USD,KGS,reference,48.9231
2001-01-20,UZS,KGS,reference,0.1498
2001-01-20,XDR,KGS,reference,63.5901
2001-01-27,AMD,KGS,reference,0.08818
2001-01-27,ATS,KGS,reference,3.3022
2001-01-27,BEF,KGS,reference,1.12642
2001-01-27,BYR,KGS,reference,0.040655
2001-01-27,CAD,KGS,reference,32.5659
2001-01-27,CHF,KGS,reference,29.7606
2001-01-27,CNY,KGS,reference,5.9175
2001-01-27,DEM,KGS,reference,23.2329
2001-01-27,DKK,KGS,reference,6.0878
2001-01-27,EEK,KGS,reference,2.9041
2001-01-27,EUR,KGS,reference,45.4397
2001-01-27,FIM,KGS,reference,7.6424
2001-01-27,FRF,KGS,reference,6.9272
2001-01-27,GBP,KGS,reference,71.7369
2001-01-27,INR,KGS,reference,1.0544
2001-01-27,ITL,KGS,reference,0.023468
2001-01-27,JPY,KGS,reference,0.41961
2001-01-27,KRW,KGS,reference,0.0383
2001-01-27,KZT,KGS,reference,0.3376
2001-01-27,LTL,KGS,reference,12.2472
2001-01-27,LVL,KGS,reference,79.142
2001-01-27,MDL,KGS,reference,3.8079
2001-01-27,NLG,KGS,reference,20.6196
2001-01-27,NOK,KGS,reference,5.53
2001-01-27,PTE,KGS,reference,0.2267
2001-01-27,RUB,KGS,reference,1.725
2001-01-27,SEK,KGS,reference,5.1046
2001-01-27,TJS,KGS,reference,22.2677
2001-01-27,TRL,KGS,reference,0.0000724
2001-01-27,UAH,KGS,reference,9.0196
2001-01-27,USD,KGS,reference,48.9889
2001-01-27,UZS,KGS,reference,0.1494
2001-01-27,XDR,KGS,reference,63.1003
2001-02-03,AMD,KGS,reference,0.08857
2001-02-03,ATS,KGS,reference,3.3493
2001-02-03,BEF,KGS,reference,1.14247
2001-02-03,BYR,KGS,reference,0.040468
2001-02-03,CAD,KGS,reference,32.8448
2001-02-03,CHF,KGS,reference,30.0553
2001-02-03,CNY,KGS,reference,5.9254
2001-02-03,DEM,KGS,reference,23.564
2001-02-03,DKK,KGS,reference,6.1761
2001-02-03,EEK,KGS,reference,2.9455
2001-02-03,EUR,KGS,reference,46.0872
2001-02-03,FIM,KGS,reference,7.7513
2001-02-03,FRF,KGS,reference,7.0259
2001-02-03,GBP,KGS,reference,72.585
2001-02-03,INR,KGS,reference,1.0575
2001-02-03,ITL,KGS,reference,0.023802
2001-02-03,JPY,KGS,reference,0.42633
2001-02-03,KRW,KGS,reference,0.0393
2001-02-03,KZT,KGS,reference,0.338
2001-02-03,LTL,KGS,reference,12.2618
2001-02-03,LVL,KGS,reference,79.8814
2001-02-03,MDL,KGS,reference,3.8695
2001-02-03,NLG,KGS,reference,20.9135
2001-02-03,NOK,KGS,reference,5.6193
2001-02-03,PTE,KGS,reference,0.2299
2001-02-03,RUB,KGS,reference,1.7246
2001-02-03,SEK,KGS,reference,5.1795
2001-02-03,TJS,KGS,reference,20.8711
2001-02-03,TRL,KGS,reference,0.0000728
2001-02-03,UAH,KGS,reference,9.0318
2001-02-03,USD,KGS,reference,49.0472
2001-02-03,UZS,KGS,reference,0.1491
2001-02-03,XDR,KGS,reference,64.0282
2001-02-10,AMD,KGS,reference,0.08897
2001-02-10,ATS,KGS,reference,3.2886
2001-02-10,BEF,KGS,reference,1.12177
2001-02-10,BYR,KGS,reference,0.040116
2001-02-10,CAD,KGS,reference,32.5378
2001-02-10,CHF,KGS,reference,29.527
2001-02-10,CNY,KGS,reference,5.9376
2001-02-10,DEM,KGS,reference,23.1371
2001-02-10,DKK,KGS,reference,6.0587
2001-02-10,EEK,KGS,reference,2.8921
2001-02-10,EUR,KGS,reference,45.2522
2001-02-10,FIM,KGS,reference,7.6109
2001-02-10,FRF,KGS,reference,6.8987
2001-02-10,GBP,KGS,reference,70.9411
2001-02-10,INR,KGS,reference,1.0585
2001-02-10,ITL,KGS,reference,0.023371
2001-02-10,JPY,KGS,reference,0.41946
2001-02-10,KRW,KGS,reference,0.039
2001-02-10,KZT,KGS,reference,0.3386
2001-02-10,LTL,KGS,reference,12.2855
2001-02-10,LVL,KGS,reference,79.6464
2001-02-10,MDL,KGS,reference,3.895
2001-02-10,NLG,KGS,reference,20.5346
2001-02-10,NOK,KGS,reference,5.5392
2001-02-10,PTE,KGS,reference,0.2257
2001-02-10,RUB,KGS,reference,1.7243
2001-02-10,SEK,KGS,reference,5.0824
2001-02-10,TJS,KGS,reference,20.9114
2001-02-10,TRL,KGS,reference,0.0000721
2001-02-10,UAH,KGS,reference,9.0501
2001-02-10,USD,KGS,reference,49.1418
2001-02-10,UZS,KGS,reference,0.1488
2001-02-10,XDR,KGS,reference,63.5463
2001-02-17,AMD,KGS,reference,0.08894
2001-02-17,ATS,KGS,reference,3.2493
2001-02-17,BEF,KGS,reference,1.10838
2001-02-17,BYR,KGS,reference,0.039788
2001-02-17,CAD,KGS,reference,32.028
2001-02-17,CHF,KGS,reference,29.113
2001-02-17,CNY,KGS,reference,5.932
2001-02-17,DEM,KGS,reference,22.8609
2001-02-17,DKK,KGS,reference,5.9911
2001-02-17,EEK,KGS,reference,2.8576
2001-02-17,EUR,KGS,reference,44.712
2001-02-17,FIM,KGS,reference,7.52
2001-02-17,FRF,KGS,reference,6.8163
2001-02-17,GBP,KGS,reference,71.4145
2001-02-17,INR,KGS,reference,1.0557
2001-02-17,ITL,KGS,reference,0.023092
2001-02-17,JPY,KGS,reference,0.42708
2001-02-17,KRW,KGS,reference,0.0395
2001-02-17,KZT,KGS,reference,0.338
2001-02-17,LTL,KGS,reference,12.2748
2001-02-17,LVL,KGS,reference,79.3199
2001-02-17,MDL,KGS,reference,3.893
2001-02-17,NLG,KGS,reference,20.2894
2001-02-17,NOK,KGS,reference,5.4516
2001-02-17,PTE,KGS,reference,0.223
2001-02-17,RUB,KGS,reference,1.712
2001-02-17,SEK,KGS,reference,4.991
2001-02-17,TJS,KGS,reference,20.8932
2001-02-17,TRL,KGS,reference,0.0000716
2001-02-17,UAH,KGS,reference,9.0438
2001-02-17,USD,KGS,reference,49.099
2001-02-17,UZS,KGS,reference,0.148
2001-02-17,XDR,KGS,reference,63.1871
2001-02-24,AMD,KGS,reference,0.08899
2001-02-24,ATS,KGS,reference,3.2256
2001-02-24,BEF,KGS,reference,1.10027
2001-02-24,BYR,KGS,reference,0.039653
2001-02-24,CAD,KGS,reference,31.917
2001-02-24,CHF,KGS,reference,28.9667
2001-02-24,CNY,KGS,reference,5.9306
2001-02-24,DEM,KGS,reference,22.6935
2001-02-24,DKK,KGS,reference,5.9487
2001-02-24,EEK,KGS,reference,2.8367
2001-02-24,EUR,KGS,reference,44.3846
2001-02-24,FIM,KGS,reference,7.465
2001-02-24,FRF,KGS,reference,6.7664
2001-02-24,GBP,KGS,reference,70.9717
2001-02-24,INR,KGS,reference,1.0538
2001-02-24,ITL,KGS,reference,0.022923
2001-02-24,JPY,KGS,reference,0.42107
2001-02-24,KRW,KGS,reference,0.0396
2001-02-24,KZT,KGS,reference,0.3379
2001-02-24,LTL,KGS,reference,12.2725
2001-02-24,LVL,KGS,reference,78.9227
2001-02-24,MDL,KGS,reference,3.8854
2001-02-24,NLG,KGS,reference,20.1409
2001-02-24,NOK,KGS,reference,5.3824
2001-02-24,PTE,KGS,reference,0.2214
2001-02-24,RUB,KGS,reference,1.7158
2001-02-24,SEK,KGS,reference,4.9075
2001-02-24,TJS,KGS,reference,20.8893
2001-02-24,TRL,KGS,reference,0.0000436
2001-02-24,UAH,KGS,reference,9.0417
2001-02-24,USD,KGS,reference,49.0899
2001-02-24,UZS,KGS,reference,0.1474
2001-02-24,XDR,KGS,reference,63.1178
2001-03-03,AMD,KGS,reference,0.09026
2001-03-03,ATS,KGS,reference,3.3434
2001-03-03,BEF,KGS,reference,1.14046
2001-03-03,BYR,KGS,reference,0.03942
2001-03-03,CAD,KGS,reference,31.7941
2001-03-03,CHF,KGS,reference,29.9044
2001-03-03,CNY,KGS,reference,5.9381
2001-03-03,DEM,KGS,reference,23.5225
2001-03-03,DKK,KGS,reference,6.165
2001-03-03,EEK,KGS,reference,2.9403
2001-03-03,EUR,KGS,reference,46.0059
2001-03-03,FIM,KGS,reference,7.7376
2001-03-03,FRF,KGS,reference,7.0136
2001-03-03,GBP,KGS,reference,71.9608
2001-03-03,INR,KGS,reference,1.0559
2001-03-03,ITL,KGS,reference,0.02376
2001-03-03,JPY,KGS,reference,0.41556
2001-03-03,KRW,KGS,reference,0.0389
2001-03-03,KZT,KGS,reference,0.3383
2001-03-03,LTL,KGS,reference,12.2892
2001-03-03,LVL,KGS,reference,79.4134
2001-03-03,MDL,KGS,reference,3.8461
2001-03-03,NLG,KGS,reference,20.8766
2001-03-03,NOK,KGS,reference,5.5941
2001-03-03,PTE,KGS,reference,0.2295
2001-03-03,RUB,KGS,reference,1.7176
2001-03-03,SEK,KGS,reference,5.0903
2001-03-03,TJS,KGS,reference,20.9178
2001-03-03,TRL,KGS,reference,0.000054
2001-03-03,UAH,KGS,reference,9.0553
2001-03-03,USD,KGS,reference,49.1569
2001-03-03,UZS,KGS,reference,0.1469
2001-03-03,XDR,KGS,reference,63.5907
2001-03-10,AMD,KGS,reference,0.09065
2001-03-10,ATS,KGS,reference,3.3437
2001-03-10,BEF,KGS,reference,1.14056
2001-03-10,BYR,KGS,reference,0.039247
2001-03-10,CAD,KGS,reference,31.7857
2001-03-10,CHF,KGS,reference,29.8074
2001-03-10,CNY,KGS,reference,5.9363
2001-03-10,DEM,KGS,reference,23.5245
2001-03-10,DKK,KGS,reference,6.1647
2001-03-10,EEK,KGS,reference,2.9406
2001-03-10,EUR,KGS,reference,46.0099
2001-03-10,FIM,KGS,reference,7.7383
2001-03-10,FRF,KGS,reference,7.0142
2001-03-10,GBP,KGS,reference,72.3574
2001-03-10,INR,KGS,reference,1.0562
2001-03-10,ITL,KGS,reference,0.023762
2001-03-10,JPY,KGS,reference,0.41118
2001-03-10,KRW,KGS,reference,0.0387
2001-03-10,KZT,KGS,reference,0.3381
2001-03-10,LTL,KGS,reference,12.2844
2001-03-10,LVL,KGS,reference,79.3821
2001-03-10,MDL,KGS,reference,3.8324
2001-03-10,NLG,KGS,reference,20.8784
2001-03-10,NOK,KGS,reference,5.6094
2001-03-10,PTE,KGS,reference,0.2295
2001-03-10,RUB,KGS,reference,1.7169
2001-03-10,SEK,KGS,reference,5.0621
2001-03-10,TJS,KGS,reference,20.9096
2001-03-10,TRL,KGS,reference,0.0000552
2001-03-10,UAH,KGS,reference,9.0618
2001-03-10,USD,KGS,reference,49.1375
2001-03-10,UZS,KGS,reference,0.1462
2001-03-10,XDR,KGS,reference,63.5795
2001-03-17,AMD,KGS,reference,0.08962
2001-03-17,ATS,KGS,reference,3.2048
2001-03-17,BEF,KGS,reference,1.0932
2001-03-17,BYR,KGS,reference,0.038933
2001-03-17,CAD,KGS,reference,31.6196
2001-03-17,CHF,KGS,reference,28.6867
2001-03-17,CNY,KGS,reference,5.9596
2001-03-17,DEM,KGS,reference,22.5477
2001-03-17,DKK,KGS,reference,5.907
2001-03-17,EEK,KGS,reference,2.8185
