date,base,quote,type,value
2010-01-01,EUR,MDL,reference,17.6252
2010-01-01,RON,MDL,reference,4.1595
2010-01-01,RUB,MDL,reference,0.4066
2010-01-01,UAH,MDL,reference,1.5339
2010-01-01,USD,MDL,reference,12.3017
2010-01-02,EUR,MDL,reference,17.6252
2010-01-02,RON,MDL,reference,4.1595
2010-01-02,RUB,MDL,reference,0.4066
2010-01-02,UAH,MDL,reference,1.5339
2010-01-02,USD,MDL,reference,12.3017
2010-01-03,EUR,MDL,reference,17.6252
2010-01-03,RON,MDL,reference,4.1595
2010-01-03,RUB,MDL,reference,0.4066
2010-01-03,UAH,MDL,reference,1.5339
2010-01-03,USD,MDL,reference,12.3017
2010-01-04,EUR,MDL,reference,17.6252
2010-01-04,RON,MDL,reference,4.1595
2010-01-04,RUB,MDL,reference,0.4066
2010-01-04,UAH,MDL,reference,1.5339
2010-01-04,USD,MDL,reference,12.3017
2010-01-05,EUR,MDL,reference,17.6252
2010-01-05,RON,MDL,reference,4.1595
2010-01-05,RUB,MDL,reference,0.4066
2010-01-05,UAH,MDL,reference,1.5339
2010-01-05,USD,MDL,reference,12.3017
2010-01-06,EUR,MDL,reference,17.6252
2010-01-06,RON,MDL,reference,4.1595
2010-01-06,RUB,MDL,reference,0.4066
2010-01-06,UAH,MDL,reference,1.5339
2010-01-06,USD,MDL,reference,12.3017
2010-01-07,EUR,MDL,reference,17.6252
2010-01-07,RON,MDL,reference,4.1595
2010-01-07,RUB,MDL,reference,0.4066
2010-01-07,UAH,MDL,reference,1.5339
2010-01-07,USD,MDL,reference,12.3017
2010-01-08,EUR,MDL,reference,17.6252
2010-01-08,RON,MDL,reference,4.1595
2010-01-08,RUB,MDL,reference,0.4066
2010-01-08,UAH,MDL,reference,1.5339
2010-01-08,USD,MDL,reference,12.3017
2010-01-09,EUR,MDL,reference,17.6252
2010-01-09,RON,MDL,reference,4.1595
2010-01-09,RUB,MDL,reference,0.4066
2010-01-09,UAH,MDL,reference,1.5339
2010-01-09,USD,MDL,reference,12.3017
2010-01-10,EUR,MDL,reference,17.6252
2010-01-10,RON,MDL,reference,4.1595
2010-01-10,RUB,MDL,reference,0.4066
2010-01-10,UAH,MDL,reference,1.5339
2010-01-10,USD,MDL,reference,12.3017
2010-01-11,EUR,MDL,reference,17.7359
2010-01-11,RON,MDL,reference,4.1861
2010-01-11,RUB,MDL,reference,0.4063
2010-01-11,UAH,MDL,reference,1.5206
2010-01-11,USD,MDL,reference,12.3165
2010-01-12,EUR,MDL,reference,17.8806
2010-01-12,RON,MDL,reference,4.3224
2010-01-12,RUB,MDL,reference,0.4185
2010-01-12,UAH,MDL,reference,1.5343
2010-01-12,USD,MDL,reference,12.3047
2010-01-13,EUR,MDL,reference,17.7887
2010-01-13,RON,MDL,reference,4.3029
2010-01-13,RUB,MDL,reference,0.4172
2010-01-13,UAH,MDL,reference,1.5172
2010-01-13,USD,MDL,reference,12.2879
2010-01-14,EUR,MDL,reference,17.8744
2010-01-14,RON,MDL,reference,4.3391
2010-01-14,RUB,MDL,reference,0.4159
2010-01-14,UAH,MDL,reference,1.5016
2010-01-14,USD,MDL,reference,12.289
2010-01-15,EUR,MDL,reference,17.7997
2010-01-15,RON,MDL,reference,4.3099
2010-01-15,RUB,MDL,reference,0.4164
2010-01-15,UAH,MDL,reference,1.52
2010-01-15,USD,MDL,reference,12.282
2010-01-16,EUR,MDL,reference,17.6377
2010-01-16,RON,MDL,reference,4.2838
2010-01-16,RUB,MDL,reference,0.4148
2010-01-16,UAH,MDL,reference,1.5145
2010-01-16,USD,MDL,reference,12.26
2010-01-17,EUR,MDL,reference,17.6377
2010-01-17,RON,MDL,reference,4.2838
2010-01-17,RUB,MDL,reference,0.4148
2010-01-17,UAH,MDL,reference,1.5145
2010-01-17,USD,MDL,reference,12.26
2010-01-18,EUR,MDL,reference,17.6507
2010-01-18,RON,MDL,reference,4.2984
2010-01-18,RUB,MDL,reference,0.415
2010-01-18,UAH,MDL,reference,1.5004
2010-01-18,USD,MDL,reference,12.266
2010-01-19,EUR,MDL,reference,17.6773
2010-01-19,RON,MDL,reference,4.3088
2010-01-19,RUB,MDL,reference,0.4154
2010-01-19,UAH,MDL,reference,1.504
2010-01-19,USD,MDL,reference,12.2951
2010-01-20,EUR,MDL,reference,17.6404
2010-01-20,RON,MDL,reference,4.2855
2010-01-20,RUB,MDL,reference,0.4151
2010-01-20,UAH,MDL,reference,1.5212
2010-01-20,USD,MDL,reference,12.3368
