date,base,quote,type,value
2018-01-02,AUD,PLN,middle,2.7069
2018-01-02,BGN,PLN,middle,2.1322
2018-01-02,BRL,PLN,middle,1.0429
2018-01-02,CAD,PLN,middle,2.7572
2018-01-02,CHF,PLN,middle,3.5567
2018-01-02,CLP,PLN,middle,0.005614
2018-01-02,CNY,PLN,middle,0.532
2018-01-02,CZK,PLN,middle,0.1633
2018-01-02,DKK,PLN,middle,0.5602
2018-01-02,EUR,PLN,middle,4.1701
2018-01-02,GBP,PLN,middle,4.6805
2018-01-02,HKD,PLN,middle,0.4421
2018-01-02,HRK,PLN,middle,0.5596
2018-01-02,HUF,PLN,middle,0.01347
2018-01-02,IDR,PLN,middle,0.00025557
2018-01-02,ILS,PLN,middle,0.9981
2018-01-02,INR,PLN,middle,0.054408
2018-01-02,ISK,PLN,middle,0.033562
2018-01-02,JPY,PLN,middle,0.030776
2018-01-02,KRW,PLN,middle,0.003258
2018-01-02,MXN,PLN,middle,0.177
2018-01-02,MYR,PLN,middle,0.8595
2018-01-02,NOK,PLN,middle,0.4259
2018-01-02,NZD,PLN,middle,2.4593
2018-01-02,PHP,PLN,middle,0.0694
2018-01-02,RON,PLN,middle,0.8911
2018-01-02,RUB,PLN,middle,0.0603
2018-01-02,SEK,PLN,middle,0.4243
2018-01-02,SGD,PLN,middle,2.601
2018-01-02,THB,PLN,middle,0.1065
2018-01-02,TRY,PLN,middle,0.9176
2018-01-02,UAH,PLN,middle,0.1227
2018-01-02,USD,PLN,middle,3.4546
2018-01-02,XDR,PLN,middle,4.9519
2018-01-02,ZAR,PLN,middle,0.2814
2018-01-03,AUD,PLN,middle,2.7121
2018-01-03,BGN,PLN,middle,2.1307
2018-01-03,BRL,PLN,middle,1.0621
2018-01-03,CAD,PLN,middle,2.7644
2018-01-03,CHF,PLN,middle,3.5592
2018-01-03,CLP,PLN,middle,0.005708
2018-01-03,CNY,PLN,middle,0.5325
2018-01-03,CZK,PLN,middle,0.1629
2018-01-03,DKK,PLN,middle,0.5598
2018-01-03,EUR,PLN,middle,4.1673
2018-01-03,GBP,PLN,middle,4.703
2018-01-03,HKD,PLN,middle,0.4429
2018-01-03,HRK,PLN,middle,0.5599
2018-01-03,HUF,PLN,middle,0.013467
2018-01-03,IDR,PLN,middle,0.00025684
2018-01-03,ILS,PLN,middle,1.0016
2018-01-03,INR,PLN,middle,0.054514
2018-01-03,ISK,PLN,middle,0.033219
2018-01-03,JPY,PLN,middle,0.030829
2018-01-03,KRW,PLN,middle,0.00325
2018-01-03,MXN,PLN,middle,0.1782
2018-01-03,MYR,PLN,middle,0.8621
2018-01-03,NOK,PLN,middle,0.4271
2018-01-03,NZD,PLN,middle,2.4586
2018-01-03,PHP,PLN,middle,0.0695
2018-01-03,RON,PLN,middle,0.8978
2018-01-03,RUB,PLN,middle,0.0603
2018-01-03,SEK,PLN,middle,0.4237
2018-01-03,SGD,PLN,middle,2.6049
2018-01-03,THB,PLN,middle,0.1071
2018-01-03,TRY,PLN,middle,0.9197
2018-01-03,UAH,PLN,middle,0.1242
2018-01-03,USD,PLN,middle,3.4616
2018-01-03,XDR,PLN,middle,4.9328
2018-01-03,ZAR,PLN,middle,0.28
2018-01-04,AUD,PLN,middle,2.7034
2018-01-04,BGN,PLN,middle,2.1227
2018-01-04,BRL,PLN,middle,1.0649
2018-01-04,CAD,PLN,middle,2.7522
2018-01-04,CHF,PLN,middle,3.5308
2018-01-04,CLP,PLN,middle,0.00568
2018-01-04,CNY,PLN,middle,0.5308
2018-01-04,CZK,PLN,middle,0.1628
2018-01-04,DKK,PLN,middle,0.5576
2018-01-04,EUR,PLN,middle,4.1515
2018-01-04,GBP,PLN,middle,4.6691
2018-01-04,HKD,PLN,middle,0.4409
2018-01-04,HRK,PLN,middle,0.5593
2018-01-04,HUF,PLN,middle,0.013454
2018-01-04,IDR,PLN,middle,0.00025681
2018-01-04,ILS,PLN,middle,0.9988
2018-01-04,INR,PLN,middle,0.05436
2018-01-04,ISK,PLN,middle,0.033146
2018-01-04,JPY,PLN,middle,0.030626
2018-01-04,KRW,PLN,middle,0.003242
2018-01-04,MXN,PLN,middle,0.179
2018-01-04,MYR,PLN,middle,0.8604
2018-01-04,NOK,PLN,middle,0.4263
2018-01-04,NZD,PLN,middle,2.4547
2018-01-04,PHP,PLN,middle,0.0692
2018-01-04,RON,PLN,middle,0.8969
2018-01-04,RUB,PLN,middle,0.0604
2018-01-04,SEK,PLN,middle,0.4227
2018-01-04,SGD,PLN,middle,2.5934
2018-01-04,THB,PLN,middle,0.107
2018-01-04,TRY,PLN,middle,0.9158
2018-01-04,UAH,PLN,middle,0.1229
2018-01-04,USD,PLN,middle,3.4472
2018-01-04,XDR,PLN,middle,4.925
2018-01-04,ZAR,PLN,middle,0.2812
2018-01-05,AUD,PLN,middle,2.7062
2018-01-05,BGN,PLN,middle,2.1241
2018-01-05,BRL,PLN,middle,1.0662
2018-01-05,CAD,PLN,middle,2.7579
2018-01-05,CHF,PLN,middle,3.5298
2018-01-05,CLP,PLN,middle,0.005693
2018-01-05,CNY,PLN,middle,0.5316
2018-01-05,CZK,PLN,middle,0.1628
2018-01-05,DKK,PLN,middle,0.5579
2018-01-05,EUR,PLN,middle,4.1544
2018-01-05,GBP,PLN,middle,4.6663
2018-01-05,HKD,PLN,middle,0.441
2018-01-05,HRK,PLN,middle,0.5587
2018-01-05,HUF,PLN,middle,0.013474
2018-01-05,IDR,PLN,middle,0.00025707
2018-01-05,ILS,PLN,middle,1.0006
2018-01-05,INR,PLN,middle,0.054388
2018-01-05,ISK,PLN,middle,0.033142
2018-01-05,JPY,PLN,middle,0.030457
2018-01-05,KRW,PLN,middle,0.003247
2018-01-05,MXN,PLN,middle,0.1786
2018-01-05,MYR,PLN,middle,0.8627
2018-01-05,NOK,PLN,middle,0.4262
2018-01-05,NZD,PLN,middle,2.4673
2018-01-05,PHP,PLN,middle,0.0691
