date,base,quote,type,value
2019-01-01,AUD,BYN,reference,1.5215
2019-01-01,BGN,BYN,reference,1.2635
2019-01-01,CAD,BYN,reference,1.5869
2019-01-01,CHF,BYN,reference,2.1925
2019-01-01,CNY,BYN,reference,0.31445
2019-01-01,CZK,BYN,reference,0.095834
2019-01-01,DKK,BYN,reference,0.33102
2019-01-01,EUR,BYN,reference,2.4734
2019-01-01,GBP,BYN,reference,2.7309
2019-01-01,IRR,BYN,reference,0.00005142
2019-01-01,ISK,BYN,reference,0.018557
2019-01-01,JPY,BYN,reference,0.01957
2019-01-01,KGS,BYN,reference,0.030921
2019-01-01,KWD,BYN,reference,7.1108
2019-01-01,KZT,BYN,reference,0.0056713
2019-01-01,MDL,BYN,reference,0.12649
2019-01-01,NOK,BYN,reference,0.24726
2019-01-01,NZD,BYN,reference,1.4469
2019-01-01,PLN,BYN,reference,0.57525
2019-01-01,RUB,BYN,reference,0.031128
2019-01-01,SEK,BYN,reference,0.24112
2019-01-01,SGD,BYN,reference,1.5791
2019-01-01,TRY,BYN,reference,0.40992
2019-01-01,UAH,BYN,reference,0.077943
2019-01-01,USD,BYN,reference,2.1598
2019-01-01,XDR,BYN,reference,2.9949
2019-01-02,AUD,BYN,reference,1.5215
2019-01-02,BGN,BYN,reference,1.2635
2019-01-02,CAD,BYN,reference,1.5869
2019-01-02,CHF,BYN,reference,2.1925
2019-01-02,CNY,BYN,reference,0.31445
2019-01-02,CZK,BYN,reference,0.095834
2019-01-02,DKK,BYN,reference,0.33102
2019-01-02,EUR,BYN,reference,2.4734
2019-01-02,GBP,BYN,reference,2.7309
2019-01-02,IRR,BYN,reference,0.00005142
2019-01-02,ISK,BYN,reference,0.018557
2019-01-02,JPY,BYN,reference,0.01957
2019-01-02,KGS,BYN,reference,0.030921
2019-01-02,KWD,BYN,reference,7.1108
2019-01-02,KZT,BYN,reference,0.0056713
2019-01-02,MDL,BYN,reference,0.12649
2019-01-02,NOK,BYN,reference,0.24726
2019-01-02,NZD,BYN,reference,1.4469
2019-01-02,PLN,BYN,reference,0.57525
2019-01-02,RUB,BYN,reference,0.031128
2019-01-02,SEK,BYN,reference,0.24112
2019-01-02,SGD,BYN,reference,1.5791
