date,base,quote,type,value
2020-01-01,AUD,MKD,buy,38.2542
2020-01-01,AUD,MKD,reference,38.4464
2020-01-01,AUD,MKD,sell,38.6386
2020-01-01,BGN,MKD,buy,31.2852
2020-01-01,BGN,MKD,reference,31.4424
2020-01-01,BGN,MKD,sell,31.5996
2020-01-01,BRL,MKD,buy,13.55
2020-01-01,BRL,MKD,reference,13.618
2020-01-01,BRL,MKD,sell,13.6861
2020-01-01,CAD,MKD,buy,41.915
2020-01-01,CAD,MKD,reference,42.1256
2020-01-01,CAD,MKD,sell,42.3363
2020-01-01,CHF,MKD,buy,56.3732
2020-01-01,CHF,MKD,reference,56.6565
2020-01-01,CHF,MKD,sell,56.9398
2020-01-01,CNY,MKD,buy,7.824
2020-01-01,CNY,MKD,reference,7.8633
2020-01-01,CNY,MKD,sell,7.9026
2020-01-01,CZK,MKD,buy,2.4082
2020-01-01,CZK,MKD,reference,2.4203
2020-01-01,CZK,MKD,sell,2.4324
2020-01-01,DKK,MKD,buy,8.1895
2020-01-01,DKK,MKD,reference,8.2306
2020-01-01,DKK,MKD,sell,8.2718
2020-01-01,EUR,MKD,buy,61.1875
2020-01-01,EUR,MKD,reference,61.495
2020-01-01,EUR,MKD,sell,61.8025
2020-01-01,GBP,MKD,buy,71.9176
2020-01-01,GBP,MKD,reference,72.279
2020-01-01,GBP,MKD,sell,72.6404
2020-01-01,HKD,MKD,buy,6.995
2020-01-01,HKD,MKD,reference,7.0302
2020-01-01,HKD,MKD,sell,7.0653
2020-01-01,HRK,MKD,buy,8.2247
2020-01-01,HRK,MKD,reference,8.266
2020-01-01,HRK,MKD,sell,8.3073
2020-01-01,HUF,MKD,buy,0.1851
2020-01-01,HUF,MKD,reference,0.186
2020-01-01,HUF,MKD,sell,0.187
2020-01-01,IDR,MKD,buy,0.0039
2020-01-01,IDR,MKD,reference,0.0039
2020-01-01,IDR,MKD,sell,0.004
2020-01-01,ILS,MKD,buy,15.7517
2020-01-01,ILS,MKD,reference,15.8309
2020-01-01,ILS,MKD,sell,15.91
2020-01-01,INR,MKD,buy,0.7631
