date,base,quote,type,value
2025-01-03,AED,RSD,middle,31.0289
2025-01-03,ATS,RSD,middle,8.5111
2025-01-03,AUD,RSD,middle,70.8631
2025-01-03,BAM,RSD,middle,59.8802
2025-01-03,BEF,RSD,middle,2.903217
2025-01-03,BGN,RSD,middle,59.8802
2025-01-03,BYN,RSD,middle,34.7596
2025-01-03,CAD,RSD,middle,79.2017
2025-01-03,CHF,RSD,middle,125.0432
2025-01-03,CNY,RSD,middle,15.615
2025-01-03,CZK,RSD,middle,4.6487
2025-01-03,DEM,RSD,middle,59.8802
2025-01-03,DKK,RSD,middle,15.6966
2025-01-03,ESP,RSD,middle,0.703878
2025-01-03,EUR,RSD,middle,117.1155
2025-01-03,FIM,RSD,middle,19.6974
2025-01-03,FRF,RSD,middle,17.8541
2025-01-03,GBP,RSD,middle,141.2732
2025-01-03,GRD,RSD,middle,0.343699
2025-01-03,HUF,RSD,middle,0.283093
2025-01-03,IEP,RSD,middle,148.706
2025-01-03,INR,RSD,middle,1.3292
2025-01-03,ITL,RSD,middle,0.060485
2025-01-03,JPY,RSD,middle,0.724769
2025-01-03,KWD,RSD,middle,369.2166
2025-01-03,LUF,RSD,middle,2.903217
2025-01-03,MKD,RSD,middle,1.9034
2025-01-03,NOK,RSD,middle,10.0114
2025-01-03,PLN,RSD,middle,27.3922
2025-01-03,PTE,RSD,middle,0.58417
2025-01-03,RON,RSD,middle,23.5252
2025-01-03,RUB,RSD,middle,1.0268
2025-01-03,SEK,RSD,middle,10.231
2025-01-03,TRY,RSD,middle,3.2197
2025-01-03,USD,RSD,middle,113.9588
2025-01-03,XDR,RSD,middle,148.1328
2025-01-08,AED,RSD,middle,30.7742
2025-01-08,ATS,RSD,middle,8.5099
2025-01-08,AUD,RSD,middle,70.4651
2025-01-08,BAM,RSD,middle,59.8717
2025-01-08,BEF,RSD,middle,2.902806
2025-01-08,BGN,RSD,middle,59.8717
2025-01-08,BYN,RSD,middle,34.4763
2025-01-08,CAD,RSD,middle,78.8279
2025-01-08,CHF,RSD,middle,124.3616
2025-01-08,CNY,RSD,middle,15.4213
2025-01-08,CZK,RSD,middle,4.6575
2025-01-08,DEM,RSD,middle,59.8717
2025-01-08,DKK,RSD,middle,15.6931
2025-01-08,ESP,RSD,middle,0.703779
2025-01-08,EUR,RSD,middle,117.0989
2025-01-08,FIM,RSD,middle,19.6946
2025-01-08,FRF,RSD,middle,17.8516
2025-01-08,GBP,RSD,middle,141.1851
2025-01-08,GRD,RSD,middle,0.34365
2025-01-08,HUF,RSD,middle,0.281752
2025-01-08,IEP,RSD,middle,148.6849
2025-01-08,INR,RSD,middle,1.3169
2025-01-08,ITL,RSD,middle,0.060477
2025-01-08,JPY,RSD,middle,0.714846
2025-01-08,KWD,RSD,middle,366.5067
2025-01-08,LUF,RSD,middle,2.902806
2025-01-08,MKD,RSD,middle,1.8844
2025-01-08,NOK,RSD,middle,9.9791
2025-01-08,PLN,RSD,middle,27.4571
2025-01-08,PTE,RSD,middle,0.584087
2025-01-08,RON,RSD,middle,23.5304
2025-01-08,RUB,RSD,middle,1.0714
2025-01-08,SEK,RSD,middle,10.1815
2025-01-08,TRY,RSD,middle,3.196
2025-01-08,USD,RSD,middle,113.0298
2025-01-08,XDR,RSD,middle,147.3818
2025-01-09,AED,RSD,middle,30.9525
2025-01-09,ATS,RSD,middle,8.5104
2025-01-09,AUD,RSD,middle,70.4394
2025-01-09,BAM,RSD,middle,59.8751
2025-01-09,BEF,RSD,middle,2.90297
2025-01-09,BGN,RSD,middle,59.8751
2025-01-09,BYN,RSD,middle,34.6763
2025-01-09,CAD,RSD,middle,79.0559
2025-01-09,CHF,RSD,middle,124.6864
2025-01-09,CNY,RSD,middle,15.509
2025-01-09,CZK,RSD,middle,4.6589
2025-01-09,DEM,RSD,middle,59.8751
2025-01-09,DKK,RSD,middle,15.6936
2025-01-09,ESP,RSD,middle,0.703818
2025-01-09,EUR,RSD,middle,117.1055
2025-01-09,FIM,RSD,middle,19.6957
2025-01-09,FRF,RSD,middle,17.8526
2025-01-09,GBP,RSD,middle,139.9612
2025-01-09,GRD,RSD,middle,0.34367
2025-01-09,HUF,RSD,middle,0.282441
2025-01-09,IEP,RSD,middle,148.6933
2025-01-09,INR,RSD,middle,1.3243
2025-01-09,ITL,RSD,middle,0.06048
2025-01-09,JPY,RSD,middle,0.718836
2025-01-09,KWD,RSD,middle,368.604
2025-01-09,LUF,RSD,middle,2.90297
2025-01-09,MKD,RSD,middle,1.8952
