date,base,quote,type,value
2011-01-01,AED,TJS,reference,1.1987
2011-01-01,AFN,TJS,reference,0.09622
2011-01-01,AMD,TJS,reference,0.012135
2011-01-01,AUD,TJS,reference,4.4686
2011-01-01,AZN,TJS,reference,5.5181
2011-01-01,BYR,TJS,reference,0.0014680000000000001
2011-01-01,CAD,TJS,reference,4.4016
2011-01-01,CHF,TJS,reference,4.6322
2011-01-01,CNY,TJS,reference,0.6646
2011-01-01,DKK,TJS,reference,0.7787
2011-01-01,EEK,TJS,reference,0.371
2011-01-01,EUR,TJS,reference,5.948
2011-01-01,GBP,TJS,reference,6.8072
2011-01-01,GEL,TJS,reference,2.4906
2011-01-01,INR,TJS,reference,0.09774000000000001
2011-01-01,IRR,TJS,reference,0.0004244
2011-01-01,ISK,TJS,reference,0.0379
2011-01-01,JPY,TJS,reference,0.05375
2011-01-01,KGS,TJS,reference,0.09348
2011-01-01,KWD,TJS,reference,15.6076
2011-01-01,KZT,TJS,reference,0.02987
2011-01-01,LTL,TJS,reference,1.681
2011-01-01,LVL,TJS,reference,8.1762
2011-01-01,MDL,TJS,reference,0.3628
2011-01-01,MYR,TJS,reference,1.424
2011-01-01,NOK,TJS,reference,0.7422
2011-01-01,PKR,TJS,reference,0.05127
2011-01-01,PLN,TJS,reference,1.463
2011-01-01,RUB,TJS,reference,1.4645
2011-01-01,SAR,TJS,reference,1.174
2011-01-01,SEK,TJS,reference,0.6448
2011-01-01,SGD,TJS,reference,3.4012
2011-01-01,THB,TJS,reference,0.146
2011-01-01,TMT,TJS,reference,1.5449
2011-01-01,TRY,TJS,reference,2.8293
2011-01-01,UAH,TJS,reference,0.5528
2011-01-01,USD,TJS,reference,4.4029
2011-01-01,UZS,TJS,reference,0.0026850000000000003
2011-01-01,XDR,TJS,reference,6.7806
2011-01-05,AED,TJS,reference,1.1987
2011-01-05,AFN,TJS,reference,0.09702
2011-01-05,AMD,TJS,reference,0.012114
2011-01-05,AUD,TJS,reference,4.4355
2011-01-05,AZN,TJS,reference,5.5179
2011-01-05,BYR,TJS,reference,0.001467
2011-01-05,CAD,TJS,reference,4.4306
2011-01-05,CHF,TJS,reference,4.6932
2011-01-05,CNY,TJS,reference,0.6661
2011-01-05,DKK,TJS,reference,0.7874
2011-01-05,EEK,TJS,reference,0.3751
2011-01-05,EUR,TJS,reference,5.9576
2011-01-05,GBP,TJS,reference,6.8048
2011-01-05,GEL,TJS,reference,2.4824
2011-01-05,INR,TJS,reference,0.0982
2011-01-05,IRR,TJS,reference,0.0004254
2011-01-05,ISK,TJS,reference,0.03827
2011-01-05,JPY,TJS,reference,0.05356999999999999
2011-01-05,KGS,TJS,reference,0.09337999999999999
2011-01-05,KWD,TJS,reference,15.6624
2011-01-05,KZT,TJS,reference,0.029849999999999998
2011-01-05,LTL,TJS,reference,1.6996
2011-01-05,LVL,TJS,reference,8.268
2011-01-05,MDL,TJS,reference,0.3926
2011-01-05,MYR,TJS,reference,1.4362
2011-01-05,NOK,TJS,reference,0.7537
2011-01-05,PKR,TJS,reference,0.051359999999999996
2011-01-05,PLN,TJS,reference,1.4863
2011-01-05,RUB,TJS,reference,1.468
2011-01-05,SAR,TJS,reference,1.174
2011-01-05,SEK,TJS,reference,0.6558
2011-01-05,SGD,TJS,reference,3.4177
2011-01-05,THB,TJS,reference,0.1463
2011-01-05,TMT,TJS,reference,1.5448
2011-01-05,TRY,TJS,reference,2.8279
2011-01-05,UAH,TJS,reference,0.5755
2011-01-05,USD,TJS,reference,4.4027
2011-01-05,UZS,TJS,reference,0.002684
2011-01-05,XDR,TJS,reference,6.8058
2011-01-06,AED,TJS,reference,1.1988
2011-01-06,AFN,TJS,reference,0.09703
2011-01-06,AMD,TJS,reference,0.012115
2011-01-06,AUD,TJS,reference,4.436
2011-01-06,AZN,TJS,reference,5.5199
2011-01-06,BYR,TJS,reference,0.001467
2011-01-06,CAD,TJS,reference,4.4311
2011-01-06,CHF,TJS,reference,4.6937
2011-01-06,CNY,TJS,reference,0.6661
2011-01-06,DKK,TJS,reference,0.7875
2011-01-06,EEK,TJS,reference,0.3751
2011-01-06,EUR,TJS,reference,5.894
2011-01-06,GBP,TJS,reference,6.8056
2011-01-06,GEL,TJS,reference,2.4828
2011-01-06,INR,TJS,reference,0.09820999999999999
2011-01-06,IRR,TJS,reference,0.0004254
2011-01-06,ISK,TJS,reference,0.03827
2011-01-06,JPY,TJS,reference,0.05356999999999999
2011-01-06,KGS,TJS,reference,0.09339
2011-01-06,KWD,TJS,reference,15.6642
2011-01-06,KZT,TJS,reference,0.029849999999999998
2011-01-06,LTL,TJS,reference,1.6997
2011-01-06,LVL,TJS,reference,8.2689
2011-01-06,MDL,TJS,reference,0.3927
2011-01-06,MYR,TJS,reference,1.4364
2011-01-06,NOK,TJS,reference,0.7538
2011-01-06,PKR,TJS,reference,0.051370000000000006
2011-01-06,PLN,TJS,reference,1.4865
2011-01-06,RUB,TJS,reference,1.4682
2011-01-06,SAR,TJS,reference,1.1741
2011-01-06,SEK,TJS,reference,0.6559
2011-01-06,SGD,TJS,reference,3.4181
2011-01-06,THB,TJS,reference,0.1464
2011-01-06,TMT,TJS,reference,1.545
2011-01-06,TRY,TJS,reference,2.8282
2011-01-06,UAH,TJS,reference,0.5756
2011-01-06,USD,TJS,reference,4.4032
2011-01-06,UZS,TJS,reference,0.002684
2011-01-06,XDR,TJS,reference,6.8091
2011-01-07,AED,TJS,reference,1.1988
2011-01-07,AFN,TJS,reference,0.09688
2011-01-07,AMD,TJS,reference,0.012115
2011-01-07,AUD,TJS,reference,4.3978
2011-01-07,AZN,TJS,reference,5.5197
2011-01-07,BYR,TJS,reference,0.001464
2011-01-07,CAD,TJS,reference,4.4248
2011-01-07,CHF,TJS,reference,4.5538
2011-01-07,CNY,TJS,reference,0.6647
2011-01-07,DKK,TJS,reference,0.7771
2011-01-07,EEK,TJS,reference,0.3702
2011-01-07,EUR,TJS,reference,5.8369
2011-01-07,GBP,TJS,reference,6.8329
2011-01-07,GEL,TJS,reference,2.4824
2011-01-07,INR,TJS,reference,0.09713000000000001
2011-01-07,IRR,TJS,reference,0.0004254
2011-01-07,ISK,TJS,reference,0.03777
2011-01-07,JPY,TJS,reference,0.05286999999999999
2011-01-07,KGS,TJS,reference,0.09335
