date,base,quote,type,value
2026-09-02,AED,UAH,reference,12.1033
2026-09-02,AUD,UAH,reference,31.7629
2026-09-02,AZN,UAH,reference,26.154
2026-09-02,BDT,UAH,reference,0.36147
2026-09-02,CAD,UAH,reference,32.0279
2026-09-02,CHF,UAH,reference,54.8709
2026-09-02,CNY,UAH,reference,6.613
2026-09-02,CZK,UAH,reference,2.1333
2026-09-02,DKK,UAH,reference,6.8946
2026-09-02,DZD,UAH,reference,0.33402
2026-09-02,EGP,UAH,reference,0.8732
2026-09-02,EUR,UAH,reference,51.5357
2026-09-02,GBP,UAH,reference,60.1694
2026-09-02,GEL,UAH,reference,16.9515
2026-09-02,HKD,UAH,reference,5.6697
2026-09-02,HUF,UAH,reference,0.14056
2026-09-02,IDR,UAH,reference,0.0025055
2026-09-02,ILS,UAH,reference,14.7586
2026-09-02,INR,UAH,reference,0.46821
2026-09-02,JPY,UAH,reference,0.27765
2026-09-02,KRW,UAH,reference,0.03235
2026-09-02,KZT,UAH,reference,0.097026
2026-09-02,LBP,UAH,reference,0.000496
2026-09-02,MDL,UAH,reference,2.5771
2026-09-02,MXN,UAH,reference,2.6152
2026-09-02,MYR,UAH,reference,11.0051
2026-09-02,NOK,UAH,reference,4.7649
2026-09-02,NZD,UAH,reference,26.2046
2026-09-02,PLN,UAH,reference,11.8988
2026-09-02,RON,UAH,reference,9.8044
2026-09-02,RSD,UAH,reference,0.43923
2026-09-02,SAR,UAH,reference,11.8404
2026-09-02,SEK,UAH,reference,4.6366
2026-09-02,SGD,UAH,reference,34.9167
2026-09-02,THB,UAH,reference,1.33703
2026-09-02,TND,UAH,reference,15.2536
2026-09-02,TRY,UAH,reference,0.9209
2026-09-02,USD,UAH,reference,44.4553
2026-09-02,VND,UAH,reference,0.0017046
2026-09-02,XAG,UAH,reference,2879.21
2026-09-02,XAU,UAH,reference,194532.13
2026-09-02,XDR,UAH,reference,60.835
2026-09-02,XPD,UAH,reference,59378.32
2026-09-02,XPT,UAH,reference,78535.36
2026-09-02,ZAR,UAH,reference,2.7525
