date,base,quote,type,value
2021-01-04,AUD,NOK,middle,6.557
2021-01-04,BDT,NOK,middle,0.1001
2021-01-04,BGN,NOK,middle,5.34
2021-01-04,BRL,NOK,middle,1.6515
2021-01-04,BYN,NOK,middle,3.2892
2021-01-04,CAD,NOK,middle,6.6859
2021-01-04,CHF,NOK,middle,9.6605
2021-01-04,CNY,NOK,middle,1.314
2021-01-04,CZK,NOK,middle,0.39953
2021-01-04,DKK,NOK,middle,1.4042
2021-01-04,EUR,NOK,middle,10.444
2021-01-04,GBP,NOK,middle,11.5839
2021-01-04,HKD,NOK,middle,1.0956
2021-01-04,HRK,NOK,middle,1.3821
2021-01-04,HUF,NOK,middle,0.028905
2021-01-04,IDR,NOK,middle,0.0006121
2021-01-04,ILS,NOK,middle,2.6487
2021-01-04,INR,NOK,middle,0.11632
2021-01-04,ISK,NOK,middle,0.0669
2021-01-04,JPY,NOK,middle,0.082483
2021-01-04,KRW,NOK,middle,0.007841
2021-01-04,MMK,NOK,middle,0.006396
2021-01-04,MXN,NOK,middle,0.4297
2021-01-04,MYR,NOK,middle,2.12
2021-01-04,NZD,NOK,middle,6.1201
2021-01-04,PHP,NOK,middle,0.17684
2021-01-04,PKR,NOK,middle,0.05295
2021-01-04,PLN,NOK,middle,2.2966
2021-01-04,RON,NOK,middle,2.144
2021-01-04,RUB,NOK,middle,0.11561
2021-01-04,SEK,NOK,middle,1.0351
2021-01-04,SGD,NOK,middle,6.4477
2021-01-04,THB,NOK,middle,0.28436
2021-01-04,TRY,NOK,middle,1.153
2021-01-04,TWD,NOK,middle,0.30241
2021-01-04,TWI,NOK,middle,122.68
2021-01-04,USD,NOK,middle,8.4938
2021-01-04,VND,NOK,middle,0.000368
2021-01-04,XDR,NOK,middle,12.3076
2021-01-04,ZAR,NOK,middle,0.5828
2021-01-05,AUD,NOK,middle,6.5746
2021-01-05,BDT,NOK,middle,0.1008
2021-01-05,BGN,NOK,middle,5.354
2021-01-05,BRL,NOK,middle,1.5983
2021-01-05,BYN,NOK,middle,3.3026
2021-01-05,CAD,NOK,middle,6.6905
2021-01-05,CHF,NOK,middle,9.693
