date,base,quote,type,value
2020-01-01,AED,NPR,buy,31.01
2020-01-01,AED,NPR,sell,31.18
2020-01-01,AUD,NPR,buy,79.87
2020-01-01,AUD,NPR,sell,80.29
2020-01-01,BHD,NPR,buy,302.12
2020-01-01,BHD,NPR,sell,303.72
2020-01-01,CAD,NPR,buy,87.45
2020-01-01,CAD,NPR,sell,87.91
2020-01-01,CHF,NPR,buy,117.84
2020-01-01,CHF,NPR,sell,118.46
2020-01-01,CNY,NPR,buy,16.37
2020-01-01,CNY,NPR,sell,16.45
2020-01-01,DKK,NPR,buy,17.11
2020-01-01,DKK,NPR,sell,17.2
2020-01-01,EUR,NPR,buy,127.83
2020-01-01,EUR,NPR,sell,128.5
2020-01-01,GBP,NPR,buy,150.35
2020-01-01,GBP,NPR,sell,151.14
2020-01-01,HKD,NPR,buy,14.63
2020-01-01,HKD,NPR,sell,14.71
2020-01-01,INR,NPR,buy,1.6
2020-01-01,INR,NPR,sell,1.6015000000000001
2020-01-01,JPY,NPR,buy,1.05
2020-01-01,JPY,NPR,sell,1.0550000000000002
2020-01-01,KRW,NPR,buy,0.0986
2020-01-01,KRW,NPR,sell,0.0992
2020-01-01,KWD,NPR,buy,375.96
2020-01-01,KWD,NPR,sell,377.94
2020-01-01,MYR,NPR,buy,27.85
2020-01-01,MYR,NPR,sell,28
2020-01-01,QAR,NPR,buy,31.29
2020-01-01,QAR,NPR,sell,31.45
2020-01-01,SAR,NPR,buy,30.37
2020-01-01,SAR,NPR,sell,30.53
2020-01-01,SEK,NPR,buy,12.25
2020-01-01,SEK,NPR,sell,12.31
2020-01-01,SGD,NPR,buy,84.66
2020-01-01,SGD,NPR,sell,85.11
2020-01-01,THB,NPR,buy,3.82
2020-01-01,THB,NPR,sell,3.84
2020-01-01,USD,NPR,buy,113.92
2020-01-01,USD,NPR,sell,114.52
2020-01-02,AED,NPR,buy,30.94
2020-01-02,AED,NPR,sell,31.11
2020-01-02,AUD,NPR,buy,79.74
2020-01-02,AUD,NPR,sell,80.16
2020-01-02,BHD,NPR,buy,301.46
2020-01-02,BHD,NPR,sell,303.05
2020-01-02,CAD,NPR,buy,87.44
2020-01-02,CAD,NPR,sell,87.9
2020-01-02,CHF,NPR,buy,117.41
2020-01-02,CHF,NPR,sell,118.03
2020-01-02,CNY,NPR,buy,16.32
2020-01-02,CNY,NPR,sell,16.41
2020-01-02,DKK,NPR,buy,17.06
2020-01-02,DKK,NPR,sell,17.15
2020-01-02,EUR,NPR,buy,127.53
2020-01-02,EUR,NPR,sell,128.2
2020-01-02,GBP,NPR,buy,150.76
2020-01-02,GBP,NPR,sell,151.56
2020-01-02,HKD,NPR,buy,14.59
2020-01-02,HKD,NPR,sell,14.67
2020-01-02,INR,NPR,buy,1.6
2020-01-02,INR,NPR,sell,1.6015000000000001
2020-01-02,JPY,NPR,buy,1.046
2020-01-02,JPY,NPR,sell,1.052
2020-01-02,KRW,NPR,buy,0.0984
2020-01-02,KRW,NPR,sell,0.099
2020-01-02,KWD,NPR,buy,374.88
2020-01-02,KWD,NPR,sell,376.86
2020-01-02,MYR,NPR,buy,27.79
2020-01-02,MYR,NPR,sell,27.93
2020-01-02,QAR,NPR,buy,31.22
2020-01-02,QAR,NPR,sell,31.38
2020-01-02,SAR,NPR,buy,30.3
2020-01-02,SAR,NPR,sell,30.46
2020-01-02,SEK,NPR,buy,12.13
2020-01-02,SEK,NPR,sell,12.2
2020-01-02,SGD,NPR,buy,84.44
2020-01-02,SGD,NPR,sell,84.89
2020-01-02,THB,NPR,buy,3.82
2020-01-02,THB,NPR,sell,3.84
2020-01-02,USD,NPR,buy,113.66
2020-01-02,USD,NPR,sell,114.26
2020-01-03,AED,NPR,buy,31.01
2020-01-03,AED,NPR,sell,31.17
2020-01-03,AUD,NPR,buy,79.6
2020-01-03,AUD,NPR,sell,80.02
2020-01-03,BHD,NPR,buy,302.12
2020-01-03,BHD,NPR,sell,303.71
2020-01-03,CAD,NPR,buy,87.62
2020-01-03,CAD,NPR,sell,88.08
2020-01-03,CHF,NPR,buy,117.39
2020-01-03,CHF,NPR,sell,118
2020-01-03,CNY,NPR,buy,16.36
2020-01-03,CNY,NPR,sell,16.44
2020-01-03,DKK,NPR,buy,17.07
2020-01-03,DKK,NPR,sell,17.16
2020-01-03,EUR,NPR,buy,127.5
2020-01-03,EUR,NPR,sell,128.17
2020-01-03,GBP,NPR,buy,150.29
2020-01-03,GBP,NPR,sell,151.08
2020-01-03,HKD,NPR,buy,14.62
2020-01-03,HKD,NPR,sell,14.69
2020-01-03,INR,NPR,buy,1.6
2020-01-03,INR,NPR,sell,1.6015000000000001
2020-01-03,JPY,NPR,buy,1.0470000000000002
2020-01-03,JPY,NPR,sell,1.053
2020-01-03,KRW,NPR,buy,0.0983
2020-01-03,KRW,NPR,sell,0.09880000000000001
2020-01-03,KWD,NPR,buy,375.66
2020-01-03,KWD,NPR,sell,377.64
2020-01-03,MYR,NPR,buy,27.87
2020-01-03,MYR,NPR,sell,28.01
2020-01-03,QAR,NPR,buy,31.28
2020-01-03,QAR,NPR,sell,31.45
2020-01-03,SAR,NPR,buy,30.36
2020-01-03,SAR,NPR,sell,30.52
2020-01-03,SEK,NPR,buy,12.16
2020-01-03,SEK,NPR,sell,12.22
2020-01-03,SGD,NPR,buy,84.5
2020-01-03,SGD,NPR,sell,84.95
2020-01-03,THB,NPR,buy,3.78
2020-01-03,THB,NPR,sell,3.8
2020-01-03,USD,NPR,buy,113.9
2020-01-03,USD,NPR,sell,114.5
2020-01-04,AED,NPR,buy,31.2
2020-01-04,AED,NPR,sell,31.36
2020-01-04,AUD,NPR,buy,79.47
2020-01-04,AUD,NPR,sell,79.89
2020-01-04,BHD,NPR,buy,303.89
2020-01-04,BHD,NPR,sell,305.48
2020-01-04,CAD,NPR,buy,88.18
2020-01-04,CAD,NPR,sell,88.64
2020-01-04,CHF,NPR,buy,117.69
2020-01-04,CHF,NPR,sell,118.3
2020-01-04,CNY,NPR,buy,16.43
2020-01-04,CNY,NPR,sell,16.52
2020-01-04,DKK,NPR,buy,17.06
2020-01-04,DKK,NPR,sell,17.15
2020-01-04,EUR,NPR,buy,127.53
2020-01-04,EUR,NPR,sell,128.2
2020-01-04,GBP,NPR,buy,149.82
2020-01-04,GBP,NPR,sell,150.61
2020-01-04,HKD,NPR,buy,14.73
2020-01-04,HKD,NPR,sell,14.81
2020-01-04,INR,NPR,buy,1.6
2020-01-04,INR,NPR,sell,1.6015000000000001
2020-01-04,JPY,NPR,buy,1.06
2020-01-04,JPY,NPR,sell,1.066
2020-01-04,KRW,NPR,buy,0.09820000000000001
2020-01-04,KRW,NPR,sell,0.0987
2020-01-04,KWD,NPR,buy,378.03
2020-01-04,KWD,NPR,sell,380.01
2020-01-04,MYR,NPR,buy,27.93
2020-01-04,MYR,NPR,sell,28.08
2020-01-04,QAR,NPR,buy,31.47
2020-01-04,QAR,NPR,sell,31.63
2020-01-04,SAR,NPR,buy,30.54
2020-01-04,SAR,NPR,sell,30.7
2020-01-04,SEK,NPR,buy,12.13
2020-01-04,SEK,NPR,sell,12.19
2020-01-04,SGD,NPR,buy,84.86
2020-01-04,SGD,NPR,sell,85.3
2020-01-04,THB,NPR,buy,3.8
2020-01-04,THB,NPR,sell,3.82
2020-01-04,USD,NPR,buy,114.58
2020-01-04,USD,NPR,sell,115.18
2020-01-05,AED,NPR,buy,31.2
2020-01-05,AED,NPR,sell,31.36
2020-01-05,AUD,NPR,buy,79.47
2020-01-05,AUD,NPR,sell,79.89
2020-01-05,BHD,NPR,buy,303.89
2020-01-05,BHD,NPR,sell,305.48
2020-01-05,CAD,NPR,buy,88.18
2020-01-05,CAD,NPR,sell,88.64
2020-01-05,CHF,NPR,buy,117.69
2020-01-05,CHF,NPR,sell,118.3
2020-01-05,CNY,NPR,buy,16.43
2020-01-05,CNY,NPR,sell,16.52
2020-01-05,DKK,NPR,buy,17.06
2020-01-05,DKK,NPR,sell,17.15
2020-01-05,EUR,NPR,buy,127.53
2020-01-05,EUR,NPR,sell,128.2
2020-01-05,GBP,NPR,buy,149.82
2020-01-05,GBP,NPR,sell,150.61
2020-01-05,HKD,NPR,buy,14.73
2020-01-05,HKD,NPR,sell,14.81
2020-01-05,INR,NPR,buy,1.6
2020-01-05,INR,NPR,sell,1.6015000000000001
2020-01-05,JPY,NPR,buy,1.06
2020-01-05,JPY,NPR,sell,1.066
2020-01-05,KRW,NPR,buy,0.09820000000000001
2020-01-05,KRW,NPR,sell,0.0987
2020-01-05,KWD,NPR,buy,378.03
2020-01-05,KWD,NPR,sell,380.01
2020-01-05,MYR,NPR,buy,27.93
2020-01-05,MYR,NPR,sell,28.08
2020-01-05,QAR,NPR,buy,31.47
2020-01-05,QAR,NPR,sell,31.63
2020-01-05,SAR,NPR,buy,30.54
2020-01-05,SAR,NPR,sell,30.7
2020-01-05,SEK,NPR,buy,12.13
2020-01-05,SEK,NPR,sell,12.19
2020-01-05,SGD,NPR,buy,84.86
2020-01-05,SGD,NPR,sell,85.3
2020-01-05,THB,NPR,buy,3.8
2020-01-05,THB,NPR,sell,3.82
2020-01-05,USD,NPR,buy,114.58
2020-01-05,USD,NPR,sell,115.18
2020-01-06,AED,NPR,buy,31.19
2020-01-06,AED,NPR,sell,31.36
2020-01-06,AUD,NPR,buy,79.66
2020-01-06,AUD,NPR,sell,80.07
2020-01-06,BHD,NPR,buy,303.89
2020-01-06,BHD,NPR,sell,305.48
2020-01-06,CAD,NPR,buy,88.15
2020-01-06,CAD,NPR,sell,88.61
2020-01-06,CHF,NPR,buy,117.8
2020-01-06,CHF,NPR,sell,118.41
2020-01-06,CNY,NPR,buy,16.45
2020-01-06,CNY,NPR,sell,16.54
2020-01-06,DKK,NPR,buy,17.11
2020-01-06,DKK,NPR,sell,17.2
2020-01-06,EUR,NPR,buy,127.87
2020-01-06,EUR,NPR,sell,128.54
2020-01-06,GBP,NPR,buy,149.96
2020-01-06,GBP,NPR,sell,150.74
2020-01-06,HKD,NPR,buy,14.73
2020-01-06,HKD,NPR,sell,14.81
2020-01-06,INR,NPR,buy,1.6
2020-01-06,INR,NPR,sell,1.6015000000000001
2020-01-06,JPY,NPR,buy,1.06
2020-01-06,JPY,NPR,sell,1.066
2020-01-06,KRW,NPR,buy,0.0983
2020-01-06,KRW,NPR,sell,0.09880000000000001
2020-01-06,KWD,NPR,buy,378.03
2020-01-06,KWD,NPR,sell,380.01
2020-01-06,MYR,NPR,buy,27.93
2020-01-06,MYR,NPR,sell,28.08
2020-01-06,QAR,NPR,buy,31.46
2020-01-06,QAR,NPR,sell,31.63
2020-01-06,SAR,NPR,buy,30.54
2020-01-06,SAR,NPR,sell,30.7
2020-01-06,SEK,NPR,buy,12.19
2020-01-06,SEK,NPR,sell,12.26
2020-01-06,SGD,NPR,buy,84.88
2020-01-06,SGD,NPR,sell,85.33
2020-01-06,THB,NPR,buy,3.8
2020-01-06,THB,NPR,sell,3.82
2020-01-06,USD,NPR,buy,114.58
2020-01-06,USD,NPR,sell,115.18
2020-01-07,AED,NPR,buy,31.25
2020-01-07,AED,NPR,sell,31.42
2020-01-07,AUD,NPR,buy,79.75
2020-01-07,AUD,NPR,sell,80.17
2020-01-07,BHD,NPR,buy,304.46
2020-01-07,BHD,NPR,sell,306.05
2020-01-07,CAD,NPR,buy,88.46
2020-01-07,CAD,NPR,sell,88.93
2020-01-07,CHF,NPR,buy,118.44
2020-01-07,CHF,NPR,sell,119.06
2020-01-07,CNY,NPR,buy,16.47
2020-01-07,CNY,NPR,sell,16.55
2020-01-07,DKK,NPR,buy,17.21
2020-01-07,DKK,NPR,sell,17.3
2020-01-07,EUR,NPR,buy,128.61
2020-01-07,EUR,NPR,sell,129.28
2020-01-07,GBP,NPR,buy,150.98
2020-01-07,GBP,NPR,sell,151.77
2020-01-07,HKD,NPR,buy,14.77
2020-01-07,HKD,NPR,sell,14.85
2020-01-07,INR,NPR,buy,1.6
2020-01-07,INR,NPR,sell,1.6015000000000001
2020-01-07,JPY,NPR,buy,1.0619999999999998
2020-01-07,JPY,NPR,sell,1.068
2020-01-07,KRW,NPR,buy,0.09820000000000001
2020-01-07,KRW,NPR,sell,0.0987
2020-01-07,KWD,NPR,buy,378.8
2020-01-07,KWD,NPR,sell,380.78
2020-01-07,MYR,NPR,buy,27.97
2020-01-07,MYR,NPR,sell,28.12
2020-01-07,QAR,NPR,buy,31.52
2020-01-07,QAR,NPR,sell,31.69
2020-01-07,SAR,NPR,buy,30.6
2020-01-07,SAR,NPR,sell,30.76
2020-01-07,SEK,NPR,buy,12.22
2020-01-07,SEK,NPR,sell,12.29
2020-01-07,SGD,NPR,buy,85.09
2020-01-07,SGD,NPR,sell,85.53
2020-01-07,THB,NPR,buy,3.81
2020-01-07,THB,NPR,sell,3.83
2020-01-07,USD,NPR,buy,114.8
2020-01-07,USD,NPR,sell,115.4
2020-01-08,AED,NPR,buy,31.21
2020-01-08,AED,NPR,sell,31.37
2020-01-08,AUD,NPR,buy,78.78
2020-01-08,AUD,NPR,sell,79.2
2020-01-08,BHD,NPR,buy,304.03
2020-01-08,BHD,NPR,sell,305.63
2020-01-08,CAD,NPR,buy,88.3
2020-01-08,CAD,NPR,sell,88.77
2020-01-08,CHF,NPR,buy,118.11
2020-01-08,CHF,NPR,sell,118.73
2020-01-08,CNY,NPR,buy,16.51
2020-01-08,CNY,NPR,sell,16.6
2020-01-08,DKK,NPR,buy,17.15
2020-01-08,DKK,NPR,sell,17.24
2020-01-08,EUR,NPR,buy,128.13
2020-01-08,EUR,NPR,sell,128.81
2020-01-08,GBP,NPR,buy,150.82
2020-01-08,GBP,NPR,sell,151.61
2020-01-08,HKD,NPR,buy,14.75
2020-01-08,HKD,NPR,sell,14.82
2020-01-08,INR,NPR,buy,1.6
2020-01-08,INR,NPR,sell,1.6015000000000001
2020-01-08,JPY,NPR,buy,1.057
2020-01-08,JPY,NPR,sell,1.0630000000000002
2020-01-08,KRW,NPR,buy,0.0983
2020-01-08,KRW,NPR,sell,0.0989
2020-01-08,KWD,NPR,buy,378.15
2020-01-08,KWD,NPR,sell,380.13
2020-01-08,MYR,NPR,buy,28.01
2020-01-08,MYR,NPR,sell,28.15
2020-01-08,QAR,NPR,buy,31.48
2020-01-08,QAR,NPR,sell,31.64
2020-01-08,SAR,NPR,buy,30.56
2020-01-08,SAR,NPR,sell,30.72
2020-01-08,SEK,NPR,buy,12.17
2020-01-08,SEK,NPR,sell,12.23
2020-01-08,SGD,NPR,buy,84.93
2020-01-08,SGD,NPR,sell,85.38
2020-01-08,THB,NPR,buy,3.79
2020-01-08,THB,NPR,sell,3.81
2020-01-08,USD,NPR,buy,114.64
2020-01-08,USD,NPR,sell,115.24
2020-01-09,AED,NPR,buy,31.15
2020-01-09,AED,NPR,sell,31.31
2020-01-09,AUD,NPR,buy,78.6
2020-01-09,AUD,NPR,sell,79.01
2020-01-09,BHD,NPR,buy,303.44
2020-01-09,BHD,NPR,sell,305.03
2020-01-09,CAD,NPR,buy,87.97
2020-01-09,CAD,NPR,sell,88.43
2020-01-09,CHF,NPR,buy,117.68
2020-01-09,CHF,NPR,sell,118.3
2020-01-09,CNY,NPR,buy,16.48
2020-01-09,CNY,NPR,sell,16.57
2020-01-09,DKK,NPR,buy,17.04
2020-01-09,DKK,NPR,sell,17.13
2020-01-09,EUR,NPR,buy,127.33
2020-01-09,EUR,NPR,sell,128
2020-01-09,GBP,NPR,buy,150.11
2020-01-09,GBP,NPR,sell,150.9
2020-01-09,HKD,NPR,buy,14.71
2020-01-09,HKD,NPR,sell,14.79
2020-01-09,INR,NPR,buy,1.6
2020-01-09,INR,NPR,sell,1.6015000000000001
2020-01-09,JPY,NPR,buy,1.053
2020-01-09,JPY,NPR,sell,1.058
2020-01-09,KRW,NPR,buy,0.098
2020-01-09,KRW,NPR,sell,0.0986
2020-01-09,KWD,NPR,buy,377.22
2020-01-09,KWD,NPR,sell,379.2
2020-01-09,MYR,NPR,buy,27.9
2020-01-09,MYR,NPR,sell,28.04
2020-01-09,QAR,NPR,buy,31.42
2020-01-09,QAR,NPR,sell,31.58
2020-01-09,SAR,NPR,buy,30.5
2020-01-09,SAR,NPR,sell,30.66
2020-01-09,SEK,NPR,buy,12.12
2020-01-09,SEK,NPR,sell,12.18
2020-01-09,SGD,NPR,buy,84.72
2020-01-09,SGD,NPR,sell,85.17
2020-01-09,THB,NPR,buy,3.77
2020-01-09,THB,NPR,sell,3.79
2020-01-09,USD,NPR,buy,114.41
2020-01-09,USD,NPR,sell,115.01
2020-01-10,AED,NPR,buy,30.94
2020-01-10,AED,NPR,sell,31.1
2020-01-10,AUD,NPR,buy,78
2020-01-10,AUD,NPR,sell,78.41
2020-01-10,BHD,NPR,buy,301.44
2020-01-10,BHD,NPR,sell,303.03
2020-01-10,CAD,NPR,buy,87.07
2020-01-10,CAD,NPR,sell,87.53
2020-01-10,CHF,NPR,buy,116.7
2020-01-10,CHF,NPR,sell,117.32
2020-01-10,CNY,NPR,buy,16.4
2020-01-10,CNY,NPR,sell,16.48
2020-01-10,DKK,NPR,buy,16.9
2020-01-10,DKK,NPR,sell,16.99
2020-01-10,EUR,NPR,buy,126.26
2020-01-10,EUR,NPR,sell,126.93
2020-01-10,GBP,NPR,buy,148.07
2020-01-10,GBP,NPR,sell,148.85
2020-01-10,HKD,NPR,buy,14.63
2020-01-10,HKD,NPR,sell,14.71
2020-01-10,INR,NPR,buy,1.6
2020-01-10,INR,NPR,sell,1.6015000000000001
2020-01-10,JPY,NPR,buy,1.038
2020-01-10,JPY,NPR,sell,1.044
2020-01-10,KRW,NPR,buy,0.0981
2020-01-10,KRW,NPR,sell,0.0986
2020-01-10,KWD,NPR,buy,374.51
2020-01-10,KWD,NPR,sell,376.48
2020-01-10,MYR,NPR,buy,27.78
2020-01-10,MYR,NPR,sell,27.93
2020-01-10,QAR,NPR,buy,31.21
2020-01-10,QAR,NPR,sell,31.38
2020-01-10,SAR,NPR,buy,30.29
2020-01-10,SAR,NPR,sell,30.45
2020-01-10,SEK,NPR,buy,11.99
2020-01-10,SEK,NPR,sell,12.05
2020-01-10,SGD,NPR,buy,84.1
2020-01-10,SGD,NPR,sell,84.54
2020-01-10,THB,NPR,buy,3.75
2020-01-10,THB,NPR,sell,3.77
2020-01-10,USD,NPR,buy,113.64
2020-01-10,USD,NPR,sell,114.24
2020-01-11,AED,NPR,buy,30.82
2020-01-11,AED,NPR,sell,30.98
2020-01-11,AUD,NPR,buy,77.91
2020-01-11,AUD,NPR,sell,78.32
2020-01-11,BHD,NPR,buy,300.25
2020-01-11,BHD,NPR,sell,301.84
2020-01-11,CAD,NPR,buy,86.61
2020-01-11,CAD,NPR,sell,87.07
2020-01-11,CHF,NPR,buy,116.03
2020-01-11,CHF,NPR,sell,116.65
2020-01-11,CNY,NPR,buy,16.36
2020-01-11,CNY,NPR,sell,16.44
2020-01-11,DKK,NPR,buy,16.8
2020-01-11,DKK,NPR,sell,16.89
2020-01-11,EUR,NPR,buy,125.57
2020-01-11,EUR,NPR,sell,126.24
2020-01-11,GBP,NPR,buy,147.96
2020-01-11,GBP,NPR,sell,148.75
2020-01-11,HKD,NPR,buy,14.58
2020-01-11,HKD,NPR,sell,14.65
2020-01-11,INR,NPR,buy,1.6
2020-01-11,INR,NPR,sell,1.6015000000000001
2020-01-11,JPY,NPR,buy,1.033
2020-01-11,JPY,NPR,sell,1.038
2020-01-11,KRW,NPR,buy,0.0977
2020-01-11,KRW,NPR,sell,0.09820000000000001
2020-01-11,KWD,NPR,buy,373.07
2020-01-11,KWD,NPR,sell,375.05
2020-01-11,MYR,NPR,buy,27.77
2020-01-11,MYR,NPR,sell,27.92
2020-01-11,QAR,NPR,buy,31.09
2020-01-11,QAR,NPR,sell,31.25
2020-01-11,SAR,NPR,buy,30.18
2020-01-11,SAR,NPR,sell,30.34
2020-01-11,SEK,NPR,buy,11.92
2020-01-11,SEK,NPR,sell,11.98
2020-01-11,SGD,NPR,buy,83.89
2020-01-11,SGD,NPR,sell,84.33
2020-01-11,THB,NPR,buy,3.74
2020-01-11,THB,NPR,sell,3.76
2020-01-11,USD,NPR,buy,113.21
2020-01-11,USD,NPR,sell,113.81
2020-01-12,AED,NPR,buy,30.82
2020-01-12,AED,NPR,sell,30.98
2020-01-12,AUD,NPR,buy,77.91
2020-01-12,AUD,NPR,sell,78.32
2020-01-12,BHD,NPR,buy,300.25
2020-01-12,BHD,NPR,sell,301.84
2020-01-12,CAD,NPR,buy,86.61
2020-01-12,CAD,NPR,sell,87.07
2020-01-12,CHF,NPR,buy,116.03
2020-01-12,CHF,NPR,sell,116.65
2020-01-12,CNY,NPR,buy,16.36
2020-01-12,CNY,NPR,sell,16.44
2020-01-12,DKK,NPR,buy,16.8
2020-01-12,DKK,NPR,sell,16.89
2020-01-12,EUR,NPR,buy,125.57
2020-01-12,EUR,NPR,sell,126.24
2020-01-12,GBP,NPR,buy,147.96
2020-01-12,GBP,NPR,sell,148.75
2020-01-12,HKD,NPR,buy,14.58
2020-01-12,HKD,NPR,sell,14.65
2020-01-12,INR,NPR,buy,1.6
2020-01-12,INR,NPR,sell,1.6015000000000001
2020-01-12,JPY,NPR,buy,1.033
2020-01-12,JPY,NPR,sell,1.038
2020-01-12,KRW,NPR,buy,0.0977
2020-01-12,KRW,NPR,sell,0.09820000000000001
2020-01-12,KWD,NPR,buy,373.07
2020-01-12,KWD,NPR,sell,375.05
2020-01-12,MYR,NPR,buy,27.77
2020-01-12,MYR,NPR,sell,27.92
2020-01-12,QAR,NPR,buy,31.09
2020-01-12,QAR,NPR,sell,31.25
2020-01-12,SAR,NPR,buy,30.18
2020-01-12,SAR,NPR,sell,30.34
2020-01-12,SEK,NPR,buy,11.92
2020-01-12,SEK,NPR,sell,11.98
2020-01-12,SGD,NPR,buy,83.89
2020-01-12,SGD,NPR,sell,84.33
2020-01-12,THB,NPR,buy,3.74
2020-01-12,THB,NPR,sell,3.76
2020-01-12,USD,NPR,buy,113.21
2020-01-12,USD,NPR,sell,113.81
2020-01-13,AED,NPR,buy,30.82
2020-01-13,AED,NPR,sell,30.98
2020-01-13,AUD,NPR,buy,78.15
2020-01-13,AUD,NPR,sell,78.56
2020-01-13,BHD,NPR,buy,300.21
2020-01-13,BHD,NPR,sell,301.8
2020-01-13,CAD,NPR,buy,86.74
2020-01-13,CAD,NPR,sell,87.2
2020-01-13,CHF,NPR,buy,116.4
2020-01-13,CHF,NPR,sell,117.02
2020-01-13,CNY,NPR,buy,16.36
2020-01-13,CNY,NPR,sell,16.45
2020-01-13,DKK,NPR,buy,16.85
2020-01-13,DKK,NPR,sell,16.94
2020-01-13,EUR,NPR,buy,125.91
2020-01-13,EUR,NPR,sell,126.58
2020-01-13,GBP,NPR,buy,147.88
2020-01-13,GBP,NPR,sell,148.66
2020-01-13,HKD,NPR,buy,14.58
2020-01-13,HKD,NPR,sell,14.65
2020-01-13,INR,NPR,buy,1.6
2020-01-13,INR,NPR,sell,1.6015000000000001
2020-01-13,JPY,NPR,buy,1.034
2020-01-13,JPY,NPR,sell,1.04
2020-01-13,KRW,NPR,buy,0.0977
2020-01-13,KRW,NPR,sell,0.09820000000000001
2020-01-13,KWD,NPR,buy,373.07
2020-01-13,KWD,NPR,sell,375.05
2020-01-13,MYR,NPR,buy,27.77
