date,base,quote,type,value
2015-01-05,AUD,CNY,reference,4.9717
2015-01-05,CAD,CNY,reference,5.2013
2015-01-05,CNY,MYR,reference,0.57102
2015-01-05,CNY,RUB,reference,9.5292
2015-01-05,CNY,THB,reference,5.3534
2015-01-05,EUR,CNY,reference,7.3461
2015-01-05,GBP,CNY,reference,9.3989
2015-01-05,HKD,CNY,reference,0.78965
2015-01-05,JPY,CNY,reference,0.05116
2015-01-05,NZD,CNY,reference,4.7174
2015-01-05,SGD,CNY,reference,4.6084
2015-01-05,USD,CNY,reference,6.1248
2015-01-06,AUD,CNY,reference,4.9774
2015-01-06,CAD,CNY,reference,5.2095
2015-01-06,CNY,MYR,reference,0.57528
2015-01-06,CNY,RUB,reference,9.7704
2015-01-06,CNY,THB,reference,5.3457
2015-01-06,EUR,CNY,reference,7.3303
2015-01-06,GBP,CNY,reference,9.3713
2015-01-06,HKD,CNY,reference,0.78985
2015-01-06,JPY,CNY,reference,0.051483999999999995
2015-01-06,NZD,CNY,reference,4.7319
2015-01-06,SGD,CNY,reference,4.6024
2015-01-06,USD,CNY,reference,6.1256
2015-01-07,AUD,CNY,reference,4.9535
2015-01-07,CAD,CNY,reference,5.1778
2015-01-07,CNY,MYR,reference,0.57917
2015-01-07,CNY,RUB,reference,10.2056
2015-01-07,CNY,THB,reference,5.3344
2015-01-07,EUR,CNY,reference,7.2885
2015-01-07,GBP,CNY,reference,9.2927
2015-01-07,HKD,CNY,reference,0.79012
2015-01-07,JPY,CNY,reference,0.051761999999999996
2015-01-07,NZD,CNY,reference,4.7568
2015-01-07,SGD,CNY,reference,4.6048
2015-01-07,USD,CNY,reference,6.1269
2015-01-08,AUD,CNY,reference,4.973
2015-01-08,CAD,CNY,reference,5.1872
2015-01-08,CNY,MYR,reference,0.57821
2015-01-08,CNY,RUB,reference,10.1553
2015-01-08,CNY,THB,reference,5.3321
2015-01-08,EUR,CNY,reference,7.2718
2015-01-08,GBP,CNY,reference,9.2827
2015-01-08,HKD,CNY,reference,0.79053
2015-01-08,JPY,CNY,reference,0.051510999999999994
2015-01-08,NZD,CNY,reference,4.7797
