date,base,quote,type,value
2026-08-17,EGP,ILS,buy,0.0588
2026-08-17,EGP,ILS,sell,0.059
2026-08-17,EUR,ILS,buy,3.4249
2026-08-17,EUR,ILS,sell,3.4304
2026-08-17,JOD,ILS,buy,4.1638
2026-08-17,JOD,ILS,sell,4.1819
2026-08-17,USD,ILS,buy,2.9563
2026-08-17,USD,ILS,sell,2.9608
2026-08-18,EGP,ILS,buy,0.0592
2026-08-18,EGP,ILS,sell,0.0593
2026-08-18,EUR,ILS,buy,3.442
2026-08-18,EUR,ILS,sell,3.4456
2026-08-18,JOD,ILS,buy,4.1893
2026-08-18,JOD,ILS,sell,4.2055
2026-08-18,USD,ILS,buy,2.9744
2026-08-18,USD,ILS,sell,2.9775
2026-08-19,EGP,ILS,buy,0.0591
2026-08-19,EGP,ILS,sell,0.0593
2026-08-19,EUR,ILS,buy,3.4628
2026-08-19,EUR,ILS,sell,3.4669
2026-08-19,JOD,ILS,buy,4.2092
2026-08-19,JOD,ILS,sell,4.2257
2026-08-19,USD,ILS,buy,2.9885
2026-08-19,USD,ILS,sell,2.9918
2026-08-20,EGP,ILS,buy,0.0587
2026-08-20,EGP,ILS,sell,0.0588
2026-08-20,EUR,ILS,buy,3.4745
2026-08-20,EUR,ILS,sell,3.4781
2026-08-20,JOD,ILS,buy,4.193
2026-08-20,JOD,ILS,sell,4.2089
2026-08-20,USD,ILS,buy,2.977
2026-08-20,USD,ILS,sell,2.9799
2026-08-23,EGP,ILS,buy,0.0587
2026-08-23,EGP,ILS,sell,0.0588
2026-08-23,EUR,ILS,buy,3.4866
2026-08-23,EUR,ILS,sell,3.4916
2026-08-23,JOD,ILS,buy,4.2062
2026-08-23,JOD,ILS,sell,4.2216
2026-08-23,USD,ILS,buy,2.9864
2026-08-23,USD,ILS,sell,2.9889
2026-08-24,EGP,ILS,buy,0.0588
2026-08-24,EGP,ILS,sell,0.0589
2026-08-24,EUR,ILS,buy,3.4928
2026-08-24,EUR,ILS,sell,3.4976
2026-08-24,JOD,ILS,buy,4.2123
2026-08-24,JOD,ILS,sell,4.2295
2026-08-24,USD,ILS,buy,2.9907
2026-08-24,USD,ILS,sell,2.9945
2026-08-26,EGP,ILS,buy,0.0589
2026-08-26,EGP,ILS,sell,0.0591
2026-08-26,EUR,ILS,buy,3.4701
2026-08-26,EUR,ILS,sell,3.4735
2026-08-26,JOD,ILS,buy,4.1894
2026-08-26,JOD,ILS,sell,4.2051
2026-08-26,USD,ILS,buy,2.9745
2026-08-26,USD,ILS,sell,2.9772
2026-08-27,EGP,ILS,buy,0.0591
2026-08-27,EGP,ILS,sell,0.0592
2026-08-27,EUR,ILS,buy,3.4617
2026-08-27,EUR,ILS,sell,3.465
2026-08-27,JOD,ILS,buy,4.183
2026-08-27,JOD,ILS,sell,4.1987
2026-08-27,USD,ILS,buy,2.9699
2026-08-27,USD,ILS,sell,2.9727
2026-08-30,EGP,ILS,buy,0.0595
2026-08-30,EGP,ILS,sell,0.0596
2026-08-30,EUR,ILS,buy,3.4633
2026-08-30,EUR,ILS,sell,3.4696
2026-08-30,JOD,ILS,buy,4.212
2026-08-30,JOD,ILS,sell,4.2282
2026-08-30,USD,ILS,buy,2.9905
2026-08-30,USD,ILS,sell,2.9936
2026-08-31,EGP,ILS,buy,0.0591
2026-08-31,EGP,ILS,sell,0.0593
2026-08-31,EUR,ILS,buy,3.4604
2026-08-31,EUR,ILS,sell,3.4655
2026-08-31,JOD,ILS,buy,4.2059
2026-08-31,JOD,ILS,sell,4.2236
2026-08-31,USD,ILS,buy,2.9862
2026-08-31,USD,ILS,sell,2.9903
2026-09-01,EGP,ILS,buy,0.0587
2026-09-01,EGP,ILS,sell,0.0589
2026-09-01,EUR,ILS,buy,3.4711
2026-09-01,EUR,ILS,sell,3.4759
2026-09-01,JOD,ILS,buy,4.2117
2026-09-01,JOD,ILS,sell,4.2294
2026-09-01,USD,ILS,buy,2.9903
2026-09-01,USD,ILS,sell,2.9944
2026-09-02,EGP,ILS,buy,0.0595
2026-09-02,EGP,ILS,sell,0.0597
2026-09-02,EUR,ILS,buy,3.5131
2026-09-02,EUR,ILS,sell,3.5174
2026-09-02,JOD,ILS,buy,4.273
2026-09-02,JOD,ILS,sell,4.2898
2026-09-02,USD,ILS,buy,3.0338
2026-09-02,USD,ILS,sell,3.0372
2026-09-03,EGP,ILS,buy,0.0591
2026-09-03,EGP,ILS,sell,0.0592
2026-09-03,EUR,ILS,buy,3.5041
2026-09-03,EUR,ILS,sell,3.5075
2026-09-03,JOD,ILS,buy,4.2558
2026-09-03,JOD,ILS,sell,4.2715
2026-09-03,USD,ILS,buy,3.0216
2026-09-03,USD,ILS,sell,3.0242
