date,base,quote,type,value
2025-01-04,AUD,QAR,reference,2.2606
2025-01-04,CAD,QAR,reference,2.5239
2025-01-04,CHF,QAR,reference,4.0062
2025-01-04,EUR,QAR,reference,3.7536
2025-01-04,GBP,QAR,reference,4.5265
2025-01-04,HKD,QAR,reference,0.4686
2025-01-04,USD,QAR,reference,3.64
2025-01-05,AUD,QAR,reference,2.2606
2025-01-05,CAD,QAR,reference,2.5239
2025-01-05,CHF,QAR,reference,4.0062
2025-01-05,EUR,QAR,reference,3.7536
2025-01-05,GBP,QAR,reference,4.5265
2025-01-05,HKD,QAR,reference,0.4686
2025-01-05,USD,QAR,reference,3.64
2025-01-06,AUD,QAR,reference,2.2708
2025-01-06,CAD,QAR,reference,2.5334
2025-01-06,CHF,QAR,reference,4.0073
2025-01-06,EUR,QAR,reference,3.7579
2025-01-06,GBP,QAR,reference,4.5335
2025-01-06,HKD,QAR,reference,0.4688
2025-01-06,USD,QAR,reference,3.64
2025-01-07,AUD,QAR,reference,2.2849
2025-01-07,CAD,QAR,reference,2.5467
2025-01-07,CHF,QAR,reference,4.0334
2025-01-07,EUR,QAR,reference,3.7901
2025-01-07,GBP,QAR,reference,4.5707
2025-01-07,HKD,QAR,reference,0.4691
2025-01-07,USD,QAR,reference,3.64
2025-01-08,AUD,QAR,reference,2.272
2025-01-08,CAD,QAR,reference,2.5421
2025-01-08,CHF,QAR,reference,4.0119
2025-01-08,EUR,QAR,reference,3.7753
2025-01-08,GBP,QAR,reference,4.5524
2025-01-08,HKD,QAR,reference,0.4689
2025-01-08,USD,QAR,reference,3.64
2025-01-09,AUD,QAR,reference,2.2604
2025-01-09,CAD,QAR,reference,2.5364
2025-01-09,CHF,QAR,reference,4.0028
2025-01-09,EUR,QAR,reference,3.7572
2025-01-09,GBP,QAR,reference,4.4954
2025-01-09,HKD,QAR,reference,0.4686
2025-01-09,USD,QAR,reference,3.64
2025-01-13,AUD,QAR,reference,2.2381
2025-01-13,CAD,QAR,reference,2.5256
2025-01-13,CHF,QAR,reference,3.9752
2025-01-13,EUR,QAR,reference,3.7255
2025-01-13,GBP,QAR,reference,4.428
2025-01-13,HKD,QAR,reference,0.4682
2025-01-13,USD,QAR,reference,3.64
2025-01-14,AUD,QAR,reference,2.2542
2025-01-14,CAD,QAR,reference,2.535
2025-01-14,CHF,QAR,reference,3.9794
2025-01-14,EUR,QAR,reference,3.7353
2025-01-14,GBP,QAR,reference,4.4484
2025-01-14,HKD,QAR,reference,0.4684
2025-01-14,USD,QAR,reference,3.64
2025-01-15,AUD,QAR,reference,2.2556
2025-01-15,CAD,QAR,reference,2.5385
2025-01-15,CHF,QAR,reference,3.9966
2025-01-15,EUR,QAR,reference,3.7526
2025-01-15,GBP,QAR,reference,4.447
2025-01-15,HKD,QAR,reference,0.468
2025-01-15,USD,QAR,reference,3.64
2025-01-16,AUD,QAR,reference,2.2597
2025-01-16,CAD,QAR,reference,2.5379
2025-01-16,CHF,QAR,reference,3.994
2025-01-16,EUR,QAR,reference,3.7485
2025-01-16,GBP,QAR,reference,4.4513
2025-01-16,HKD,QAR,reference,0.4681
2025-01-16,USD,QAR,reference,3.64
2025-01-19,AUD,QAR,reference,2.2617
2025-01-19,CAD,QAR,reference,2.5247
2025-01-19,CHF,QAR,reference,3.9854
2025-01-19,EUR,QAR,reference,3.7477
2025-01-19,GBP,QAR,reference,4.4379
2025-01-19,HKD,QAR,reference,0.4682
2025-01-19,USD,QAR,reference,3.64
2025-01-20,AUD,QAR,reference,2.2632
2025-01-20,CAD,QAR,reference,2.5228
2025-01-20,CHF,QAR,reference,3.993
2025-01-20,EUR,QAR,reference,3.7555
2025-01-20,GBP,QAR,reference,4.4512
2025-01-20,HKD,QAR,reference,0.4684
2025-01-20,USD,QAR,reference,3.64
2025-01-21,AUD,QAR,reference,2.2721
2025-01-21,CAD,QAR,reference,2.5254
2025-01-21,CHF,QAR,reference,4.0147
2025-01-21,EUR,QAR,reference,3.7835
2025-01-21,GBP,QAR,reference,4.475
2025-01-21,HKD,QAR,reference,0.4685
2025-01-21,USD,QAR,reference,3.64
2025-01-22,AUD,QAR,reference,2.284
2025-01-22,CAD,QAR,reference,2.5431
2025-01-22,CHF,QAR,reference,4.0214
2025-01-22,EUR,QAR,reference,3.7977
2025-01-22,GBP,QAR,reference,4.4995
2025-01-22,HKD,QAR,reference,0.4681
2025-01-22,USD,QAR,reference,3.64
2025-01-23,AUD,QAR,reference,2.2867
2025-01-23,CAD,QAR,reference,2.533
2025-01-23,CHF,QAR,reference,4.0214
2025-01-23,EUR,QAR,reference,3.7932
2025-01-23,GBP,QAR,reference,4.489
2025-01-23,HKD,QAR,reference,0.468
2025-01-23,USD,QAR,reference,3.64
2025-01-26,AUD,QAR,reference,2.3038
2025-01-26,CAD,QAR,reference,2.5428
2025-01-26,CHF,QAR,reference,4.028
2025-01-26,EUR,QAR,reference,3.832
2025-01-26,GBP,QAR,reference,4.5529
2025-01-26,HKD,QAR,reference,0.4681
2025-01-26,USD,QAR,reference,3.64
2025-01-27,AUD,QAR,reference,2.2933
2025-01-27,CAD,QAR,reference,2.5346
2025-01-27,CHF,QAR,reference,4.0207
2025-01-27,EUR,QAR,reference,3.8145
2025-01-27,GBP,QAR,reference,4.5378
2025-01-27,HKD,QAR,reference,0.4679
2025-01-27,USD,QAR,reference,3.64
2025-01-28,AUD,QAR,reference,2.2794
2025-01-28,CAD,QAR,reference,2.5319
2025-01-28,CHF,QAR,reference,4.027
2025-01-28,EUR,QAR,reference,3.8046
2025-01-28,GBP,QAR,reference,4.5366
2025-01-28,HKD,QAR,reference,0.4681
2025-01-28,USD,QAR,reference,3.64
2025-01-29,AUD,QAR,reference,2.2768
2025-01-29,CAD,QAR,reference,2.5331
2025-01-29,CHF,QAR,reference,4.0373
2025-01-29,EUR,QAR,reference,3.8065
2025-01-29,GBP,QAR,reference,4.5398
2025-01-29,HKD,QAR,reference,0.468
2025-01-29,USD,QAR,reference,3.64
2025-01-30,AUD,QAR,reference,2.2678
2025-01-30,CAD,QAR,reference,2.5278
2025-01-30,CHF,QAR,reference,4.0221
2025-01-30,EUR,QAR,reference,3.7996
2025-01-30,GBP,QAR,reference,4.5383
2025-01-30,HKD,QAR,reference,0.4679
2025-01-30,USD,QAR,reference,3.64
2025-02-02,AUD,QAR,reference,2.2814
2025-02-02,CAD,QAR,reference,2.5324
2025-02-02,CHF,QAR,reference,4.0162
2025-02-02,EUR,QAR,reference,3.7998
2025-02-02,GBP,QAR,reference,4.5419
2025-02-02,HKD,QAR,reference,0.4681
2025-02-02,USD,QAR,reference,3.64
2025-02-03,AUD,QAR,reference,2.2312
2025-02-03,CAD,QAR,reference,2.4751
2025-02-03,CHF,QAR,reference,3.9791
2025-02-03,EUR,QAR,reference,3.7332
2025-02-03,GBP,QAR,reference,4.4752
2025-02-03,HKD,QAR,reference,0.4677
2025-02-03,USD,QAR,reference,3.64
2025-02-04,AUD,QAR,reference,2.2543
2025-02-04,CAD,QAR,reference,2.5162
2025-02-04,CHF,QAR,reference,3.9935
2025-02-04,EUR,QAR,reference,3.7521
2025-02-04,GBP,QAR,reference,4.5192
2025-02-04,HKD,QAR,reference,0.4679
2025-02-04,USD,QAR,reference,3.64
2025-02-05,AUD,QAR,reference,2.2788
2025-02-05,CAD,QAR,reference,2.5424
2025-02-05,CHF,QAR,reference,4.0262
2025-02-05,EUR,QAR,reference,3.7832
2025-02-05,GBP,QAR,reference,4.5443
2025-02-05,HKD,QAR,reference,0.468
2025-02-05,USD,QAR,reference,3.64
2025-02-06,AUD,QAR,reference,2.2828
2025-02-06,CAD,QAR,reference,2.5408
2025-02-06,CHF,QAR,reference,4.037
2025-02-06,EUR,QAR,reference,3.7861
2025-02-06,GBP,QAR,reference,4.5507
2025-02-06,HKD,QAR,reference,0.4681
2025-02-06,USD,QAR,reference,3.64
2025-02-10,AUD,QAR,reference,2.2871
2025-02-10,CAD,QAR,reference,2.541
2025-02-10,CHF,QAR,reference,4.0025
2025-02-10,EUR,QAR,reference,3.7603
2025-02-10,GBP,QAR,reference,4.5226
2025-02-10,HKD,QAR,reference,0.4681
2025-02-10,USD,QAR,reference,3.64
2025-02-12,AUD,QAR,reference,2.2939
2025-02-12,CAD,QAR,reference,2.5504
2025-02-12,CHF,QAR,reference,3.9941
2025-02-12,EUR,QAR,reference,3.7768
2025-02-12,GBP,QAR,reference,4.5369
2025-02-12,HKD,QAR,reference,0.4679
2025-02-12,USD,QAR,reference,3.64
2025-02-13,AUD,QAR,reference,2.2948
2025-02-13,CAD,QAR,reference,2.5569
2025-02-13,CHF,QAR,reference,3.9998
2025-02-13,EUR,QAR,reference,3.8038
2025-02-13,GBP,QAR,reference,4.553
2025-02-13,HKD,QAR,reference,0.4682
2025-02-13,USD,QAR,reference,3.64
2025-02-16,AUD,QAR,reference,2.3182
2025-02-16,CAD,QAR,reference,2.5734
2025-02-16,CHF,QAR,reference,4.0591
2025-02-16,EUR,QAR,reference,3.8303
2025-02-16,GBP,QAR,reference,4.5966
2025-02-16,HKD,QAR,reference,0.4684
2025-02-16,USD,QAR,reference,3.64
2025-02-17,AUD,QAR,reference,2.3216
2025-02-17,CAD,QAR,reference,2.572
2025-02-17,CHF,QAR,reference,4.049
2025-02-17,EUR,QAR,reference,3.8247
2025-02-17,GBP,QAR,reference,4.5897
2025-02-17,HKD,QAR,reference,0.4686
2025-02-17,USD,QAR,reference,3.64
2025-02-19,AUD,QAR,reference,2.321
2025-02-19,CAD,QAR,reference,2.5711
2025-02-19,CHF,QAR,reference,4.0385
2025-02-19,EUR,QAR,reference,3.8121
2025-02-19,GBP,QAR,reference,4.602
2025-02-19,HKD,QAR,reference,0.4689
2025-02-19,USD,QAR,reference,3.64
2025-02-20,AUD,QAR,reference,2.3196
2025-02-20,CAD,QAR,reference,2.5629
2025-02-20,CHF,QAR,reference,4.0389
2025-02-20,EUR,QAR,reference,3.8014
2025-02-20,GBP,QAR,reference,4.591
2025-02-20,HKD,QAR,reference,0.4687
2025-02-20,USD,QAR,reference,3.64
2025-02-23,AUD,QAR,reference,2.323
2025-02-23,CAD,QAR,reference,2.5643
2025-02-23,CHF,QAR,reference,4.0619
2025-02-23,EUR,QAR,reference,3.8147
2025-02-23,GBP,QAR,reference,4.6101
2025-02-23,HKD,QAR,reference,0.4693
2025-02-23,USD,QAR,reference,3.64
2025-02-24,AUD,QAR,reference,2.3243
2025-02-24,CAD,QAR,reference,2.5679
2025-02-24,CHF,QAR,reference,4.0667
2025-02-24,EUR,QAR,reference,3.8329
2025-02-24,GBP,QAR,reference,4.6196
2025-02-24,HKD,QAR,reference,0.469
2025-02-24,USD,QAR,reference,3.64
2025-02-25,AUD,QAR,reference,2.3163
2025-02-25,CAD,QAR,reference,2.5588
2025-02-25,CHF,QAR,reference,4.0629
2025-02-25,EUR,QAR,reference,3.8189
2025-02-25,GBP,QAR,reference,4.6064
2025-02-25,HKD,QAR,reference,0.4688
2025-02-25,USD,QAR,reference,3.64
2025-02-26,AUD,QAR,reference,2.305
2025-02-26,CAD,QAR,reference,2.5438
2025-02-26,CHF,QAR,reference,4.0756
2025-02-26,EUR,QAR,reference,3.8249
2025-02-26,GBP,QAR,reference,4.6067
2025-02-26,HKD,QAR,reference,0.4691
