date,base,quote,type,value
2024-01-02,AUD,CAD,reference,0.904
2024-01-02,AUD,CNY,reference,4.8595
2024-01-02,AUD,EUR,reference,0.6188
2024-01-02,AUD,GBP,reference,0.5364
2024-01-02,AUD,HKD,reference,5.3283
2024-01-02,AUD,IDR,reference,10556
2024-01-02,AUD,INR,reference,56.82
2024-01-02,AUD,JPY,reference,96.54
2024-01-02,AUD,KRW,reference,887.9
2024-01-02,AUD,MYR,reference,3.1389
2024-01-02,AUD,NZD,reference,1.0819
2024-01-02,AUD,PHP,reference,37.91
2024-01-02,AUD,SGD,reference,0.9017
2024-01-02,AUD,THB,reference,23.37
2024-01-02,AUD,TWD,reference,20.99
2024-01-02,AUD,USD,reference,0.682
2024-01-02,AUD,VND,reference,16596
2024-01-02,AUD,XDR,reference,0.5083
2024-01-03,AUD,CAD,reference,0.9014
2024-01-03,AUD,CNY,reference,4.8335
2024-01-03,AUD,EUR,reference,0.6169
2024-01-03,AUD,GBP,reference,0.535
2024-01-03,AUD,HKD,reference,5.2851
2024-01-03,AUD,IDR,reference,10475
2024-01-03,AUD,INR,reference,56.35
2024-01-03,AUD,JPY,reference,95.97
2024-01-03,AUD,KRW,reference,884.71
2024-01-03,AUD,MYR,reference,3.1338
2024-01-03,AUD,NZD,reference,1.079
2024-01-03,AUD,PHP,reference,37.68
2024-01-03,AUD,SGD,reference,0.8968
2024-01-03,AUD,THB,reference,23.16
2024-01-03,AUD,TWD,reference,20.97
2024-01-03,AUD,USD,reference,0.6763
2024-01-03,AUD,VND,reference,16475
2024-01-03,AUD,XDR,reference,0.505
2024-01-04,AUD,CAD,reference,0.8988
2024-01-04,AUD,CNY,reference,4.8218
2024-01-04,AUD,EUR,reference,0.6167
2024-01-04,AUD,GBP,reference,0.5318
2024-01-04,AUD,HKD,reference,5.2606
2024-01-04,AUD,IDR,reference,10464
2024-01-04,AUD,INR,reference,56.14
2024-01-04,AUD,JPY,reference,96.74
2024-01-04,AUD,KRW,reference,882.61
2024-01-04,AUD,MYR,reference,3.1268
2024-01-04,AUD,NZD,reference,1.0755
2024-01-04,AUD,PHP,reference,37.46
2024-01-04,AUD,SGD,reference,0.8957
2024-01-04,AUD,THB,reference,23.31
2024-01-04,AUD,TWD,reference,20.9
2024-01-04,AUD,USD,reference,0.6738
2024-01-04,AUD,VND,reference,16431
2024-01-04,AUD,XDR,reference,0.5043
2024-01-05,AUD,CAD,reference,0.8952
2024-01-05,AUD,CNY,reference,4.8012
2024-01-05,AUD,EUR,reference,0.6122
2024-01-05,AUD,GBP,reference,0.5283
2024-01-05,AUD,HKD,reference,5.2313
2024-01-05,AUD,IDR,reference,10396
2024-01-05,AUD,INR,reference,55.75
2024-01-05,AUD,JPY,reference,97.02
2024-01-05,AUD,KRW,reference,881.68
2024-01-05,AUD,MYR,reference,3.1139
2024-01-05,AUD,NZD,reference,1.0755
2024-01-05,AUD,PHP,reference,37.31
2024-01-05,AUD,SGD,reference,0.8913
2024-01-05,AUD,THB,reference,23.17
2024-01-05,AUD,TWD,reference,20.79
2024-01-05,AUD,USD,reference,0.6698
2024-01-05,AUD,VND,reference,16315
2024-01-05,AUD,XDR,reference,0.5011
2024-01-08,AUD,CAD,reference,0.8959
2024-01-08,AUD,CNY,reference,4.7947
2024-01-08,AUD,EUR,reference,0.6127
2024-01-08,AUD,GBP,reference,0.5274
2024-01-08,AUD,HKD,reference,5.2302
2024-01-08,AUD,IDR,reference,10400
2024-01-08,AUD,INR,reference,55.66
2024-01-08,AUD,JPY,reference,96.79
2024-01-08,AUD,KRW,reference,882.06
2024-01-08,AUD,MYR,reference,3.1154
2024-01-08,AUD,NZD,reference,1.0746
2024-01-08,AUD,PHP,reference,37.27
2024-01-08,AUD,SGD,reference,0.8918
2024-01-08,AUD,THB,reference,23.42
2024-01-08,AUD,TWD,reference,20.75
2024-01-08,AUD,USD,reference,0.6699
2024-01-08,AUD,VND,reference,16305
2024-01-08,AUD,XDR,reference,0.502
2024-01-09,AUD,CAD,reference,0.8974
2024-01-09,AUD,CNY,reference,4.8103
2024-01-09,AUD,EUR,reference,0.6131
2024-01-09,AUD,GBP,reference,0.5271
2024-01-09,AUD,HKD,reference,5.2471
2024-01-09,AUD,IDR,reference,10427
2024-01-09,AUD,INR,reference,55.83
2024-01-09,AUD,JPY,reference,96.49
2024-01-09,AUD,KRW,reference,881.92
2024-01-09,AUD,MYR,reference,3.122
2024-01-09,AUD,NZD,reference,1.0749
2024-01-09,AUD,PHP,reference,37.57
2024-01-09,AUD,SGD,reference,0.8924
2024-01-09,AUD,THB,reference,23.43
2024-01-09,AUD,TWD,reference,20.83
2024-01-09,AUD,USD,reference,0.6719
2024-01-09,AUD,VND,reference,16364
2024-01-09,AUD,XDR,reference,0.5029
2024-01-10,AUD,CAD,reference,0.897
2024-01-10,AUD,CNY,reference,4.809
2024-01-10,AUD,EUR,reference,0.6131
2024-01-10,AUD,GBP,reference,0.5277
2024-01-10,AUD,HKD,reference,5.241
2024-01-10,AUD,IDR,reference,10434
2024-01-10,AUD,INR,reference,55.75
2024-01-10,AUD,JPY,reference,97.06
2024-01-10,AUD,KRW,reference,884.6
2024-01-10,AUD,MYR,reference,3.1162
2024-01-10,AUD,NZD,reference,1.0735
2024-01-10,AUD,PHP,reference,37.72
2024-01-10,AUD,SGD,reference,0.8927
2024-01-10,AUD,THB,reference,23.49
2024-01-10,AUD,TWD,reference,20.86
2024-01-10,AUD,USD,reference,0.6703
2024-01-10,AUD,VND,reference,16344
2024-01-10,AUD,XDR,reference,0.5017
2024-01-11,AUD,CAD,reference,0.8981
2024-01-11,AUD,CNY,reference,4.8129
2024-01-11,AUD,EUR,reference,0.6121
2024-01-11,AUD,GBP,reference,0.5264
2024-01-11,AUD,HKD,reference,5.2528
