date,base,quote,type,value
2009-01-01,EUR,INR,reference,68.09
2009-01-01,GBP,INR,reference,71.2189
2009-01-01,JPY,INR,reference,0.5374
2009-01-01,USD,INR,reference,48.73
2009-01-02,EUR,INR,reference,67.81
2009-01-02,GBP,INR,reference,71.6434
2009-01-02,JPY,INR,reference,0.5367
2009-01-02,USD,INR,reference,48.89
2009-01-05,EUR,INR,reference,67.32
2009-01-05,GBP,INR,reference,70.1752
2009-01-05,JPY,INR,reference,0.5261
2009-01-05,USD,INR,reference,48.37
2009-01-06,EUR,INR,reference,65.79
2009-01-06,GBP,INR,reference,71.0874
2009-01-06,JPY,INR,reference,0.523
2009-01-06,USD,INR,reference,48.68
2009-01-07,EUR,INR,reference,65.72
2009-01-07,GBP,INR,reference,72.5164
2009-01-07,JPY,INR,reference,0.519
2009-01-07,USD,INR,reference,48.61
2009-01-09,EUR,INR,reference,66.84
2009-01-09,GBP,INR,reference,74.422
2009-01-09,JPY,INR,reference,0.5366
2009-01-09,USD,INR,reference,48.92
2009-01-12,EUR,INR,reference,65.1
2009-01-12,GBP,INR,reference,73.2232
2009-01-12,JPY,INR,reference,0.5389
2009-01-12,USD,INR,reference,48.6
2009-01-13,EUR,INR,reference,64.9
2009-01-13,GBP,INR,reference,72.108
2009-01-13,JPY,INR,reference,0.5473
2009-01-13,USD,INR,reference,48.91
2009-01-14,EUR,INR,reference,64.71
2009-01-14,GBP,INR,reference,71.046
2009-01-14,JPY,INR,reference,0.543
2009-01-14,USD,INR,reference,48.7
2009-01-15,EUR,INR,reference,64.74
2009-01-15,GBP,INR,reference,71.7574
2009-01-15,JPY,INR,reference,0.542
2009-01-15,USD,INR,reference,49.08
2009-01-16,EUR,INR,reference,64.71
2009-01-16,GBP,INR,reference,72.5478
2009-01-16,JPY,INR,reference,0.5397
2009-01-16,USD,INR,reference,48.77
2009-01-19,EUR,INR,reference,64.82
2009-01-19,GBP,INR,reference,72.2816
2009-01-19,JPY,INR,reference,0.5348
2009-01-19,USD,INR,reference,48.56
2009-01-20,EUR,INR,reference,63.69
2009-01-20,GBP,INR,reference,69.6687
2009-01-20,JPY,INR,reference,0.542
2009-01-20,USD,INR,reference,48.99
2009-01-21,EUR,INR,reference,63.61
2009-01-21,GBP,INR,reference,68.3578
2009-01-21,JPY,INR,reference,0.5465
2009-01-21,USD,INR,reference,49.12
2009-01-22,EUR,INR,reference,63.7
2009-01-22,GBP,INR,reference,68.069
2009-01-22,JPY,INR,reference,0.5476
2009-01-22,USD,INR,reference,48.93
2009-01-23,EUR,INR,reference,63.6
2009-01-23,GBP,INR,reference,67.6067
2009-01-23,JPY,INR,reference,0.5558
2009-01-23,USD,INR,reference,49.19
2009-01-27,EUR,INR,reference,64.51
2009-01-27,GBP,INR,reference,68.6855
2009-01-27,JPY,INR,reference,0.546
2009-01-27,USD,INR,reference,48.85
2009-01-28,EUR,INR,reference,64.76
2009-01-28,GBP,INR,reference,69.7204
2009-01-28,JPY,INR,reference,0.5482
2009-01-28,USD,INR,reference,48.87
2009-01-29,EUR,INR,reference,64.1
2009-01-29,GBP,INR,reference,69.103
2009-01-29,JPY,INR,reference,0.5437
2009-01-29,USD,INR,reference,48.9
2009-01-30,EUR,INR,reference,63.25
2009-01-30,GBP,INR,reference,69.8363
2009-01-30,JPY,INR,reference,0.5483
2009-01-30,USD,INR,reference,49.02
2009-02-02,EUR,INR,reference,62.38
2009-02-02,GBP,INR,reference,70.5401
2009-02-02,JPY,INR,reference,0.5469
2009-02-02,USD,INR,reference,49.01
2009-02-03,EUR,INR,reference,62.67
2009-02-03,GBP,INR,reference,69.2277
2009-02-03,JPY,INR,reference,0.5454
2009-02-03,USD,INR,reference,48.8
2009-02-04,EUR,INR,reference,63.46
2009-02-04,GBP,INR,reference,70.2798
2009-02-04,JPY,INR,reference,0.5432
2009-02-04,USD,INR,reference,48.65
2009-02-05,EUR,INR,reference,62.69
2009-02-05,GBP,INR,reference,70.479
2009-02-05,JPY,INR,reference,0.5457
2009-02-05,USD,INR,reference,48.82
2009-02-06,EUR,INR,reference,62.29
2009-02-06,GBP,INR,reference,71.2676
2009-02-06,JPY,INR,reference,0.5358
2009-02-06,USD,INR,reference,48.73
2009-02-09,EUR,INR,reference,62.64
2009-02-09,GBP,INR,reference,71.5392
2009-02-09,JPY,INR,reference,0.5336
2009-02-09,USD,INR,reference,48.6
2009-02-10,EUR,INR,reference,62.54
2009-02-10,GBP,INR,reference,72.1929
2009-02-10,JPY,INR,reference,0.533
2009-02-10,USD,INR,reference,48.7
2009-02-11,EUR,INR,reference,63.07
2009-02-11,GBP,INR,reference,70.4766
2009-02-11,JPY,INR,reference,0.5428
2009-02-11,USD,INR,reference,48.82
2009-02-12,EUR,INR,reference,62.88
2009-02-12,GBP,INR,reference,69.9912
2009-02-12,JPY,INR,reference,0.541
2009-02-12,USD,INR,reference,48.72
2009-02-13,EUR,INR,reference,62.94
2009-02-13,GBP,INR,reference,70.0594
2009-02-13,JPY,INR,reference,0.5351
2009-02-13,USD,INR,reference,48.72
2009-02-16,EUR,INR,reference,62.1
2009-02-16,GBP,INR,reference,69.1678
2009-02-16,JPY,INR,reference,0.5309
2009-02-16,USD,INR,reference,48.72
2009-02-17,EUR,INR,reference,62.18
2009-02-17,GBP,INR,reference,69.8367
2009-02-17,JPY,INR,reference,0.5319
2009-02-17,USD,INR,reference,49.16
2009-02-18,EUR,INR,reference,62.88
2009-02-18,GBP,INR,reference,71.0662
2009-02-18,JPY,INR,reference,0.5396
2009-02-18,USD,INR,reference,49.85
2009-02-19,EUR,INR,reference,62.75
2009-02-19,GBP,INR,reference,71.116
2009-02-19,JPY,INR,reference,0.5334
2009-02-19,USD,INR,reference,49.85
2009-02-24,EUR,INR,reference,63.49
2009-02-24,GBP,INR,reference,72.6673
2009-02-24,JPY,INR,reference,0.5238
2009-02-24,USD,INR,reference,49.89
2009-02-25,EUR,INR,reference,63.9
2009-02-25,GBP,INR,reference,72.3934
2009-02-25,JPY,INR,reference,0.5131
2009-02-25,USD,INR,reference,49.82
2009-02-26,EUR,INR,reference,64.03
2009-02-26,GBP,INR,reference,71.625
2009-02-26,JPY,INR,reference,0.5151
2009-02-26,USD,INR,reference,50.41
2009-02-27,EUR,INR,reference,64.57
2009-02-27,GBP,INR,reference,72.5236
2009-02-27,JPY,INR,reference,0.5184
2009-02-27,USD,INR,reference,50.73
2009-03-02,EUR,INR,reference,65.19
2009-03-02,GBP,INR,reference,73.7256
2009-03-02,JPY,INR,reference,0.531
2009-03-02,USD,INR,reference,51.75
2009-03-03,EUR,INR,reference,65.38
2009-03-03,GBP,INR,reference,72.9284
2009-03-03,JPY,INR,reference,0.5295
2009-03-03,USD,INR,reference,51.66
2009-03-04,EUR,INR,reference,64.92
