date,base,quote,type,value
2020-01-02,AED,MWK,buy,198.5165
2020-01-02,AED,MWK,middle,200.5014
2020-01-02,AED,MWK,sell,202.4864
2020-01-02,AUD,MWK,buy,510.3676
2020-01-02,AUD,MWK,middle,515.4708
2020-01-02,AUD,MWK,sell,520.574
2020-01-02,BWP,MWK,buy,69.1927
2020-01-02,BWP,MWK,middle,69.8846
2020-01-02,BWP,MWK,sell,70.5764
2020-01-02,CAD,MWK,buy,561.6324
2020-01-02,CAD,MWK,middle,567.2482
2020-01-02,CAD,MWK,sell,572.8639
2020-01-02,CHF,MWK,buy,751.6611
2020-01-02,CHF,MWK,middle,759.1769
2020-01-02,CHF,MWK,sell,766.6928
2020-01-02,CMD,MWK,buy,729.1112
2020-01-02,CMD,MWK,middle,736.4016
2020-01-02,CMD,MWK,sell,743.692
2020-01-02,CNY,MWK,buy,104.7077
2020-01-02,CNY,MWK,middle,105.7547
2020-01-02,CNY,MWK,sell,106.8017
2020-01-02,DKK,MWK,buy,109.3924
2020-01-02,DKK,MWK,middle,110.4862
2020-01-02,DKK,MWK,sell,111.58
2020-01-02,EUR,MWK,buy,817.042
2020-01-02,EUR,MWK,middle,825.2116
2020-01-02,EUR,MWK,sell,833.3812
2020-01-02,GBP,MWK,buy,963.885
2020-01-02,GBP,MWK,middle,973.5229
2020-01-02,GBP,MWK,sell,983.1608
2020-01-02,HKD,MWK,buy,93.591
2020-01-02,HKD,MWK,middle,94.5268
2020-01-02,HKD,MWK,sell,95.4626
2020-01-02,IDR,MWK,buy,0.0525
2020-01-02,IDR,MWK,middle,0.053
2020-01-02,IDR,MWK,sell,0.0535
2020-01-02,IEP,MWK,buy,512.4121
2020-01-02,IEP,MWK,middle,517.5357
2020-01-02,IEP,MWK,sell,522.6593
2020-01-02,INR,MWK,buy,10.2202
2020-01-02,INR,MWK,middle,10.3224
2020-01-02,INR,MWK,sell,10.4246
2020-01-02,JPY,MWK,buy,6.702
2020-01-02,JPY,MWK,middle,6.769
2020-01-02,JPY,MWK,sell,6.836
2020-01-02,KES,MWK,buy,7.2118
2020-01-02,KES,MWK,middle,7.2839
