date,base,quote,type,value
2023-01-04,NZD,AUD,reference,0.9285
2023-01-04,NZD,CAD,reference,0.85515
2023-01-04,NZD,CNY,reference,4.3231
2023-01-04,NZD,EUR,reference,0.593
2023-01-04,NZD,GBP,reference,0.5223
2023-01-04,NZD,HKD,reference,4.89305
2023-01-04,NZD,IDR,reference,9766.37525
2023-01-04,NZD,INR,reference,51.90005
2023-01-04,NZD,JPY,reference,82.03505
2023-01-04,NZD,KRW,reference,798.717
2023-01-04,NZD,MYR,reference,2.7588
2023-01-04,NZD,PHP,reference,35.0738
2023-01-04,NZD,SGD,reference,0.84145
2023-01-04,NZD,THB,reference,21.5302
2023-01-04,NZD,TWD,reference,19.21905
2023-01-04,NZD,USD,reference,0.62615
2023-01-04,NZD,VND,reference,14720.789
2023-01-05,NZD,AUD,reference,0.9221
2023-01-05,NZD,CAD,reference,0.84995
2023-01-05,NZD,CNY,reference,4.33785
2023-01-05,NZD,EUR,reference,0.5929
2023-01-05,NZD,GBP,reference,0.52185
2023-01-05,NZD,HKD,reference,4.9263
2023-01-05,NZD,IDR,reference,9823.243
2023-01-05,NZD,INR,reference,52.1869
2023-01-05,NZD,JPY,reference,83.1045
2023-01-05,NZD,KRW,reference,799.75535
2023-01-05,NZD,MYR,reference,2.77575
2023-01-05,NZD,PHP,reference,35.2219
2023-01-05,NZD,SGD,reference,0.84425
2023-01-05,NZD,THB,reference,21.2976
2023-01-05,NZD,TWD,reference,19.3572
2023-01-05,NZD,USD,reference,0.6302
2023-01-05,NZD,VND,reference,14830.4968
2023-01-06,NZD,AUD,reference,0.9221
2023-01-06,NZD,CAD,reference,0.84615
2023-01-06,NZD,CNY,reference,4.29195
2023-01-06,NZD,EUR,reference,0.5929
2023-01-06,NZD,GBP,reference,0.52365
2023-01-06,NZD,HKD,reference,4.87915
2023-01-06,NZD,IDR,reference,9745.32375
2023-01-06,NZD,INR,reference,51.5481
2023-01-06,NZD,JPY,reference,83.373
2023-01-06,NZD,KRW,reference,792.67585
2023-01-06,NZD,MYR,reference,2.7455
2023-01-06,NZD,PHP,reference,34.88835
2023-01-06,NZD,SGD,reference,0.8393
2023-01-06,NZD,THB,reference,21.239
2023-01-06,NZD,TWD,reference,19.18035
2023-01-06,NZD,USD,reference,0.6244
2023-01-06,NZD,VND,reference,14663.4111
2023-01-09,NZD,AUD,reference,0.9217
2023-01-09,NZD,CAD,reference,0.8541
2023-01-09,NZD,CNY,reference,4.3619
2023-01-09,NZD,EUR,reference,0.59645
2023-01-09,NZD,GBP,reference,0.52515
2023-01-09,NZD,HKD,reference,4.9645
2023-01-09,NZD,IDR,reference,9940.70725
2023-01-09,NZD,INR,reference,52.60525
2023-01-09,NZD,JPY,reference,83.83705
2023-01-09,NZD,KRW,reference,794.6843
2023-01-09,NZD,MYR,reference,2.78715
2023-01-09,NZD,PHP,reference,35.143
