date,base,quote,type,value
2026-01-02,AFN,ZWG,buy,2.4827
2026-01-02,AFN,ZWG,middle,2.5504
2026-01-02,AFN,ZWG,sell,2.618
2026-01-02,ARS,ZWG,buy,54.6086
2026-01-02,ARS,ZWG,middle,56.0287
2026-01-02,ARS,ZWG,sell,57.4487
2026-01-02,AUD,ZWG,buy,16.9239
2026-01-02,AUD,ZWG,middle,17.3632
2026-01-02,AUD,ZWG,sell,17.8025
2026-01-02,BRL,ZWG,buy,0.2061
2026-01-02,BRL,ZWG,middle,0.2114
2026-01-02,BRL,ZWG,sell,0.2167
2026-01-02,BWP,ZWG,buy,1.7843
2026-01-02,BWP,ZWG,middle,1.8567
2026-01-02,BWP,ZWG,sell,1.929
2026-01-02,CHF,ZWG,buy,20.0125
2026-01-02,CHF,ZWG,middle,20.5323
2026-01-02,CHF,ZWG,sell,21.0521
2026-01-02,CNY,ZWG,buy,0.2631
2026-01-02,CNY,ZWG,middle,0.2699
2026-01-02,CNY,ZWG,sell,0.2767
2026-01-02,DKK,ZWG,buy,0.239
2026-01-02,DKK,ZWG,middle,0.2452
2026-01-02,DKK,ZWG,sell,0.2513
2026-01-02,EGP,ZWG,buy,1.7933
2026-01-02,EGP,ZWG,middle,1.8413
2026-01-02,EGP,ZWG,sell,1.8892
2026-01-02,ETB,ZWG,buy,5.8292
2026-01-02,ETB,ZWG,middle,5.9985
2026-01-02,ETB,ZWG,sell,6.1677
2026-01-02,EUR,ZWG,buy,29.7129
2026-01-02,EUR,ZWG,middle,30.4775
2026-01-02,EUR,ZWG,sell,31.242
2026-01-02,GBP,ZWG,buy,34.0576
2026-01-02,GBP,ZWG,middle,34.9416
2026-01-02,GBP,ZWG,sell,35.8255
2026-01-02,HKD,ZWG,buy,0.2916
2026-01-02,HKD,ZWG,middle,0.2999
2026-01-02,HKD,ZWG,sell,0.3082
2026-01-02,INR,ZWG,buy,3.3865
2026-01-02,INR,ZWG,middle,3.4735
2026-01-02,INR,ZWG,sell,3.5605
2026-01-02,JPY,ZWG,buy,5.9015
2026-01-02,JPY,ZWG,middle,6.0539
2026-01-02,JPY,ZWG,sell,6.2062
2026-01-02,KES,ZWG,buy,4.8474
2026-01-02,KES,ZWG,middle,4.9757
2026-01-02,KES,ZWG,sell,5.1039
2026-01-02,LSL,ZWG,buy,0.6221
2026-01-02,LSL,ZWG,middle,0.6382
2026-01-02,LSL,ZWG,sell,0.6542
2026-01-02,MUR,ZWG,buy,1.7349
2026-01-02,MUR,ZWG,middle,1.7854
2026-01-02,MUR,ZWG,sell,1.8358
2026-01-02,MWK,ZWG,buy,64.6203
2026-01-02,MWK,ZWG,middle,66.9361
2026-01-02,MWK,ZWG,sell,69.2518
2026-01-02,MYR,ZWG,buy,0.1526
2026-01-02,MYR,ZWG,middle,0.1566
2026-01-02,MYR,ZWG,sell,0.1606
2026-01-02,MZN,ZWG,buy,2.3811
2026-01-02,MZN,ZWG,middle,2.4673
2026-01-02,MZN,ZWG,sell,2.5535
2026-01-02,NOK,ZWG,buy,0.3784
2026-01-02,NOK,ZWG,middle,0.3882
2026-01-02,NOK,ZWG,sell,0.398
2026-01-02,NZD,ZWG,buy,14.5556
2026-01-02,NZD,ZWG,middle,14.9342
2026-01-02,NZD,ZWG,sell,15.3128
2026-01-02,RUB,ZWG,buy,2.9635
2026-01-02,RUB,ZWG,middle,3.0397
2026-01-02,RUB,ZWG,sell,3.1159
2026-01-02,SEK,ZWG,buy,0.3461
2026-01-02,SEK,ZWG,middle,0.3551
2026-01-02,SEK,ZWG,sell,0.364
2026-01-02,SZL,ZWG,buy,0.6213
2026-01-02,SZL,ZWG,middle,0.638
2026-01-02,SZL,ZWG,sell,0.6546
2026-01-02,THB,ZWG,buy,1.1824
2026-01-02,THB,ZWG,middle,1.2134
2026-01-02,THB,ZWG,sell,1.2443
2026-01-02,TZS,ZWG,buy,91.8297
2026-01-02,TZS,ZWG,middle,95.5692
2026-01-02,TZS,ZWG,sell,99.3087
2026-01-02,USD,ZWG,buy,25.2747
2026-01-02,USD,ZWG,middle,25.9228
2026-01-02,USD,ZWG,sell,26.5709
2026-01-02,XAF,ZWG,buy,20.9846
2026-01-02,XAF,ZWG,middle,21.5484
2026-01-02,XAF,ZWG,sell,22.1122
2026-01-02,XAU,ZWG,buy,110659.9662
2026-01-02,XAU,ZWG,middle,113521.5826
2026-01-02,XAU,ZWG,sell,116383.199
2026-01-02,XDR,ZWG,buy,35.5012
2026-01-02,XDR,ZWG,middle,35.5012
2026-01-02,XDR,ZWG,sell,35.5012
2026-01-02,ZAR,ZWG,buy,0.6222
2026-01-02,ZAR,ZWG,middle,0.6382
2026-01-02,ZAR,ZWG,sell,0.6542
2026-01-02,ZMW,ZWG,buy,0.8317
2026-01-02,ZMW,ZWG,middle,0.854
2026-01-02,ZMW,ZWG,sell,0.8763
2026-01-05,AFN,ZWG,buy,2.4899
2026-01-05,AFN,ZWG,middle,2.5577
2026-01-05,AFN,ZWG,sell,2.6255
2026-01-05,ARS,ZWG,buy,55.6952
2026-01-05,ARS,ZWG,middle,57.1332
2026-01-05,ARS,ZWG,sell,58.5712
2026-01-05,AUD,ZWG,buy,16.7995
2026-01-05,AUD,ZWG,middle,17.2329
2026-01-05,AUD,ZWG,sell,17.6663
2026-01-05,BRL,ZWG,buy,0.2048
2026-01-05,BRL,ZWG,middle,0.2101
2026-01-05,BRL,ZWG,sell,0.2153
2026-01-05,BWP,ZWG,buy,1.7779
2026-01-05,BWP,ZWG,middle,1.85
2026-01-05,BWP,ZWG,sell,1.922
2026-01-05,CHF,ZWG,buy,19.9952
2026-01-05,CHF,ZWG,middle,20.5132
2026-01-05,CHF,ZWG,sell,21.0312
2026-01-05,CNY,ZWG,buy,0.2637
2026-01-05,CNY,ZWG,middle,0.2705
2026-01-05,CNY,ZWG,sell,0.2772
2026-01-05,DKK,ZWG,buy,0.2414
2026-01-05,DKK,ZWG,middle,0.2477
2026-01-05,DKK,ZWG,sell,0.2539
2026-01-05,EGP,ZWG,buy,1.7945
2026-01-05,EGP,ZWG,middle,1.8425
2026-01-05,EGP,ZWG,sell,1.8905
2026-01-05,ETB,ZWG,buy,5.8588
2026-01-05,ETB,ZWG,middle,6.0289
2026-01-05,ETB,ZWG,sell,6.1989
2026-01-05,EUR,ZWG,buy,29.4187
2026-01-05,EUR,ZWG,middle,30.1744
2026-01-05,EUR,ZWG,sell,30.93
2026-01-05,GBP,ZWG,buy,33.8081
2026-01-05,GBP,ZWG,middle,34.6803
2026-01-05,GBP,ZWG,sell,35.5524
2026-01-05,HKD,ZWG,buy,0.2927
2026-01-05,HKD,ZWG,middle,0.301
2026-01-05,HKD,ZWG,sell,0.3093
2026-01-05,INR,ZWG,buy,3.4086
2026-01-05,INR,ZWG,middle,3.4962
2026-01-05,INR,ZWG,sell,3.5838
2026-01-05,JPY,ZWG,buy,5.9374
2026-01-05,JPY,ZWG,middle,6.0906
2026-01-05,JPY,ZWG,sell,6.2438
2026-01-05,KES,ZWG,buy,4.865
2026-01-05,KES,ZWG,middle,4.9938
2026-01-05,KES,ZWG,sell,5.1225
2026-01-05,LSL,ZWG,buy,0.6234
2026-01-05,LSL,ZWG,middle,0.6401
2026-01-05,LSL,ZWG,sell,0.6568
2026-01-05,MUR,ZWG,buy,1.7503
2026-01-05,MUR,ZWG,middle,1.8012
2026-01-05,MUR,ZWG,sell,1.852
2026-01-05,MWK,ZWG,buy,64.8558
2026-01-05,MWK,ZWG,middle,67.1799
2026-01-05,MWK,ZWG,sell,69.504
2026-01-05,MYR,ZWG,buy,0.1538
2026-01-05,MYR,ZWG,middle,0.1579
2026-01-05,MYR,ZWG,sell,0.1619
2026-01-05,MZN,ZWG,buy,2.3898
2026-01-05,MZN,ZWG,middle,2.4763
2026-01-05,MZN,ZWG,sell,2.5628
2026-01-05,NOK,ZWG,buy,0.3812
2026-01-05,NOK,ZWG,middle,0.3911
2026-01-05,NOK,ZWG,sell,0.4009
2026-01-05,NZD,ZWG,buy,14.4776
2026-01-05,NZD,ZWG,middle,14.8502
2026-01-05,NZD,ZWG,sell,15.2227
2026-01-05,RUB,ZWG,buy,3.0331
2026-01-05,RUB,ZWG,middle,3.1113
2026-01-05,RUB,ZWG,sell,3.1894
2026-01-05,SEK,ZWG,buy,0.3494
2026-01-05,SEK,ZWG,middle,0.3584
2026-01-05,SEK,ZWG,sell,0.3674
2026-01-05,SZL,ZWG,buy,0.6244
2026-01-05,SZL,ZWG,middle,0.6405
2026-01-05,SZL,ZWG,sell,0.6565
2026-01-05,THB,ZWG,buy,1.1841
2026-01-05,THB,ZWG,middle,1.2149
2026-01-05,THB,ZWG,sell,1.2456
2026-01-05,TZS,ZWG,buy,92.1644
2026-01-05,TZS,ZWG,middle,95.5203
2026-01-05,TZS,ZWG,sell,98.8762
2026-01-05,USD,ZWG,buy,25.183
2026-01-05,USD,ZWG,middle,25.8287
2026-01-05,USD,ZWG,sell,26.4744
2026-01-05,XAF,ZWG,buy,21.1623
2026-01-05,XAF,ZWG,middle,21.7105
2026-01-05,XAF,ZWG,sell,22.2586
2026-01-05,XAU,ZWG,buy,111015.4009
2026-01-05,XAU,ZWG,middle,113870.6862
2026-01-05,XAU,ZWG,sell,116725.9715
2026-01-05,XDR,ZWG,buy,35.345
2026-01-05,XDR,ZWG,middle,35.345
2026-01-05,XDR,ZWG,sell,35.345
2026-01-05,ZAR,ZWG,buy,0.6243
2026-01-05,ZAR,ZWG,middle,0.6405
2026-01-05,ZAR,ZWG,sell,0.6566
2026-01-05,ZMW,ZWG,buy,0.8309
2026-01-05,ZMW,ZWG,middle,0.8532
2026-01-05,ZMW,ZWG,sell,0.8755
2026-01-06,AFN,ZWG,buy,2.4915
2026-01-06,AFN,ZWG,middle,2.5594
2026-01-06,AFN,ZWG,sell,2.6272
2026-01-06,ARS,ZWG,buy,55.4073
2026-01-06,ARS,ZWG,middle,56.8379
2026-01-06,ARS,ZWG,sell,58.2685
2026-01-06,AUD,ZWG,buy,16.9759
2026-01-06,AUD,ZWG,middle,17.4125
2026-01-06,AUD,ZWG,sell,17.8491
2026-01-06,BRL,ZWG,buy,0.2038
2026-01-06,BRL,ZWG,middle,0.2091
2026-01-06,BRL,ZWG,sell,0.2143
2026-01-06,BWP,ZWG,buy,1.7861
2026-01-06,BWP,ZWG,middle,1.8531
2026-01-06,BWP,ZWG,sell,1.9201
2026-01-06,CHF,ZWG,buy,31.8898
2026-01-06,CHF,ZWG,middle,32.7139
2026-01-06,CHF,ZWG,sell,33.5379
2026-01-06,CNY,ZWG,buy,0.2632
2026-01-06,CNY,ZWG,middle,0.27
2026-01-06,CNY,ZWG,sell,0.2767
2026-01-06,DKK,ZWG,buy,0.2399
2026-01-06,DKK,ZWG,middle,0.2461
2026-01-06,DKK,ZWG,sell,0.2523
2026-01-06,EGP,ZWG,buy,1.7826
2026-01-06,EGP,ZWG,middle,1.8303
2026-01-06,EGP,ZWG,sell,1.878
2026-01-06,ETB,ZWG,buy,5.8385
2026-01-06,ETB,ZWG,middle,6.008
2026-01-06,ETB,ZWG,sell,6.1775
2026-01-06,EUR,ZWG,buy,29.605
2026-01-06,EUR,ZWG,middle,30.3668
2026-01-06,EUR,ZWG,sell,31.1286
2026-01-06,GBP,ZWG,buy,34.1915
2026-01-06,GBP,ZWG,middle,35.0749
2026-01-06,GBP,ZWG,sell,35.9582
2026-01-06,HKD,ZWG,buy,0.2921
2026-01-06,HKD,ZWG,middle,0.3004
2026-01-06,HKD,ZWG,sell,0.3086
2026-01-06,INR,ZWG,buy,3.3984
2026-01-06,INR,ZWG,middle,3.4858
2026-01-06,INR,ZWG,sell,3.5731
2026-01-06,JPY,ZWG,buy,5.894
2026-01-06,JPY,ZWG,middle,6.0461
2026-01-06,JPY,ZWG,sell,6.1982
2026-01-06,KES,ZWG,buy,4.8582
2026-01-06,KES,ZWG,middle,4.9868
2026-01-06,KES,ZWG,sell,5.1153
2026-01-06,LSL,ZWG,buy,0.6154
2026-01-06,LSL,ZWG,middle,0.6313
2026-01-06,LSL,ZWG,sell,0.6471
2026-01-06,MUR,ZWG,buy,1.74
2026-01-06,MUR,ZWG,middle,1.7906
2026-01-06,MUR,ZWG,sell,1.8412
2026-01-06,MWK,ZWG,buy,64.74
2026-01-06,MWK,ZWG,middle,67.06
2026-01-06,MWK,ZWG,sell,69.3799
2026-01-06,MYR,ZWG,buy,0.1527
2026-01-06,MYR,ZWG,middle,0.1568
2026-01-06,MYR,ZWG,sell,0.1608
2026-01-06,MZN,ZWG,buy,2.3855
2026-01-06,MZN,ZWG,middle,2.4719
2026-01-06,MZN,ZWG,sell,2.5582
2026-01-06,NOK,ZWG,buy,0.3775
2026-01-06,NOK,ZWG,middle,0.3873
2026-01-06,NOK,ZWG,sell,0.397
2026-01-06,NZD,ZWG,buy,14.6373
2026-01-06,NZD,ZWG,middle,15.0153
2026-01-06,NZD,ZWG,sell,15.3932
2026-01-06,RUB,ZWG,buy,3.0484
2026-01-06,RUB,ZWG,middle,3.127
2026-01-06,RUB,ZWG,sell,3.2055
2026-01-06,SEK,ZWG,buy,0.3452
2026-01-06,SEK,ZWG,middle,0.3542
2026-01-06,SEK,ZWG,sell,0.3631
2026-01-06,SZL,ZWG,buy,0.6154
2026-01-06,SZL,ZWG,middle,0.6313
2026-01-06,SZL,ZWG,sell,0.6471
2026-01-06,THB,ZWG,buy,1.1752
2026-01-06,THB,ZWG,middle,1.2062
2026-01-06,THB,ZWG,sell,1.2371
2026-01-06,TZS,ZWG,buy,92.3769
2026-01-06,TZS,ZWG,middle,95.7365
2026-01-06,TZS,ZWG,sell,99.0961
2026-01-06,USD,ZWG,buy,25.228
2026-01-06,USD,ZWG,middle,25.8749
2026-01-06,USD,ZWG,sell,26.5218
2026-01-06,XAF,ZWG,buy,21.0724
2026-01-06,XAF,ZWG,middle,22.1415
2026-01-06,XAF,ZWG,sell,23.2106
2026-01-06,XAU,ZWG,buy,112720.5928
2026-01-06,XAU,ZWG,middle,115617.6275
2026-01-06,XAU,ZWG,sell,118514.6621
2026-01-06,XDR,ZWG,buy,35.372
2026-01-06,XDR,ZWG,middle,35.372
2026-01-06,XDR,ZWG,sell,35.372
2026-01-06,ZAR,ZWG,buy,0.6154
2026-01-06,ZAR,ZWG,middle,0.6313
2026-01-06,ZAR,ZWG,sell,0.6472
2026-01-06,ZMW,ZWG,buy,0.7918
2026-01-06,ZMW,ZWG,middle,0.8131
2026-01-06,ZMW,ZWG,sell,0.8343
2026-01-07,AFN,ZWG,buy,2.5061
2026-01-07,AFN,ZWG,middle,2.5744
2026-01-07,AFN,ZWG,sell,2.6426
2026-01-07,ARS,ZWG,buy,55.6126
2026-01-07,ARS,ZWG,middle,57.0486
2026-01-07,ARS,ZWG,sell,58.4845
2026-01-07,AUD,ZWG,buy,16.9497
2026-01-07,AUD,ZWG,middle,17.387
2026-01-07,AUD,ZWG,sell,17.8242
2026-01-07,BRL,ZWG,buy,0.2036
2026-01-07,BRL,ZWG,middle,0.2089
2026-01-07,BRL,ZWG,sell,0.2141
2026-01-07,BWP,ZWG,buy,1.789
2026-01-07,BWP,ZWG,middle,1.8507
2026-01-07,BWP,ZWG,sell,1.9124
2026-01-07,CHF,ZWG,buy,31.5544
2026-01-07,CHF,ZWG,middle,32.3698
2026-01-07,CHF,ZWG,sell,33.1851
2026-01-07,CNY,ZWG,buy,0.2648
2026-01-07,CNY,ZWG,middle,0.2717
2026-01-07,CNY,ZWG,sell,0.2785
2026-01-07,DKK,ZWG,buy,0.2422
2026-01-07,DKK,ZWG,middle,0.2484
2026-01-07,DKK,ZWG,sell,0.2546
2026-01-07,EGP,ZWG,buy,1.7893
2026-01-07,EGP,ZWG,middle,1.8372
2026-01-07,EGP,ZWG,sell,1.885
2026-01-07,ETB,ZWG,buy,5.8857
2026-01-07,ETB,ZWG,middle,6.0566
2026-01-07,ETB,ZWG,sell,6.2274
2026-01-07,EUR,ZWG,buy,29.3376
2026-01-07,EUR,ZWG,middle,30.0912
2026-01-07,EUR,ZWG,sell,30.8448
2026-01-07,GBP,ZWG,buy,33.8818
2026-01-07,GBP,ZWG,middle,34.7572
