date,base,quote,type,value
2023-01-02,AUD,SEK,middle,7.1222
2023-01-02,BRL,SEK,middle,1.9786
2023-01-02,CAD,SEK,middle,7.7214
2023-01-02,CHF,SEK,middle,11.31008
2023-01-02,CNY,SEK,middle,1.5162
2023-01-02,CZK,SEK,middle,0.46233
2023-01-02,DKK,SEK,middle,1.50197
2023-01-02,EUR,SEK,middle,11.1703
2023-01-02,GBP,SEK,middle,12.6229
2023-01-02,HKD,SEK,middle,1.3404
2023-01-02,HUF,SEK,middle,0.0279
2023-01-02,IDR,SEK,middle,0.00068
2023-01-02,INR,SEK,middle,0.12654
2023-01-02,ISK,SEK,middle,0.07372
2023-01-02,JPY,SEK,middle,0.07986
2023-01-02,KRW,SEK,middle,0.00821
2023-01-02,MAD,SEK,middle,1.0015
2023-01-02,MXN,SEK,middle,0.5364
2023-01-02,NOK,SEK,middle,1.06216
2023-01-02,NZD,SEK,middle,6.6185
2023-01-02,PLN,SEK,middle,2.388
2023-01-02,SAR,SEK,middle,2.7823
2023-01-02,SGD,SEK,middle,7.79
2023-01-02,THB,SEK,middle,0.3026
2023-01-02,TRY,SEK,middle,0.5582
2023-01-02,USD,SEK,middle,10.4588
2023-01-02,ZAR,SEK,middle,0.6156
2023-01-03,AUD,SEK,middle,7.0888
2023-01-03,BRL,SEK,middle,1.964
2023-01-03,CAD,SEK,middle,7.7516
2023-01-03,CHF,SEK,middle,11.27723
2023-01-03,CNY,SEK,middle,1.5262
2023-01-03,CZK,SEK,middle,0.46145
2023-01-03,DKK,SEK,middle,1.49773
2023-01-03,EUR,SEK,middle,11.1388
2023-01-03,GBP,SEK,middle,12.5939
2023-01-03,HKD,SEK,middle,1.3485
2023-01-03,HUF,SEK,middle,0.02758
2023-01-03,IDR,SEK,middle,0.00069
2023-01-03,INR,SEK,middle,0.12714
2023-01-03,ISK,SEK,middle,0.07341
2023-01-03,JPY,SEK,middle,0.08057
2023-01-03,KRW,SEK,middle,0.00825
2023-01-03,MAD,SEK,middle,1.0039
2023-01-03,MXN,SEK,middle,0.542
2023-01-03,NOK,SEK,middle,1.06276
2023-01-03,NZD,SEK,middle,6.5718
2023-01-03,PLN,SEK,middle,2.3808
2023-01-03,SAR,SEK,middle,2.8035
2023-01-03,SGD,SEK,middle,7.8438
2023-01-03,THB,SEK,middle,0.3059
2023-01-03,TRY,SEK,middle,0.5621
2023-01-03,USD,SEK,middle,10.5391
2023-01-03,ZAR,SEK,middle,0.6184
2023-01-04,AUD,SEK,middle,7.2059
2023-01-04,BRL,SEK,middle,1.9144
2023-01-04,CAD,SEK,middle,7.7223
2023-01-04,CHF,SEK,middle,11.32757
2023-01-04,CNY,SEK,middle,1.5247
2023-01-04,CZK,SEK,middle,0.46327
2023-01-04,DKK,SEK,middle,1.49876
2023-01-04,EUR,SEK,middle,11.1455
2023-01-04,GBP,SEK,middle,12.6662
2023-01-04,HKD,SEK,middle,1.3419
2023-01-04,HUF,SEK,middle,0.02795
2023-01-04,IDR,SEK,middle,0.00069
2023-01-04,INR,SEK,middle,0.12676
2023-01-04,ISK,SEK,middle,0.07345
2023-01-04,JPY,SEK,middle,0.08066
2023-01-04,KRW,SEK,middle,0.00826
2023-01-04,MAD,SEK,middle,1.0041
2023-01-04,MXN,SEK,middle,0.5424
2023-01-04,NOK,SEK,middle,1.05052
2023-01-04,NZD,SEK,middle,6.6507
2023-01-04,PLN,SEK,middle,2.384
2023-01-04,SAR,SEK,middle,2.79
2023-01-04,SGD,SEK,middle,7.841
2023-01-04,THB,SEK,middle,0.3087
2023-01-04,TRY,SEK,middle,0.5582
2023-01-04,USD,SEK,middle,10.4901
2023-01-04,ZAR,SEK,middle,0.6235
2023-01-05,AUD,SEK,middle,7.1602
2023-01-05,BRL,SEK,middle,1.9347
2023-01-05,CAD,SEK,middle,7.7755
2023-01-05,CHF,SEK,middle,11.3288
2023-01-05,CNY,SEK,middle,1.5287
2023-01-05,CZK,SEK,middle,0.46488
2023-01-05,DKK,SEK,middle,1.50072
2023-01-05,EUR,SEK,middle,11.1608
2023-01-05,GBP,SEK,middle,12.6264
2023-01-05,HKD,SEK,middle,1.345
2023-01-05,HUF,SEK,middle,0.0282
2023-01-05,IDR,SEK,middle,0.00069
2023-01-05,INR,SEK,middle,0.12711
2023-01-05,ISK,SEK,middle,0.07357
2023-01-05,JPY,SEK,middle,0.07916
2023-01-05,KRW,SEK,middle,0.00827
2023-01-05,MAD,SEK,middle,1.0112
2023-01-05,MXN,SEK,middle,0.542
2023-01-05,NOK,SEK,middle,1.04107
2023-01-05,NZD,SEK,middle,6.6052
2023-01-05,PLN,SEK,middle,2.3903
2023-01-05,SAR,SEK,middle,2.7955
2023-01-05,SGD,SEK,middle,7.8375
2023-01-05,THB,SEK,middle,0.3096
2023-01-05,TRY,SEK,middle,0.5594
2023-01-05,USD,SEK,middle,10.509
2023-01-05,ZAR,SEK,middle,0.6187
2023-01-09,AUD,SEK,middle,7.2653
2023-01-09,BRL,SEK,middle,2.0045
2023-01-09,CAD,SEK,middle,7.8218
2023-01-09,CHF,SEK,middle,11.36126
2023-01-09,CNY,SEK,middle,1.5468
2023-01-09,CZK,SEK,middle,0.46691
2023-01-09,DKK,SEK,middle,1.5061
2023-01-09,EUR,SEK,middle,11.2014
2023-01-09,GBP,SEK,middle,12.731
2023-01-09,HKD,SEK,middle,1.342
