date,base,quote,type,value
2026-09-07,AUD,BTN,buy,67.88
2026-09-07,AUD,BTN,sell,68.33
2026-09-07,CAD,BTN,buy,68.28
2026-09-07,CAD,BTN,sell,68.77
2026-09-07,CHF,BTN,buy,116.4
2026-09-07,CHF,BTN,sell,117.26
2026-09-07,DKK,BTN,buy,14.65
2026-09-07,DKK,BTN,sell,14.75
2026-09-07,EUR,BTN,buy,109.51
2026-09-07,EUR,BTN,sell,110.25
2026-09-07,GBP,BTN,buy,127.48
2026-09-07,GBP,BTN,sell,128.33
2026-09-07,HKD,BTN,buy,12.02
2026-09-07,HKD,BTN,sell,12.11
2026-09-07,JPY,BTN,buy,0.6023
2026-09-07,JPY,BTN,sell,0.6065999999999999
2026-09-07,NOK,BTN,buy,10.12
2026-09-07,NOK,BTN,sell,10.21
2026-09-07,SEK,BTN,buy,9.86
2026-09-07,SEK,BTN,sell,9.93
2026-09-07,SGD,BTN,buy,74.35
2026-09-07,SGD,BTN,sell,74.88
2026-09-07,USD,BTN,buy,94.26
2026-09-07,USD,BTN,sell,94.91
2026-09-08,AUD,BTN,buy,68.05
2026-09-08,AUD,BTN,sell,68.48
2026-09-08,CAD,BTN,buy,68.17
2026-09-08,CAD,BTN,sell,68.67
2026-09-08,CHF,BTN,buy,116.47
2026-09-08,CHF,BTN,sell,117.35
2026-09-08,DKK,BTN,buy,14.65
2026-09-08,DKK,BTN,sell,14.76
2026-09-08,EUR,BTN,buy,109.54
2026-09-08,EUR,BTN,sell,110.29
2026-09-08,GBP,BTN,buy,127.61
2026-09-08,GBP,BTN,sell,128.46
2026-09-08,HKD,BTN,buy,12.02
2026-09-08,HKD,BTN,sell,12.11
2026-09-08,JPY,BTN,buy,0.61
2026-09-08,JPY,BTN,sell,0.6144
2026-09-08,NOK,BTN,buy,10.15
2026-09-08,NOK,BTN,sell,10.24
2026-09-08,SEK,BTN,buy,9.82
2026-09-08,SEK,BTN,sell,9.89
2026-09-08,SGD,BTN,buy,74.46
2026-09-08,SGD,BTN,sell,74.98
2026-09-08,USD,BTN,buy,94.26
2026-09-08,USD,BTN,sell,94.91
