date,base,quote,type,value
2010-01-31,AUD,SAR,close,3.34087313415725
2010-01-31,AUD,SAR,monthly_average,3.43055893584644
2010-01-31,BRL,SAR,close,2.02134330325248
2010-01-31,BRL,SAR,monthly_average,2.11720201164261
2010-01-31,CHF,SAR,close,3.57211064054082
2010-01-31,CHF,SAR,monthly_average,3.62515555203873
2010-01-31,CNY,SAR,close,0.54928796946421
2010-01-31,CNY,SAR,monthly_average,0.549262946593669
2010-01-31,EUR,SAR,close,5.23724884080371
2010-01-31,EUR,SAR,monthly_average,5.35203497939983
2010-01-31,GBP,SAR,close,6.0517347720717
2010-01-31,GBP,SAR,monthly_average,6.06459177776752
2010-01-31,INR,SAR,close,0.0808712339335543
2010-01-31,INR,SAR,monthly_average,0.0816560069752649
2010-01-31,JPY,SAR,close,0.0417362722351121
2010-01-31,JPY,SAR,monthly_average,0.0411425022277761
2010-01-31,KRW,SAR,close,0.00324254765163401
2010-01-31,KRW,SAR,monthly_average,0.0032910013510227
2010-01-31,THB,SAR,close,0.113378685689497
2010-01-31,THB,SAR,monthly_average,0.113481023058142
2010-01-31,USD,SAR,close,3.75
2010-01-31,USD,SAR,monthly_average,3.75
2010-02-28,AUD,SAR,close,3.33712112414354
2010-02-28,AUD,SAR,monthly_average,3.32204392499868
2010-02-28,BRL,SAR,close,2.04292960710363
2010-02-28,BRL,SAR,monthly_average,2.03226362873119
2010-02-28,CHF,SAR,close,3.48093031707096
2010-02-28,CHF,SAR,monthly_average,3.49855558662546
2010-02-28,CNY,SAR,close,0.549297511182475
2010-02-28,CNY,SAR,monthly_average,0.5492864350998
2010-02-28,EUR,SAR,close,5.08875587706638
2010-02-28,EUR,SAR,monthly_average,5.13285609213808
2010-02-28,GBP,SAR,close,5.70859986491319
2010-02-28,GBP,SAR,monthly_average,5.85591844027653
2010-02-28,INR,SAR,close,0.0811164540846931
2010-02-28,INR,SAR,monthly_average,0.0809359613010825
2010-02-28,JPY,SAR,close,0.042016844198475
2010-02-28,JPY,SAR,monthly_average,0.0415263263845366
2010-02-28,KRW,SAR,close,0.00323723343134273
2010-02-28,KRW,SAR,monthly_average,0.00324082359173859
2010-02-28,THB,SAR,close,0.113440262757413
2010-02-28,THB,SAR,monthly_average,0.113122337755247
2010-02-28,USD,SAR,close,3.75
2010-02-28,USD,SAR,monthly_average,3.75
2010-03-31,AUD,SAR,close,3.43462130123971
2010-03-31,AUD,SAR,monthly_average,3.42004939133971
2010-03-31,BRL,SAR,close,2.08983493189151
2010-03-31,BRL,SAR,monthly_average,2.09941594936878
2010-03-31,CHF,SAR,close,3.5370641882657
2010-03-31,CHF,SAR,monthly_average,3.5143407280904
2010-03-31,CNY,SAR,close,0.549343882670783
2010-03-31,CNY,SAR,monthly_average,0.549334966567237
2010-03-31,EUR,SAR,close,5.05464456617275
2010-03-31,EUR,SAR,monthly_average,5.08819813364189
2010-03-31,GBP,SAR,close,5.68124214181651
2010-03-31,GBP,SAR,monthly_average,5.642919324797
2010-03-31,INR,SAR,close,0.0830747006938213
2010-03-31,INR,SAR,monthly_average,0.082423778707362
2010-03-31,JPY,SAR,close,0.0402144431259535
2010-03-31,JPY,SAR,monthly_average,0.0414361520919102
2010-03-31,KRW,SAR,close,0.00331476079856077
2010-03-31,KRW,SAR,monthly_average,0.00330267690626701
2010-03-31,THB,SAR,close,0.115976924393165
2010-03-31,THB,SAR,monthly_average,0.115246391812325
2010-03-31,USD,SAR,close,3.75
2010-03-31,USD,SAR,monthly_average,3.75
2010-04-30,AUD,SAR,close,3.48749430720185
2010-04-30,AUD,SAR,monthly_average,3.4743543680942
2010-04-30,BRL,SAR,close,2.16788131281251
2010-04-30,BRL,SAR,monthly_average,2.13281630455749
2010-04-30,CHF,SAR,close,3.48027612806545
2010-04-30,CHF,SAR,monthly_average,3.50706418890343
2010-04-30,CNY,SAR,close,0.549348055800607
2010-04-30,CNY,SAR,monthly_average,0.54935752596397
2010-04-30,EUR,SAR,close,4.99311833641731
2010-04-30,EUR,SAR,monthly_average,5.02713820510623
2010-04-30,GBP,SAR,close,5.74800705581867
2010-04-30,GBP,SAR,monthly_average,5.74877205442923
2010-04-30,INR,SAR,close,0.0843832552543251
2010-04-30,INR,SAR,monthly_average,0.0842722672015637
2010-04-30,JPY,SAR,close,0.0398680840884786
2010-04-30,JPY,SAR,monthly_average,0.0401612128850537
2010-04-30,KRW,SAR,close,0.00336172396404948
2010-04-30,KRW,SAR,monthly_average,0.00335637569951644
2010-04-30,THB,SAR,close,0.116019892552373
2010-04-30,THB,SAR,monthly_average,0.11617100329798
2010-04-30,USD,SAR,close,3.75
2010-04-30,USD,SAR,monthly_average,3.75
2010-05-31,AUD,SAR,close,3.19650559082342
2010-05-31,AUD,SAR,monthly_average,3.27317113069788
2010-05-31,BRL,SAR,close,2.04694609714288
2010-05-31,BRL,SAR,monthly_average,2.08135738044158
2010-05-31,CHF,SAR,close,3.26314112022664
2010-05-31,CHF,SAR,monthly_average,3.32986624816882
2010-05-31,CNY,SAR,close,0.549216219974967
2010-05-31,CNY,SAR,monthly_average,0.549258105636907
2010-05-31,EUR,SAR,close,4.64400971012423
2010-05-31,EUR,SAR,monthly_average,4.71684043538302
2010-05-31,GBP,SAR,close,5.4675039556962
2010-05-31,GBP,SAR,monthly_average,5.4888909160803
2010-05-31,INR,SAR,close,0.0805759065397951
2010-05-31,INR,SAR,monthly_average,0.0819629925474656
2010-05-31,JPY,SAR,close,0.041073503409952
2010-05-31,JPY,SAR,monthly_average,0.0408721059376182
2010-05-31,KRW,SAR,close,0.00303842032083798
2010-05-31,KRW,SAR,monthly_average,0.00324014344196891
2010-05-31,THB,SAR,close,0.115447371773054
2010-05-31,THB,SAR,monthly_average,0.115848800690083
2010-05-31,USD,SAR,close,3.75
2010-05-31,USD,SAR,monthly_average,3.75
2010-06-30,AUD,SAR,close,3.19612374508697
2010-06-30,AUD,SAR,monthly_average,3.1984285593316
2010-06-30,BRL,SAR,close,2.07548829184864
2010-06-30,BRL,SAR,monthly_average,2.07490890919662
2010-06-30,CHF,SAR,close,3.46836733417554
2010-06-30,CHF,SAR,monthly_average,3.32547922820399
2010-06-30,CNY,SAR,close,0.55221049487205
2010-06-30,CNY,SAR,monthly_average,0.550139296887851
2010-06-30,EUR,SAR,close,4.60160139395951
2010-06-30,EUR,SAR,monthly_average,4.57818673758898
2010-06-30,GBP,SAR,close,5.63436016381334
2010-06-30,GBP,SAR,monthly_average,5.5334377520179
2010-06-30,INR,SAR,close,0.0804719037213095
2010-06-30,INR,SAR,monthly_average,0.0805388663539933
2010-06-30,JPY,SAR,close,0.0423250400671602
2010-06-30,JPY,SAR,monthly_average,0.041249932679629
2010-06-30,KRW,SAR,close,0.00309839600873787
2010-06-30,KRW,SAR,monthly_average,0.00309377825101892
2010-06-30,THB,SAR,close,0.115687006658545
2010-06-30,THB,SAR,monthly_average,0.11546962547483
2010-06-30,USD,SAR,close,3.75
2010-06-30,USD,SAR,monthly_average,3.75
2010-07-31,AUD,SAR,close,3.36975033582465
2010-07-31,AUD,SAR,monthly_average,3.28372203277946
2010-07-31,BRL,SAR,close,2.12645729862952
2010-07-31,BRL,SAR,monthly_average,2.11775422930971
2010-07-31,CHF,SAR,close,3.60784363417493
2010-07-31,CHF,SAR,monthly_average,3.56073707953838
2010-07-31,CNY,SAR,close,0.553508490556868
2010-07-31,CNY,SAR,monthly_average,0.553278601056035
2010-07-31,EUR,SAR,close,4.88549906484325
2010-07-31,EUR,SAR,monthly_average,4.79572164196897
2010-07-31,GBP,SAR,close,5.8410144157488
2010-07-31,GBP,SAR,monthly_average,5.73646348762399
2010-07-31,INR,SAR,close,0.0807147251177176
2010-07-31,INR,SAR,monthly_average,0.0800328886714829
2010-07-31,JPY,SAR,close,0.0433525184237773
2010-07-31,JPY,SAR,monthly_average,0.0427808481067142
2010-07-31,KRW,SAR,close,0.00315869934212716
2010-07-31,KRW,SAR,monthly_average,0.00310881517233172
2010-07-31,THB,SAR,close,0.116243426854362
2010-07-31,THB,SAR,monthly_average,0.116007424575831
2010-07-31,USD,SAR,close,3.75
2010-07-31,USD,SAR,monthly_average,3.75
2010-08-31,AUD,SAR,close,3.3442534781735
2010-08-31,AUD,SAR,monthly_average,3.37518102085552
2010-08-31,BRL,SAR,close,2.13273805934145
2010-08-31,BRL,SAR,monthly_average,2.13174812928083
2010-08-31,CHF,SAR,close,3.67214614835486
2010-08-31,CHF,SAR,monthly_average,3.60485898698335
2010-08-31,CNY,SAR,close,0.550621813086295
2010-08-31,CNY,SAR,monthly_average,0.552274911056436
2010-08-31,EUR,SAR,close,4.75500634459113
2010-08-31,EUR,SAR,monthly_average,4.83531553972864
2010-08-31,GBP,SAR,close,5.77649896841123
2010-08-31,GBP,SAR,monthly_average,5.87279723964556
2010-08-31,INR,SAR,close,0.079651714400741
2010-08-31,INR,SAR,monthly_average,0.0805336323750821
2010-08-31,JPY,SAR,close,0.0445102496735522
2010-08-31,JPY,SAR,monthly_average,0.0438754676568705
2010-08-31,KRW,SAR,close,0.00315363522363104
2010-08-31,KRW,SAR,monthly_average,0.00317820993363758
2010-08-31,THB,SAR,close,0.119815821403086
