date,base,quote,type,value
2021-01-04,EUR,ZAR,reference,17.872
2021-01-04,GBP,ZAR,reference,19.921
2021-01-04,USD,ZAR,reference,14.5626
2021-01-04,ZAR,AUD,reference,0.0889
2021-01-04,ZAR,BRL,reference,0.3567
2021-01-04,ZAR,BWP,reference,0.7392
2021-01-04,ZAR,CAD,reference,0.0872
2021-01-04,ZAR,CHF,reference,0.0605
2021-01-04,ZAR,CNY,reference,0.4438
2021-01-04,ZAR,DKK,reference,0.4163
2021-01-04,ZAR,HKD,reference,0.5323
2021-01-04,ZAR,ILS,reference,0.2204
2021-01-04,ZAR,INR,reference,5.013
2021-01-04,ZAR,JPY,reference,7.0612
2021-01-04,ZAR,KES,reference,7.4986
2021-01-04,ZAR,KRW,reference,74.3176
2021-01-04,ZAR,MWK,reference,53.0955
2021-01-04,ZAR,NOK,reference,0.5851
2021-01-04,ZAR,NZD,reference,0.0952
2021-01-04,ZAR,SEK,reference,0.5626
2021-01-04,ZAR,THB,reference,2.0501
2021-01-04,ZAR,TWD,reference,1.9282
2021-01-04,ZAR,ZMW,reference,1.4539
2021-01-05,EUR,ZAR,reference,18.0996
2021-01-05,GBP,ZAR,reference,20.0424
2021-01-05,USD,ZAR,reference,14.7517
2021-01-05,ZAR,AUD,reference,0.0879
2021-01-05,ZAR,BRL,reference,0.3591
2021-01-05,ZAR,BWP,reference,0.734
2021-01-05,ZAR,CAD,reference,0.0864
2021-01-05,ZAR,CHF,reference,0.0597
2021-01-05,ZAR,CNY,reference,0.4382
2021-01-05,ZAR,DKK,reference,0.4111
2021-01-05,ZAR,HKD,reference,0.5255
2021-01-05,ZAR,ILS,reference,0.2175
2021-01-05,ZAR,INR,reference,4.9606
2021-01-05,ZAR,JPY,reference,6.9744
2021-01-05,ZAR,KES,reference,7.4093
2021-01-05,ZAR,KRW,reference,73.8211
2021-01-05,ZAR,MWK,reference,52.2789
2021-01-05,ZAR,NOK,reference,0.5777
2021-01-05,ZAR,NZD,reference,0.0939
2021-01-05,ZAR,SEK,reference,0.5567
2021-01-05,ZAR,THB,reference,2.0303
2021-01-05,ZAR,TWD,reference,1.8984
2021-01-05,ZAR,ZMW,reference,1.4355
2021-01-06,EUR,ZAR,reference,18.4608
2021-01-06,GBP,ZAR,reference,20.4305
2021-01-06,USD,ZAR,reference,14.9784
2021-01-06,ZAR,AUD,reference,0.0857
2021-01-06,ZAR,BRL,reference,0.3529
2021-01-06,ZAR,BWP,reference,0.7273
2021-01-06,ZAR,CAD,reference,0.0846
2021-01-06,ZAR,CHF,reference,0.0586
2021-01-06,ZAR,CNY,reference,0.4313
2021-01-06,ZAR,DKK,reference,0.403
2021-01-06,ZAR,HKD,reference,0.5176
2021-01-06,ZAR,ILS,reference,0.2128
2021-01-06,ZAR,INR,reference,4.8833
2021-01-06,ZAR,JPY,reference,6.8642
2021-01-06,ZAR,KES,reference,7.3022
2021-01-06,ZAR,KRW,reference,72.5619
2021-01-06,ZAR,MWK,reference,51.4879
2021-01-06,ZAR,NOK,reference,0.5635
2021-01-06,ZAR,NZD,reference,0.0916
2021-01-06,ZAR,SEK,reference,0.545
2021-01-06,ZAR,THB,reference,1.9962
2021-01-06,ZAR,TWD,reference,1.8693
2021-01-06,ZAR,ZMW,reference,1.4142
2021-01-07,EUR,ZAR,reference,18.5439
2021-01-07,GBP,ZAR,reference,20.4939
2021-01-07,USD,ZAR,reference,15.069
2021-01-07,ZAR,AUD,reference,0.0853
2021-01-07,ZAR,BRL,reference,0.3527
2021-01-07,ZAR,BWP,reference,0.7261
2021-01-07,ZAR,CAD,reference,0.0841
2021-01-07,ZAR,CHF,reference,0.0584
2021-01-07,ZAR,CNY,reference,0.4285
2021-01-07,ZAR,DKK,reference,0.4012
2021-01-07,ZAR,HKD,reference,0.5145
2021-01-07,ZAR,ILS,reference,0.2108
2021-01-07,ZAR,INR,reference,4.8573
2021-01-07,ZAR,JPY,reference,6.8608
2021-01-07,ZAR,KES,reference,7.2699
2021-01-07,ZAR,KRW,reference,72.2154
2021-01-07,ZAR,MWK,reference,51.1782
2021-01-07,ZAR,NOK,reference,0.5584
2021-01-07,ZAR,NZD,reference,0.0912
2021-01-07,ZAR,SEK,reference,0.5434
2021-01-07,ZAR,THB,reference,1.9875
2021-01-07,ZAR,TWD,reference,1.8589
2021-01-07,ZAR,ZMW,reference,1.4062
2021-01-08,EUR,ZAR,reference,18.7897
2021-01-08,GBP,ZAR,reference,20.8541
2021-01-08,USD,ZAR,reference,15.3661
2021-01-08,ZAR,AUD,reference,0.0838
2021-01-08,ZAR,BRL,reference,0.3521
2021-01-08,ZAR,BWP,reference,0.7191
2021-01-08,ZAR,CAD,reference,0.0826
2021-01-08,ZAR,CHF,reference,0.0578
2021-01-08,ZAR,CNY,reference,0.4212
2021-01-08,ZAR,DKK,reference,0.3959
2021-01-08,ZAR,HKD,reference,0.5046
2021-01-08,ZAR,ILS,reference,0.2074
2021-01-08,ZAR,INR,reference,4.7779
2021-01-08,ZAR,JPY,reference,6.7646
2021-01-08,ZAR,KES,reference,7.1293
2021-01-08,ZAR,KRW,reference,71.0593
2021-01-08,ZAR,MWK,reference,50.1887
2021-01-08,ZAR,NOK,reference,0.55
2021-01-08,ZAR,NZD,reference,0.0898
2021-01-08,ZAR,SEK,reference,0.535
2021-01-08,ZAR,THB,reference,1.9582
2021-01-08,ZAR,TWD,reference,1.8221
2021-01-08,ZAR,ZMW,reference,1.3811
2021-01-11,EUR,ZAR,reference,18.8415
2021-01-11,GBP,ZAR,reference,20.8547
2021-01-11,USD,ZAR,reference,15.4559
2021-01-11,ZAR,AUD,reference,0.0839
2021-01-11,ZAR,BRL,reference,0.3506
2021-01-11,ZAR,BWP,reference,0.7173
2021-01-11,ZAR,CAD,reference,0.0826
2021-01-11,ZAR,CHF,reference,0.0574
2021-01-11,ZAR,CNY,reference,0.419
2021-01-11,ZAR,DKK,reference,0.3947
2021-01-11,ZAR,HKD,reference,0.5017
2021-01-11,ZAR,ILS,reference,0.2064
2021-01-11,ZAR,INR,reference,4.7495
2021-01-11,ZAR,JPY,reference,6.7382
2021-01-11,ZAR,KES,reference,7.0879
2021-01-11,ZAR,KRW,reference,70.9896
2021-01-11,ZAR,MWK,reference,49.897
2021-01-11,ZAR,NOK,reference,0.5499
2021-01-11,ZAR,NZD,reference,0.0899
2021-01-11,ZAR,SEK,reference,0.5348
2021-01-11,ZAR,THB,reference,1.9488
2021-01-11,ZAR,TWD,reference,1.8125
2021-01-11,ZAR,ZMW,reference,1.3729
2021-01-12,EUR,ZAR,reference,18.8273
2021-01-12,GBP,ZAR,reference,20.9719
2021-01-12,USD,ZAR,reference,15.4843
2021-01-12,ZAR,AUD,reference,0.0836
2021-01-12,ZAR,BRL,reference,0.3545
2021-01-12,ZAR,BWP,reference,0.7168
2021-01-12,ZAR,CAD,reference,0.0824
2021-01-12,ZAR,CHF,reference,0.0575
2021-01-12,ZAR,CNY,reference,0.4177
2021-01-12,ZAR,DKK,reference,0.395
2021-01-12,ZAR,HKD,reference,0.5008
2021-01-12,ZAR,ILS,reference,0.2046
2021-01-12,ZAR,INR,reference,4.737
2021-01-12,ZAR,JPY,reference,6.7304
2021-01-12,ZAR,KES,reference,7.0782
2021-01-12,ZAR,KRW,reference,70.9853
2021-01-12,ZAR,MWK,reference,49.88
2021-01-12,ZAR,NOK,reference,0.5494
2021-01-12,ZAR,NZD,reference,0.09
2021-01-12,ZAR,SEK,reference,0.535
2021-01-12,ZAR,THB,reference,1.9475
2021-01-12,ZAR,TWD,reference,1.8096
2021-01-12,ZAR,ZMW,reference,1.3714
2021-01-13,EUR,ZAR,reference,18.6141
2021-01-13,GBP,ZAR,reference,20.8804
2021-01-13,USD,ZAR,reference,15.2618
2021-01-13,ZAR,AUD,reference,0.0845
2021-01-13,ZAR,BRL,reference,0.3488
2021-01-13,ZAR,BWP,reference,0.7216
2021-01-13,ZAR,CAD,reference,0.0834
2021-01-13,ZAR,CHF,reference,0.0581
2021-01-13,ZAR,CNY,reference,0.4236
2021-01-13,ZAR,DKK,reference,0.3996
2021-01-13,ZAR,HKD,reference,0.508
2021-01-13,ZAR,ILS,reference,0.2055
2021-01-13,ZAR,INR,reference,4.7954
2021-01-13,ZAR,JPY,reference,6.797
2021-01-13,ZAR,KES,reference,7.1977
2021-01-13,ZAR,KRW,reference,71.8748
2021-01-13,ZAR,MWK,reference,50.5317
2021-01-13,ZAR,NOK,reference,0.5539
2021-01-13,ZAR,NZD,reference,0.0909
2021-01-13,ZAR,SEK,reference,0.541
2021-01-13,ZAR,THB,reference,1.9657
2021-01-13,ZAR,TWD,reference,1.8365
2021-01-13,ZAR,ZMW,reference,1.3927
2021-01-14,EUR,ZAR,reference,18.4483
2021-01-14,GBP,ZAR,reference,20.7474
2021-01-14,USD,ZAR,reference,15.1857
2021-01-14,ZAR,AUD,reference,0.0849
2021-01-14,ZAR,BRL,reference,0.349
2021-01-14,ZAR,BWP,reference,0.724
2021-01-14,ZAR,CAD,reference,0.0835
2021-01-14,ZAR,CHF,reference,0.0584
2021-01-14,ZAR,CNY,reference,0.4259
2021-01-14,ZAR,DKK,reference,0.4032
2021-01-14,ZAR,HKD,reference,0.5105
2021-01-14,ZAR,ILS,reference,0.2054
2021-01-14,ZAR,INR,reference,4.8097
2021-01-14,ZAR,JPY,reference,6.8496
2021-01-14,ZAR,KES,reference,7.2437
2021-01-14,ZAR,KRW,reference,72.3462
2021-01-14,ZAR,MWK,reference,50.7851
2021-01-14,ZAR,NOK,reference,0.5579
2021-01-14,ZAR,NZD,reference,0.0916
2021-01-14,ZAR,SEK,reference,0.5486
2021-01-14,ZAR,THB,reference,1.9775
2021-01-14,ZAR,TWD,reference,1.845
2021-01-14,ZAR,ZMW,reference,1.4033
2021-01-15,EUR,ZAR,reference,18.4009
2021-01-15,GBP,ZAR,reference,20.7175
2021-01-15,USD,ZAR,reference,15.181
2021-01-15,ZAR,AUD,reference,0.0852
2021-01-15,ZAR,BRL,reference,0.3423
2021-01-15,ZAR,BWP,reference,0.7255
2021-01-15,ZAR,CAD,reference,0.0836
2021-01-15,ZAR,CHF,reference,0.0585
2021-01-15,ZAR,CNY,reference,0.4266
2021-01-15,ZAR,DKK,reference,0.4043
2021-01-15,ZAR,HKD,reference,0.5107
2021-01-15,ZAR,ILS,reference,0.2128
2021-01-15,ZAR,INR,reference,4.8172
2021-01-15,ZAR,JPY,reference,6.8312
2021-01-15,ZAR,KES,reference,7.2492
2021-01-15,ZAR,KRW,reference,72.4495
2021-01-15,ZAR,MWK,reference,50.9565
2021-01-15,ZAR,NOK,reference,0.5604
2021-01-15,ZAR,NZD,reference,0.0918
2021-01-15,ZAR,SEK,reference,0.5496
2021-01-15,ZAR,THB,reference,1.9798
2021-01-15,ZAR,TWD,reference,1.8456
2021-01-15,ZAR,ZMW,reference,1.4037
2021-01-18,EUR,ZAR,reference,18.4281
2021-01-18,GBP,ZAR,reference,20.6706
2021-01-18,USD,ZAR,reference,15.2651
2021-01-18,ZAR,AUD,reference,0.0854
2021-01-18,ZAR,BRL,reference,0.3467
2021-01-18,ZAR,BWP,reference,0.7247
2021-01-18,ZAR,CAD,reference,0.0838
2021-01-18,ZAR,CHF,reference,0.0584
2021-01-18,ZAR,CNY,reference,0.4254
2021-01-18,ZAR,DKK,reference,0.4037
2021-01-18,ZAR,HKD,reference,0.5079
2021-01-18,ZAR,ILS,reference,0.2122
2021-01-18,ZAR,INR,reference,4.7998
2021-01-18,ZAR,JPY,reference,6.7969
2021-01-18,ZAR,KES,reference,7.2092
2021-01-18,ZAR,KRW,reference,72.4926
2021-01-18,ZAR,MWK,reference,50.5206
2021-01-18,ZAR,NOK,reference,0.5633
2021-01-18,ZAR,NZD,reference,0.0922
2021-01-18,ZAR,SEK,reference,0.5506
2021-01-18,ZAR,THB,reference,1.9738
2021-01-18,ZAR,TWD,reference,1.8358
2021-01-18,ZAR,ZMW,reference,1.3969
2021-01-19,EUR,ZAR,reference,18.2785
2021-01-19,GBP,ZAR,reference,20.5111
2021-01-19,USD,ZAR,reference,15.085
2021-01-19,ZAR,AUD,reference,0.0859
2021-01-19,ZAR,BRL,reference,0.3511
2021-01-19,ZAR,BWP,reference,0.7285
2021-01-19,ZAR,CAD,reference,0.0844
2021-01-19,ZAR,CHF,reference,0.0589
2021-01-19,ZAR,CNY,reference,0.4301
2021-01-19,ZAR,DKK,reference,0.407
2021-01-19,ZAR,HKD,reference,0.5139
2021-01-19,ZAR,ILS,reference,0.2143
2021-01-19,ZAR,INR,reference,4.8544
2021-01-19,ZAR,JPY,reference,6.8936
2021-01-19,ZAR,KES,reference,7.302
2021-01-19,ZAR,KRW,reference,73.1612
2021-01-19,ZAR,MWK,reference,51.124
2021-01-19,ZAR,NOK,reference,0.5664
2021-01-19,ZAR,NZD,reference,0.0929
2021-01-19,ZAR,SEK,reference,0.554
2021-01-19,ZAR,THB,reference,1.9924
2021-01-19,ZAR,TWD,reference,1.8576
2021-01-19,ZAR,ZMW,reference,1.4133
2021-01-20,EUR,ZAR,reference,18.0638
2021-01-20,GBP,ZAR,reference,20.3438
2021-01-20,USD,ZAR,reference,14.8821
2021-01-20,ZAR,AUD,reference,0.0869
2021-01-20,ZAR,BRL,reference,0.36
2021-01-20,ZAR,BWP,reference,0.7332
2021-01-20,ZAR,CAD,reference,0.0853
2021-01-20,ZAR,CHF,reference,0.0596
2021-01-20,ZAR,CNY,reference,0.4346
2021-01-20,ZAR,DKK,reference,0.4119
2021-01-20,ZAR,HKD,reference,0.5209
2021-01-20,ZAR,ILS,reference,0.2184
2021-01-20,ZAR,INR,reference,4.9101
2021-01-20,ZAR,JPY,reference,6.9752
2021-01-20,ZAR,KES,reference,7.4049
2021-01-20,ZAR,KRW,reference,74.0197
2021-01-20,ZAR,MWK,reference,51.8984
2021-01-20,ZAR,NOK,reference,0.5717
2021-01-20,ZAR,NZD,reference,0.0941
2021-01-20,ZAR,SEK,reference,0.5609
2021-01-20,ZAR,THB,reference,2.0142
2021-01-20,ZAR,TWD,reference,1.8805
2021-01-20,ZAR,ZMW,reference,1.4329
2021-01-21,EUR,ZAR,reference,18.012
2021-01-21,GBP,ZAR,reference,20.3721
2021-01-21,USD,ZAR,reference,14.862
2021-01-21,ZAR,AUD,reference,0.0868
2021-01-21,ZAR,BRL,reference,0.3561
2021-01-21,ZAR,BWP,reference,0.7338
2021-01-21,ZAR,CAD,reference,0.085
2021-01-21,ZAR,CHF,reference,0.0598
2021-01-21,ZAR,CNY,reference,0.435
2021-01-21,ZAR,DKK,reference,0.413
2021-01-21,ZAR,HKD,reference,0.5216
2021-01-21,ZAR,ILS,reference,0.22
2021-01-21,ZAR,INR,reference,4.9107
2021-01-21,ZAR,JPY,reference,6.9668
2021-01-21,ZAR,KES,reference,7.3913
2021-01-21,ZAR,KRW,reference,74.032
2021-01-21,ZAR,MWK,reference,51.8913
2021-01-21,ZAR,NOK,reference,0.5699
2021-01-21,ZAR,NZD,reference,0.0935
