date,base,quote,type,value
2019-01-02,AED,PKR,reference,37.815
2019-01-02,ARS,PKR,reference,3.689
2019-01-02,AUD,PKR,reference,97.508
2019-01-02,BDT,PKR,reference,1.656
2019-01-02,BHD,PKR,reference,368.4556
2019-01-02,BRL,PKR,reference,35.7875
2019-01-02,CAD,PKR,reference,101.9602
2019-01-02,CHF,PKR,reference,141.3744
2019-01-02,CNH,PKR,reference,20.2305
2019-01-02,CNY,PKR,reference,20.2644
2019-01-02,DKK,PKR,reference,21.2802
2019-01-02,EUR,PKR,reference,158.8742
2019-01-02,GBP,PKR,reference,176.584
2019-01-02,HKD,PKR,reference,17.7263
2019-01-02,IDR,PKR,reference,0.0096
2019-01-02,INR,PKR,reference,1.9831
2019-01-02,JPY,PKR,reference,1.2759
2019-01-02,KRW,PKR,reference,0.1241
2019-01-02,KWD,PKR,reference,457.7674
2019-01-02,LKR,PKR,reference,0.7592
2019-01-02,MXN,PKR,reference,7.0699
2019-01-02,MYR,PKR,reference,33.567
2019-01-02,NOK,PKR,reference,16.043
2019-01-02,NZD,PKR,reference,93.1882
2019-01-02,OMR,PKR,reference,360.7848
2019-01-02,QAR,PKR,reference,38.149
2019-01-02,RUB,PKR,reference,1.995
2019-01-02,SAR,PKR,reference,37.0273
2019-01-02,SEK,PKR,reference,15.5516
2019-01-02,SGD,PKR,reference,101.8966
2019-01-02,THB,PKR,reference,4.3017
2019-01-02,TRY,PKR,reference,25.9675
2019-01-02,USD,PKR,reference,138.9003
2019-01-02,ZAR,PKR,reference,9.6173
2019-01-03,AED,PKR,reference,37.8199
2019-01-03,ARS,PKR,reference,3.6781
2019-01-03,AUD,PKR,reference,96.7564
2019-01-03,BDT,PKR,reference,1.6563
2019-01-03,BHD,PKR,reference,368.5024
2019-01-03,BRL,PKR,reference,36.6538
2019-01-03,CAD,PKR,reference,102.0368
2019-01-03,CHF,PKR,reference,140.8476
2019-01-03,CNH,PKR,reference,20.1746
2019-01-03,CNY,PKR,reference,20.2127
2019-01-03,DKK,PKR,reference,21.173
2019-01-03,EUR,PKR,reference,158.1026
2019-01-03,GBP,PKR,reference,174.7449
2019-01-03,HKD,PKR,reference,17.7345
2019-01-03,IDR,PKR,reference,0.0096
2019-01-03,INR,PKR,reference,1.9778
2019-01-03,JPY,PKR,reference,1.2892
2019-01-03,KRW,PKR,reference,0.1232
2019-01-03,KWD,PKR,reference,457.9689
2019-01-03,LKR,PKR,reference,0.759
2019-01-03,MXN,PKR,reference,7.079
2019-01-03,MYR,PKR,reference,33.5267
2019-01-03,NOK,PKR,reference,15.9299
2019-01-03,NZD,PKR,reference,92.3388
2019-01-03,OMR,PKR,reference,360.8306
2019-01-03,QAR,PKR,reference,38.1538
2019-01-03,RUB,PKR,reference,2.0122
2019-01-03,SAR,PKR,reference,37.0344
2019-01-03,SEK,PKR,reference,15.4271
2019-01-03,SGD,PKR,reference,101.7155
2019-01-03,THB,PKR,reference,4.3162
2019-01-03,TRY,PKR,reference,25.5432
2019-01-03,USD,PKR,reference,138.918
2019-01-03,ZAR,PKR,reference,9.5867
2019-01-04,AED,PKR,reference,37.8052
2019-01-04,ARS,PKR,reference,3.7085
2019-01-04,AUD,PKR,reference,97.8367
2019-01-04,BDT,PKR,reference,1.6564
2019-01-04,BHD,PKR,reference,368.3593
2019-01-04,BRL,PKR,reference,36.9663
2019-01-04,CAD,PKR,reference,103.3561
2019-01-04,CHF,PKR,reference,140.8929
2019-01-04,CNH,PKR,reference,20.1917
2019-01-04,CNY,PKR,reference,20.2219
2019-01-04,DKK,PKR,reference,21.2265
2019-01-04,EUR,PKR,reference,158.5203
2019-01-04,GBP,PKR,reference,176.0102
2019-01-04,HKD,PKR,reference,17.7277
2019-01-04,IDR,PKR,reference,0.0097
2019-01-04,INR,PKR,reference,1.9875
2019-01-04,JPY,PKR,reference,1.2864
2019-01-04,KRW,PKR,reference,0.1236
2019-01-04,KWD,PKR,reference,457.9874
2019-01-04,LKR,PKR,reference,0.7601
2019-01-04,MXN,PKR,reference,7.0983
2019-01-04,MYR,PKR,reference,33.5502
2019-01-04,NOK,PKR,reference,16.0536
2019-01-04,NZD,PKR,reference,93.1084
2019-01-04,OMR,PKR,reference,360.7187
2019-01-04,QAR,PKR,reference,38.1332
2019-01-04,RUB,PKR,reference,2.0339
2019-01-04,SAR,PKR,reference,37.022
2019-01-04,SEK,PKR,reference,15.4517
2019-01-04,SGD,PKR,reference,101.9822
2019-01-04,THB,PKR,reference,4.3348
2019-01-04,TRY,PKR,reference,25.632
2019-01-04,USD,PKR,reference,138.8641
2019-01-04,ZAR,PKR,reference,9.846
2019-01-07,AED,PKR,reference,37.8233
2019-01-07,ARS,PKR,reference,3.7199
2019-01-07,AUD,PKR,reference,99.1827
2019-01-07,BDT,PKR,reference,1.6554
2019-01-07,BHD,PKR,reference,368.5363
2019-01-07,BRL,PKR,reference,37.4033
2019-01-07,CAD,PKR,reference,104.0057
2019-01-07,CHF,PKR,reference,141.3047
2019-01-07,CNH,PKR,reference,20.286
2019-01-07,CNY,PKR,reference,20.2808
2019-01-07,DKK,PKR,reference,21.2891
2019-01-07,EUR,PKR,reference,158.9924
2019-01-07,GBP,PKR,reference,176.9422
2019-01-07,HKD,PKR,reference,17.7278
2019-01-07,IDR,PKR,reference,0.0099
2019-01-07,INR,PKR,reference,1.9909
2019-01-07,JPY,PKR,reference,1.2843
2019-01-07,KRW,PKR,reference,0.1242
2019-01-07,KWD,PKR,reference,458.3888
2019-01-07,LKR,PKR,reference,0.7617
2019-01-07,MXN,PKR,reference,7.1594
2019-01-07,MYR,PKR,reference,33.7702
2019-01-07,NOK,PKR,reference,16.2005
2019-01-07,NZD,PKR,reference,93.9589
2019-01-07,OMR,PKR,reference,360.8638
2019-01-07,QAR,PKR,reference,38.1573
2019-01-07,RUB,PKR,reference,2.0613
2019-01-07,SAR,PKR,reference,37.0403
2019-01-07,SEK,PKR,reference,15.5397
2019-01-07,SGD,PKR,reference,102.3846
2019-01-07,THB,PKR,reference,4.3436
2019-01-07,TRY,PKR,reference,25.8303
2019-01-07,USD,PKR,reference,138.9308
2019-01-07,ZAR,PKR,reference,9.9571
2019-01-08,AED,PKR,reference,37.8102
2019-01-08,ARS,PKR,reference,3.7234
2019-01-08,AUD,PKR,reference,99.0648
2019-01-08,BDT,PKR,reference,1.6544
2019-01-08,BHD,PKR,reference,368.3736
2019-01-08,BRL,PKR,reference,37.1781
2019-01-08,CAD,PKR,reference,104.6353
2019-01-08,CHF,PKR,reference,141.6878
2019-01-08,CNH,PKR,reference,20.2495
2019-01-08,CNY,PKR,reference,20.2676
2019-01-08,DKK,PKR,reference,21.3039
2019-01-08,EUR,PKR,reference,159.0828
2019-01-08,GBP,PKR,reference,177.3875
2019-01-08,HKD,PKR,reference,17.7163
2019-01-08,IDR,PKR,reference,0.0098
2019-01-08,INR,PKR,reference,1.9825
2019-01-08,JPY,PKR,reference,1.2758
2019-01-08,KRW,PKR,reference,0.1235
2019-01-08,KWD,PKR,reference,458.2594
2019-01-08,LKR,PKR,reference,0.761
2019-01-08,MXN,PKR,reference,7.1779
2019-01-08,MYR,PKR,reference,33.7257
2019-01-08,NOK,PKR,reference,16.2552
2019-01-08,NZD,PKR,reference,93.6345
2019-01-08,OMR,PKR,reference,360.785
2019-01-08,QAR,PKR,reference,38.1383
2019-01-08,RUB,PKR,reference,2.0723
2019-01-08,SAR,PKR,reference,37.0264
2019-01-08,SEK,PKR,reference,15.6155
2019-01-08,SGD,PKR,reference,102.2585
2019-01-08,THB,PKR,reference,4.3313
2019-01-08,TRY,PKR,reference,25.6466
2019-01-08,USD,PKR,reference,138.8824
2019-01-08,ZAR,PKR,reference,9.9426
2019-01-09,AED,PKR,reference,37.8173
2019-01-09,ARS,PKR,reference,3.6996
2019-01-09,AUD,PKR,reference,99.4446
2019-01-09,BDT,PKR,reference,1.6552
2019-01-09,BHD,PKR,reference,368.4576
2019-01-09,BRL,PKR,reference,37.4084
2019-01-09,CAD,PKR,reference,104.9396
2019-01-09,CHF,PKR,reference,141.8302
2019-01-09,CNH,PKR,reference,20.3408
2019-01-09,CNY,PKR,reference,20.3408
2019-01-09,DKK,PKR,reference,21.3341
2019-01-09,EUR,PKR,reference,159.2586
2019-01-09,GBP,PKR,reference,177.2403
2019-01-09,HKD,PKR,reference,17.7198
2019-01-09,IDR,PKR,reference,0.0098
2019-01-09,INR,PKR,reference,1.9703
2019-01-09,JPY,PKR,reference,1.2751
2019-01-09,KRW,PKR,reference,0.1241
2019-01-09,KWD,PKR,reference,458.2851
2019-01-09,LKR,PKR,reference,0.7612
2019-01-09,MXN,PKR,reference,7.1794
2019-01-09,MYR,PKR,reference,33.7772
2019-01-09,NOK,PKR,reference,16.2954
2019-01-09,NZD,PKR,reference,93.8882
2019-01-09,OMR,PKR,reference,360.8341
2019-01-09,QAR,PKR,reference,38.1512
2019-01-09,RUB,PKR,reference,2.0726
2019-01-09,SAR,PKR,reference,37.0324
2019-01-09,SEK,PKR,reference,15.5813
2019-01-09,SGD,PKR,reference,102.4059
2019-01-09,THB,PKR,reference,4.3395
2019-01-09,TRY,PKR,reference,25.2906
2019-01-09,USD,PKR,reference,138.9085
2019-01-09,ZAR,PKR,reference,9.9539
2019-01-10,AED,PKR,reference,37.8034
2019-01-10,ARS,PKR,reference,3.7169
2019-01-10,AUD,PKR,reference,99.665
2019-01-10,BDT,PKR,reference,1.6545
2019-01-10,BHD,PKR,reference,368.3225
2019-01-10,BRL,PKR,reference,37.7259
2019-01-10,CAD,PKR,reference,104.8931
2019-01-10,CHF,PKR,reference,142.2284
2019-01-10,CNH,PKR,reference,20.4497
2019-01-10,CNY,PKR,reference,20.4631
2019-01-10,DKK,PKR,reference,21.4356
2019-01-10,EUR,PKR,reference,160.0264
2019-01-10,GBP,PKR,reference,177.1267
2019-01-10,HKD,PKR,reference,17.712
2019-01-10,IDR,PKR,reference,0.0099
2019-01-10,INR,PKR,reference,1.9662
2019-01-10,JPY,PKR,reference,1.2845
2019-01-10,KRW,PKR,reference,0.124
2019-01-10,KWD,PKR,reference,458.6466
2019-01-10,LKR,PKR,reference,0.7622
2019-01-10,MXN,PKR,reference,7.2095
2019-01-10,MYR,PKR,reference,33.8884
2019-01-10,NOK,PKR,reference,16.3745
2019-01-10,NZD,PKR,reference,94.1593
2019-01-10,OMR,PKR,reference,360.7017
2019-01-10,QAR,PKR,reference,38.1314
2019-01-10,RUB,PKR,reference,2.0723
2019-01-10,SAR,PKR,reference,37.0154
2019-01-10,SEK,PKR,reference,15.6178
2019-01-10,SGD,PKR,reference,102.6787
2019-01-10,THB,PKR,reference,4.3475
2019-01-10,TRY,PKR,reference,25.2901
2019-01-10,USD,PKR,reference,138.8575
2019-01-10,ZAR,PKR,reference,9.9594
2019-01-11,AED,PKR,reference,37.8006
2019-01-11,ARS,PKR,reference,3.7181
2019-01-11,AUD,PKR,reference,100.2825
2019-01-11,BDT,PKR,reference,1.6585
2019-01-11,BHD,PKR,reference,368.2809
2019-01-11,BRL,PKR,reference,37.4201
2019-01-11,CAD,PKR,reference,105.3071
2019-01-11,CHF,PKR,reference,141.3349
2019-01-11,CNH,PKR,reference,20.6045
2019-01-11,CNY,PKR,reference,20.5994
2019-01-11,DKK,PKR,reference,21.4307
2019-01-11,EUR,PKR,reference,159.9869
2019-01-11,GBP,PKR,reference,176.718
2019-01-11,HKD,PKR,reference,17.7061
2019-01-11,IDR,PKR,reference,0.0099
2019-01-11,INR,PKR,reference,1.9693
2019-01-11,JPY,PKR,reference,1.282
2019-01-11,KRW,PKR,reference,0.1246
2019-01-11,KWD,PKR,reference,458.4466
2019-01-11,LKR,PKR,reference,0.7633
2019-01-11,MXN,PKR,reference,7.2779
2019-01-11,MYR,PKR,reference,33.9107
2019-01-11,NOK,PKR,reference,16.4132
2019-01-11,NZD,PKR,reference,94.9161
2019-01-11,OMR,PKR,reference,360.6754
2019-01-11,QAR,PKR,reference,38.137
2019-01-11,RUB,PKR,reference,2.076
2019-01-11,SAR,PKR,reference,37.0151
2019-01-11,SEK,PKR,reference,15.6455
2019-01-11,SGD,PKR,reference,102.8157
2019-01-11,THB,PKR,reference,4.3512
2019-01-11,TRY,PKR,reference,25.5641
2019-01-11,USD,PKR,reference,138.8474
2019-01-11,ZAR,PKR,reference,10.0724
2019-01-14,AED,PKR,reference,37.8248
2019-01-14,ARS,PKR,reference,3.7649
2019-01-14,AUD,PKR,reference,99.9369
2019-01-14,BDT,PKR,reference,1.6551
2019-01-14,BHD,PKR,reference,368.5069
2019-01-14,BRL,PKR,reference,37.436
2019-01-14,CAD,PKR,reference,104.7232
2019-01-14,CHF,PKR,reference,141.4182
2019-01-14,CNH,PKR,reference,20.5152
2019-01-14,CNY,PKR,reference,20.5381
2019-01-14,DKK,PKR,reference,21.351
2019-01-14,EUR,PKR,reference,159.36
2019-01-14,GBP,PKR,reference,178.2553
2019-01-14,HKD,PKR,reference,17.7155
2019-01-14,IDR,PKR,reference,0.0098
2019-01-14,INR,PKR,reference,1.9629
2019-01-14,JPY,PKR,reference,1.2848
2019-01-14,KRW,PKR,reference,0.1237
2019-01-14,KWD,PKR,reference,458.5433
2019-01-14,LKR,PKR,reference,0.7623
2019-01-14,MXN,PKR,reference,7.254
2019-01-14,MYR,PKR,reference,33.8911
2019-01-14,NOK,PKR,reference,16.258
2019-01-14,NZD,PKR,reference,94.6156
2019-01-14,OMR,PKR,reference,360.897
2019-01-14,QAR,PKR,reference,38.1588
2019-01-14,RUB,PKR,reference,2.0677
2019-01-14,SAR,PKR,reference,37.0388
2019-01-14,SEK,PKR,reference,15.5403
2019-01-14,SGD,PKR,reference,102.589
2019-01-14,THB,PKR,reference,4.3486
2019-01-14,TRY,PKR,reference,25.2041
2019-01-14,USD,PKR,reference,138.9363
2019-01-14,ZAR,PKR,reference,9.9821
2019-01-15,AED,PKR,reference,37.8158
2019-01-15,ARS,PKR,reference,3.7567
2019-01-15,AUD,PKR,reference,100.1351
2019-01-15,BDT,PKR,reference,1.6551
2019-01-15,BHD,PKR,reference,368.4184
2019-01-15,BRL,PKR,reference,37.551
2019-01-15,CAD,PKR,reference,104.702
2019-01-15,CHF,PKR,reference,141.1902
2019-01-15,CNH,PKR,reference,20.5364
2019-01-15,CNY,PKR,reference,20.5622
2019-01-15,DKK,PKR,reference,21.3234
2019-01-15,EUR,PKR,reference,159.148
2019-01-15,GBP,PKR,reference,178.8723
2019-01-15,HKD,PKR,reference,17.7091
2019-01-15,IDR,PKR,reference,0.0099
2019-01-15,INR,PKR,reference,1.954
2019-01-15,JPY,PKR,reference,1.2797
2019-01-15,KRW,PKR,reference,0.1239
2019-01-15,KWD,PKR,reference,458.4331
2019-01-15,LKR,PKR,reference,0.7622
2019-01-15,MXN,PKR,reference,7.3232
2019-01-15,MYR,PKR,reference,33.8912
2019-01-15,NOK,PKR,reference,16.2604
2019-01-15,NZD,PKR,reference,94.9541
2019-01-15,OMR,PKR,reference,360.8103
2019-01-15,QAR,PKR,reference,38.1497
2019-01-15,RUB,PKR,reference,2.0706
2019-01-15,SAR,PKR,reference,37.0309
2019-01-15,SEK,PKR,reference,15.5282
2019-01-15,SGD,PKR,reference,102.7161
2019-01-15,THB,PKR,reference,4.3557
2019-01-15,TRY,PKR,reference,25.4821
2019-01-15,USD,PKR,reference,138.9029
2019-01-15,ZAR,PKR,reference,10.0682
2019-01-16,AED,PKR,reference,37.8173
2019-01-16,ARS,PKR,reference,3.7426
2019-01-16,AUD,PKR,reference,99.9168
2019-01-16,BDT,PKR,reference,1.6551
2019-01-16,BHD,PKR,reference,368.4575
2019-01-16,BRL,PKR,reference,37.3686
2019-01-16,CAD,PKR,reference,104.7575
2019-01-16,CHF,PKR,reference,140.5742
2019-01-16,CNH,PKR,reference,20.5389
2019-01-16,CNY,PKR,reference,20.5633
2019-01-16,DKK,PKR,reference,21.2535
2019-01-16,EUR,PKR,reference,158.6404
2019-01-16,GBP,PKR,reference,178.9835
2019-01-16,HKD,PKR,reference,17.7076
2019-01-16,IDR,PKR,reference,0.0098
2019-01-16,INR,PKR,reference,1.952
2019-01-16,JPY,PKR,reference,1.2794
2019-01-16,KRW,PKR,reference,0.1238
2019-01-16,KWD,PKR,reference,458.2546
2019-01-16,LKR,PKR,reference,0.7616
2019-01-16,MXN,PKR,reference,7.3082
2019-01-16,MYR,PKR,reference,33.8183
2019-01-16,NOK,PKR,reference,16.2918
2019-01-16,NZD,PKR,reference,94.5064
2019-01-16,OMR,PKR,reference,360.8339
2019-01-16,QAR,PKR,reference,38.1512
2019-01-16,RUB,PKR,reference,2.0828
2019-01-16,SAR,PKR,reference,37.0324
2019-01-16,SEK,PKR,reference,15.4978
2019-01-16,SGD,PKR,reference,102.5457
2019-01-16,THB,PKR,reference,4.384
2019-01-16,TRY,PKR,reference,25.6993
2019-01-16,USD,PKR,reference,138.9084
