date,base,quote,type,value
2014-01-03,USD,VND,reference,21036
2014-01-04,USD,VND,reference,21036
2014-01-06,USD,VND,reference,21036
2014-01-07,USD,VND,reference,21036
2014-01-08,USD,VND,reference,21036
2014-01-09,USD,VND,reference,21036
2014-01-10,USD,VND,reference,21036
2014-01-11,USD,VND,reference,21036
2014-01-13,USD,VND,reference,21036
2014-01-14,USD,VND,reference,21036
2014-01-15,USD,VND,reference,21036
2014-01-16,USD,VND,reference,21036
2014-01-17,USD,VND,reference,21036
2014-01-18,USD,VND,reference,21036
2014-01-20,USD,VND,reference,21036
2014-01-21,USD,VND,reference,21036
2014-01-22,USD,VND,reference,21036
2014-01-23,USD,VND,reference,21036
2014-01-24,USD,VND,reference,21036
2014-01-25,USD,VND,reference,21036
2014-01-27,USD,VND,reference,21036
2014-01-28,USD,VND,reference,21036
2014-01-29,USD,VND,reference,21036
2014-02-05,USD,VND,reference,21036
2014-02-06,USD,VND,reference,21036
2014-02-07,USD,VND,reference,21036
2014-02-08,USD,VND,reference,21036
2014-02-10,USD,VND,reference,21036
2014-02-11,USD,VND,reference,21036
2014-02-12,USD,VND,reference,21036
2014-02-13,USD,VND,reference,21036
2014-02-14,USD,VND,reference,21036
2014-02-15,USD,VND,reference,21036
2014-02-17,USD,VND,reference,21036
2014-02-18,USD,VND,reference,21036
2014-02-19,USD,VND,reference,21036
2014-02-20,USD,VND,reference,21036
2014-02-21,USD,VND,reference,21036
2014-02-22,USD,VND,reference,21036
2014-02-24,USD,VND,reference,21036
2014-02-25,USD,VND,reference,21036
2014-02-26,USD,VND,reference,21036
2014-02-27,USD,VND,reference,21036
2014-02-28,USD,VND,reference,21036
2014-03-01,USD,VND,reference,21036
2014-03-03,USD,VND,reference,21036
2014-03-04,USD,VND,reference,21036
2014-03-05,USD,VND,reference,21036
2014-03-06,USD,VND,reference,21036
2014-03-07,USD,VND,reference,21036
2014-03-08,USD,VND,reference,21036
2014-03-10,USD,VND,reference,21036
2014-03-11,USD,VND,reference,21036
2014-03-14,USD,VND,reference,21036
2014-03-15,USD,VND,reference,21036
2014-03-17,USD,VND,reference,21036
2014-03-18,USD,VND,reference,21036
2014-03-19,USD,VND,reference,21036
2014-03-20,USD,VND,reference,21036
2014-03-21,USD,VND,reference,21036
2014-03-22,USD,VND,reference,21036
2014-03-24,USD,VND,reference,21036
2014-03-25,USD,VND,reference,21036
2014-03-26,USD,VND,reference,21036
2014-03-27,USD,VND,reference,21036
2014-03-28,USD,VND,reference,21036
2014-03-29,USD,VND,reference,21036
2014-03-31,USD,VND,reference,21036
2014-04-01,USD,VND,reference,21036
2014-04-02,USD,VND,reference,21036
2014-04-03,USD,VND,reference,21036
2014-04-04,USD,VND,reference,21036
2014-04-05,USD,VND,reference,21036
2014-04-07,USD,VND,reference,21036
2014-04-08,USD,VND,reference,21036
2014-04-09,USD,VND,reference,21036
2014-04-12,USD,VND,reference,21036
2014-04-14,USD,VND,reference,21036
2014-04-15,USD,VND,reference,21036
2014-04-16,USD,VND,reference,21036
2014-04-17,USD,VND,reference,21036
2014-04-18,USD,VND,reference,21036
2014-04-19,USD,VND,reference,21036
2014-04-21,USD,VND,reference,21036
2014-04-22,USD,VND,reference,21036
2014-04-23,USD,VND,reference,21036
2014-04-24,USD,VND,reference,21036
2014-04-25,USD,VND,reference,21036
2014-04-26,USD,VND,reference,21036
2014-04-28,USD,VND,reference,21036
2014-04-29,USD,VND,reference,21036
2014-04-30,USD,VND,reference,21036
2014-05-02,USD,VND,reference,21036
2014-05-03,USD,VND,reference,21036
2014-05-05,USD,VND,reference,21036
2014-05-06,USD,VND,reference,21036
2014-05-07,USD,VND,reference,21036
2014-05-08,USD,VND,reference,21036
2014-05-09,USD,VND,reference,21036
2014-05-13,USD,VND,reference,21036
2014-05-14,USD,VND,reference,21036
2014-05-15,USD,VND,reference,21036
2014-05-16,USD,VND,reference,21036
2014-05-17,USD,VND,reference,21036
2014-05-19,USD,VND,reference,21036
2014-05-20,USD,VND,reference,21036
2014-05-21,USD,VND,reference,21036
2014-05-22,USD,VND,reference,21036
2014-05-23,USD,VND,reference,21036
2014-05-24,USD,VND,reference,21036
2014-05-26,USD,VND,reference,21036
2014-05-27,USD,VND,reference,21036
2014-05-28,USD,VND,reference,21036
2014-05-29,USD,VND,reference,21036
2014-05-30,USD,VND,reference,21036
2014-05-31,USD,VND,reference,21036
2014-06-02,USD,VND,reference,21036
2014-06-03,USD,VND,reference,21036
2014-06-04,USD,VND,reference,21036
2014-06-05,USD,VND,reference,21036
2014-06-06,USD,VND,reference,21036
2014-06-07,USD,VND,reference,21036
2014-06-11,USD,VND,reference,21036
2014-06-12,USD,VND,reference,21036
2014-06-13,USD,VND,reference,21036
2014-06-14,USD,VND,reference,21036
2014-06-16,USD,VND,reference,21036
2014-06-17,USD,VND,reference,21036
2014-06-18,USD,VND,reference,21036
2014-06-19,USD,VND,reference,21246
2014-06-20,USD,VND,reference,21246
2014-06-21,USD,VND,reference,21246
2014-06-23,USD,VND,reference,21246
2014-06-24,USD,VND,reference,21246
2014-06-25,USD,VND,reference,21246
2014-06-26,USD,VND,reference,21246
2014-06-27,USD,VND,reference,21246
2014-06-28,USD,VND,reference,21246
