date,base,quote,type,value
1993-01-01,USD,COP,reference,737.98
1993-01-05,USD,COP,reference,737.55
1993-01-06,USD,COP,reference,738.65
1993-01-07,USD,COP,reference,740.08
1993-01-08,USD,COP,reference,742.61
1993-01-09,USD,COP,reference,746.63
1993-01-13,USD,COP,reference,749.63
1993-01-14,USD,COP,reference,748.98
1993-01-15,USD,COP,reference,746.71
1993-01-16,USD,COP,reference,746.39
1993-01-19,USD,COP,reference,747.2
1993-01-20,USD,COP,reference,748.07
1993-01-21,USD,COP,reference,750.06
1993-01-22,USD,COP,reference,750
1993-01-23,USD,COP,reference,748.56
1993-01-26,USD,COP,reference,747.25
1993-01-27,USD,COP,reference,747.13
1993-01-28,USD,COP,reference,746.21
1993-01-29,USD,COP,reference,745.14
1993-01-30,USD,COP,reference,746.05
1993-02-02,USD,COP,reference,745.27
1993-02-03,USD,COP,reference,745.64
1993-02-04,USD,COP,reference,745.73
1993-02-05,USD,COP,reference,745.79
1993-02-06,USD,COP,reference,746.56
1993-02-09,USD,COP,reference,745.45
1993-02-10,USD,COP,reference,745.49
1993-02-11,USD,COP,reference,745.38
1993-02-12,USD,COP,reference,748.22
1993-02-13,USD,COP,reference,748.88
1993-02-16,USD,COP,reference,748.18
1993-02-17,USD,COP,reference,749.69
1993-02-18,USD,COP,reference,750.75
1993-02-19,USD,COP,reference,752.47
1993-02-20,USD,COP,reference,751.96
1993-02-23,USD,COP,reference,752.52
1993-02-24,USD,COP,reference,753.33
1993-02-25,USD,COP,reference,755.07
1993-02-26,USD,COP,reference,759.2
1993-02-27,USD,COP,reference,758.03
1993-03-02,USD,COP,reference,757.89
1993-03-03,USD,COP,reference,760.71
1993-03-04,USD,COP,reference,762.68
1993-03-05,USD,COP,reference,762.04
1993-03-06,USD,COP,reference,762.2
1993-03-09,USD,COP,reference,763.38
1993-03-10,USD,COP,reference,763.9
1993-03-11,USD,COP,reference,764.74
1993-03-12,USD,COP,reference,765.19
1993-03-13,USD,COP,reference,764.79
1993-03-16,USD,COP,reference,764.29
1993-03-17,USD,COP,reference,765.06
1993-03-18,USD,COP,reference,766.12
1993-03-19,USD,COP,reference,766.42
1993-03-20,USD,COP,reference,766.84
1993-03-24,USD,COP,reference,766.63
1993-03-25,USD,COP,reference,766.91
1993-03-26,USD,COP,reference,767.99
1993-03-27,USD,COP,reference,767.4
1993-03-30,USD,COP,reference,766.79
1993-03-31,USD,COP,reference,766.41
1993-04-01,USD,COP,reference,766.44
1993-04-02,USD,COP,reference,767.98
1993-04-03,USD,COP,reference,768.46
1993-04-06,USD,COP,reference,768.31
1993-04-07,USD,COP,reference,768.52
1993-04-08,USD,COP,reference,768.6
1993-04-13,USD,COP,reference,769.34
1993-04-14,USD,COP,reference,769.8
1993-04-15,USD,COP,reference,771.56
1993-04-16,USD,COP,reference,772.71
