date,base,quote,type,value
1927-01-31,GBP,CHF,monthly_average,25.18
1927-01-31,USD,CHF,monthly_average,5.188
1927-02-28,GBP,CHF,monthly_average,25.22
1927-02-28,USD,CHF,monthly_average,5.198
1927-03-31,GBP,CHF,monthly_average,25.24
1927-03-31,USD,CHF,monthly_average,5.198
1927-04-30,GBP,CHF,monthly_average,25.25
1927-04-30,USD,CHF,monthly_average,5.199
1927-05-31,GBP,CHF,monthly_average,25.25
1927-05-31,USD,CHF,monthly_average,5.199
1927-06-30,GBP,CHF,monthly_average,25.24
1927-06-30,USD,CHF,monthly_average,5.198
1927-07-31,GBP,CHF,monthly_average,25.22
1927-07-31,USD,CHF,monthly_average,5.194
1927-08-31,GBP,CHF,monthly_average,25.21
1927-08-31,USD,CHF,monthly_average,5.187
1927-09-30,GBP,CHF,monthly_average,25.22
1927-09-30,USD,CHF,monthly_average,5.186
1927-10-31,GBP,CHF,monthly_average,25.25
1927-10-31,USD,CHF,monthly_average,5.185
1927-11-30,GBP,CHF,monthly_average,25.27
1927-11-30,USD,CHF,monthly_average,5.185
1927-12-31,GBP,CHF,monthly_average,25.28
1927-12-31,USD,CHF,monthly_average,5.177
