date,base,quote,type,value
2021-01-04,AUD,TRY,buy,5.6742
2021-01-04,AUD,TRY,sell,5.7112
2021-01-04,BGN,TRY,buy,4.5954
2021-01-04,BGN,TRY,sell,4.6555
2021-01-04,CAD,TRY,buy,5.7935
2021-01-04,CAD,TRY,sell,5.8197
2021-01-04,CHF,TRY,buy,8.3352
2021-01-04,CHF,TRY,sell,8.3887
2021-01-04,CNY,TRY,buy,1.1324
2021-01-04,CNY,TRY,sell,1.1472
2021-01-04,DKK,TRY,buy,1.213
2021-01-04,DKK,TRY,sell,1.219
2021-01-04,EUR,TRY,buy,9.0382
2021-01-04,EUR,TRY,sell,9.0545
2021-01-04,GBP,TRY,buy,10.0544
2021-01-04,GBP,TRY,sell,10.1069
2021-01-04,IRR,TRY,buy,0.0001743
2021-01-04,IRR,TRY,sell,0.0001765
2021-01-04,JPY,TRY,buy,0.071389
2021-01-04,JPY,TRY,sell,0.071862
2021-01-04,KWD,TRY,buy,24.0884
2021-01-04,KWD,TRY,sell,24.4036
2021-01-04,NOK,TRY,buy,0.86307
2021-01-04,NOK,TRY,sell,0.86887
2021-01-04,PKR,TRY,buy,0.04564
2021-01-04,PKR,TRY,sell,0.04623
2021-01-04,QAR,TRY,buy,2.0059
2021-01-04,QAR,TRY,sell,2.0321
2021-01-04,RON,TRY,buy,1.8465
2021-01-04,RON,TRY,sell,1.8707
2021-01-04,RUB,TRY,buy,0.09966
2021-01-04,RUB,TRY,sell,0.10097
2021-01-04,SAR,TRY,buy,1.962
2021-01-04,SAR,TRY,sell,1.9655
2021-01-04,SEK,TRY,buy,0.89556
2021-01-04,SEK,TRY,sell,0.90483
2021-01-04,USD,TRY,buy,7.3602
2021-01-04,USD,TRY,sell,7.3734
2021-01-04,XDR,TRY,buy,10.6679
2021-01-05,AUD,TRY,buy,5.6833
2021-01-05,AUD,TRY,sell,5.7204
2021-01-05,BGN,TRY,buy,4.6091
2021-01-05,BGN,TRY,sell,4.6694
2021-01-05,CAD,TRY,buy,5.7882
2021-01-05,CAD,TRY,sell,5.8143
2021-01-05,CHF,TRY,buy,8.3725
2021-01-05,CHF,TRY,sell,8.4263
2021-01-05,CNY,TRY,buy,1.1366
2021-01-05,CNY,TRY,sell,1.1514
2021-01-05,DKK,TRY,buy,1.2166
2021-01-05,DKK,TRY,sell,1.2226
2021-01-05,EUR,TRY,buy,9.0656
