date,base,quote,type,value
2002-03-31,USD,AED,quarterly,3.673
2002-03-31,USD,AFN,quarterly,35000
2002-03-31,USD,ALL,quarterly,139.81
2002-03-31,USD,AMD,quarterly,566
2002-03-31,USD,ANG,quarterly,1.78
2002-03-31,USD,AOA,quarterly,34.32
2002-03-31,USD,ARS,quarterly,2.08
2002-03-31,USD,ATS,quarterly,15.864
2002-03-31,USD,AUD,quarterly,1.935
2002-03-31,USD,AZN,quarterly,4800
2002-03-31,USD,BAM,quarterly,2.255
2002-03-31,USD,BBD,quarterly,2
2002-03-31,USD,BDT,quarterly,58
2002-03-31,USD,BEF,quarterly,46.507
2002-03-31,USD,BGN,quarterly,2.246
2002-03-31,USD,BHD,quarterly,0.377
2002-03-31,USD,BIF,quarterly,853.353
2002-03-31,USD,BMD,quarterly,1
2002-03-31,USD,BND,quarterly,1.832
2002-03-31,USD,BOB,quarterly,6.923
2002-03-31,USD,BRL,quarterly,2.36
2002-03-31,USD,BSD,quarterly,1
2002-03-31,USD,BWP,quarterly,6.716
2002-03-31,USD,BYR,quarterly,1668
2002-03-31,USD,BZD,quarterly,2
2002-03-31,USD,CAD,quarterly,1.604
2002-03-31,USD,CDF,quarterly,339
2002-03-31,USD,CHF,quarterly,1.701
2002-03-31,USD,CLP,quarterly,679.7
2002-03-31,USD,CNY,quarterly,8.265
2002-03-31,USD,COP,quarterly,2303
2002-03-31,USD,CRC,quarterly,347.05
2002-03-31,USD,CVE,quarterly,127.182
2002-03-31,USD,CYP,quarterly,0.662
2002-03-31,USD,CZK,quarterly,36.024
2002-03-31,USD,DEM,quarterly,2.255
2002-03-31,USD,DJF,quarterly,176.95
2002-03-31,USD,DKK,quarterly,8.569
2002-03-31,USD,DOP,quarterly,17.5
2002-03-31,USD,DZD,quarterly,78.319
2002-03-31,USD,ECS,quarterly,25000
2002-03-31,USD,EEK,quarterly,18.04
2002-03-31,USD,EGP,quarterly,4.62
2002-03-31,USD,ERN,quarterly,13.55
2002-03-31,USD,ESP,quarterly,191.82
2002-03-31,USD,ETB,quarterly,8.56
2002-03-31,USD,EUR,quarterly,1.153
2002-03-31,USD,FIM,quarterly,6.855
2002-03-31,USD,FJD,quarterly,2.287
2002-03-31,USD,FRF,quarterly,7.562
2002-03-31,USD,GBP,quarterly,0.707
2002-03-31,USD,GEL,quarterly,2.22
2002-03-31,USD,GHC,quarterly,7450
2002-03-31,USD,GMD,quarterly,19
2002-03-31,USD,GNF,quarterly,1975
2002-03-31,USD,GRD,quarterly,392.84
2002-03-31,USD,GTQ,quarterly,8.007
2002-03-31,USD,GYD,quarterly,188
2002-03-31,USD,HKD,quarterly,7.799
2002-03-31,USD,HNL,quarterly,16.06
2002-03-31,USD,HRK,quarterly,8.569
2002-03-31,USD,HTG,quarterly,26.5
2002-03-31,USD,HUF,quarterly,282.95
2002-03-31,USD,IDR,quarterly,10160
2002-03-31,USD,IEP,quarterly,0.908
2002-03-31,USD,ILS,quarterly,4.67
2002-03-31,USD,INR,quarterly,48.55
2002-03-31,USD,ISK,quarterly,100.47
2002-03-31,USD,ITL,quarterly,2232.27
2002-03-31,USD,JMD,quarterly,47.3
2002-03-31,USD,JOD,quarterly,0.708
2002-03-31,USD,JPY,quarterly,133.84
2002-03-31,USD,KES,quarterly,77.9
2002-03-31,USD,KGS,quarterly,48.4
2002-03-31,USD,KHR,quarterly,3895
2002-03-31,USD,KMF,quarterly,567.172
2002-03-31,USD,KRW,quarterly,1313.8
2002-03-31,USD,KWD,quarterly,0.308
2002-03-31,USD,KZT,quarterly,152.3
2002-03-31,USD,LAK,quarterly,9465
2002-03-31,USD,LBP,quarterly,1513.75
2002-03-31,USD,LKR,quarterly,93.45
2002-03-31,USD,LRD,quarterly,49
2002-03-31,USD,LSL,quarterly,11.337
2002-03-31,USD,LTL,quarterly,3.98
2002-03-31,USD,LUF,quarterly,46.507
2002-03-31,USD,LVL,quarterly,0.641
2002-03-31,USD,MAD,quarterly,11.699
2002-03-31,USD,MDL,quarterly,12.862
2002-03-31,USD,MGF,quarterly,6732
2002-03-31,USD,MKD,quarterly,68.5
2002-03-31,USD,MMK,quarterly,450
2002-03-31,USD,MNT,quarterly,1104
2002-03-31,USD,MRO,quarterly,276.96
2002-03-31,USD,MTL,quarterly,0.46
2002-03-31,USD,MUR,quarterly,30.1
2002-03-31,USD,MWK,quarterly,71.65
2002-03-31,USD,MXN,quarterly,9.12
2002-03-31,USD,MYR,quarterly,3.8
2002-03-31,USD,MZM,quarterly,23250
2002-03-31,USD,NAD,quarterly,11.337
2002-03-31,USD,NGN,quarterly,117.3
2002-03-31,USD,NIO,quarterly,13.86
2002-03-31,USD,NLG,quarterly,2.541
2002-03-31,USD,NOK,quarterly,8.902
2002-03-31,USD,NPR,quarterly,77.35
2002-03-31,USD,NZD,quarterly,2.366
2002-03-31,USD,OMR,quarterly,0.385
2002-03-31,USD,PAB,quarterly,1
2002-03-31,USD,PEN,quarterly,3.47
2002-03-31,USD,PGK,quarterly,3.578
2002-03-31,USD,PHP,quarterly,51.15
2002-03-31,USD,PKR,quarterly,58
2002-03-31,USD,PLN,quarterly,4.223
2002-03-31,USD,PTE,quarterly,231.13
2002-03-31,USD,PYG,quarterly,4920
2002-03-31,USD,QAR,quarterly,3.641
2002-03-31,USD,RON,quarterly,32566
2002-03-31,USD,RSD,quarterly,66.796
2002-03-31,USD,RUB,quarterly,30.957
2002-03-31,USD,RWF,quarterly,459.74
2002-03-31,USD,SAR,quarterly,3.75
2002-03-31,USD,SBD,quarterly,5.045
2002-03-31,USD,SCR,quarterly,5.733
2002-03-31,USD,SDD,quarterly,260
2002-03-31,USD,SEK,quarterly,10.456
2002-03-31,USD,SGD,quarterly,1.831
2002-03-31,USD,SIT,quarterly,257.24
2002-03-31,USD,SKK,quarterly,48.034
2002-03-31,USD,SLE,quarterly,2130
2002-03-31,USD,SRG,quarterly,2255
2002-03-31,USD,STD,quarterly,9015.2881
2002-03-31,USD,SVC,quarterly,8.75
2002-03-31,USD,SYP,quarterly,46
2002-03-31,USD,SZL,quarterly,11.337
2002-03-31,USD,THB,quarterly,43.68
2002-03-31,USD,TJS,quarterly,2.7
2002-03-31,USD,TMM,quarterly,5250
2002-03-31,USD,TND,quarterly,1.488
2002-03-31,USD,TOP,quarterly,2.19
